Supply 05/01/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4189,4180,4193,4198,4190,4177,4181,4254,4309,4337,4360,4427,4453,4533,4594,4673,4753,4871,4944,5062,5147,5191,5238,5217,5104,4945,4818,4726,4601,4570,4476,4473,4465,4448,4468,4523,4607,4682,4746,4730,4733,4765,4771,4793,4771,4761,4763,4707,4703,4762,4778,4757,4713,4671,4615,4578,4537,4509,4462,4399,4357,4223,4189,4181,4159,4141,4113,4163,4179,4165,4091,4027,3997,3972,3923,3999,4102,4197,4290,4404,4565,4800,5060,5296,5625,5983,6288,6722,7082,7307,7551,7878,8125,8578,8974,9391,9750,10106,10734,11121,10940,11039,11220,11378,11518,11649,11741,11849,11945,12088,12164,12276,12577,12878,12882,12872,12688,12570,12501,12464,12556,12910,13198,13252,13203,13115,13065,13093,12983,12884,12879,12968,12903,12764,12769,12866,12769,12666,12645,12632,12640,12597,12416,12450,12639,12706,12750,12747,12731,12720,12747,12725,12735,12883,12858,12931,12936,12944,12979,12972,12906,12835,12881,12699,12720,12725,12670,12659,12666,12708,12749,12722,12980,13011,13050,13171,13267,13361,13311,13150,13053,12721,12537,12575,12374,12310,12431,12460,12468,12333,12144,12004,11960,11859,11571,11128,11084,11309,11333,11372,11334,11307,11425,11307,11101,11328,11549,11463,10774,10579,10929,10838,10633,10390,9919,9522,9368,9080,8727,8444,8129,7708,7320,6899,6505,6130,5775,5472,5184,4896,4677,4552,4453,4366,4287,4291,4355,4343,4394,4418,4453,4512,4519,4557,4576,4559,4619,4597,4641,4685,4774,4805,4848,4854,4864,4930,4948,5040,5111,5127,5162,5282,5403,5475,5502,5627,5642,5608,5602,5558,5524,5478,5449,5445,5321,5308,5345,5341,5547,5590,5622,5541,5509,5449,5415,5395,5316,5356,
Natural gas,4873,4704,4543,4448,4463,4438,4418,4406,4371,4341,4286,4182,4091,4029,4033,4005,3963,3960,3912,3858,3774,3687,3522,3452,3445,3529,3675,3718,3717,3722,3756,3744,3789,3782,3768,3876,3893,3725,3566,3500,3553,3512,3580,3613,3657,3629,3583,3567,3632,3672,3668,3603,3634,3625,3542,3615,3628,3788,3925,3935,3896,3886,3708,3727,3774,3882,3955,3971,4096,4139,4247,4325,4414,4545,4621,4611,4554,4513,4532,4604,4653,4638,4600,4594,4518,4444,4386,4340,4277,4158,4029,3827,3654,3537,3881,3688,3704,3402,3173,3032,2997,2814,2777,2828,2908,3221,3245,3255,3201,3171,2957,2946,2901,2887,2947,3004,3056,3063,2994,2970,3000,2918,2837,2917,2937,2938,2947,2940,2978,2985,2980,2954,2961,3011,3039,3057,3092,3088,3017,3077,3074,3123,3198,3192,3259,3289,3298,3256,3275,3253,3240,3207,3196,3230,3279,3242,3321,3366,3397,3424,3406,3423,3433,3434,3353,3437,3493,3440,3441,3392,3346,3345,3215,3145,3151,3163,3281,3232,3319,3301,3362,3251,3086,3051,3072,3072,3090,3241,3357,3403,3479,3614,3968,4017,3884,4046,3949,3868,3988,4004,4025,4101,4094,4156,4246,4216,4269,4545,4867,4907,4844,4899,4852,4985,5105,5146,5166,5516,5721,5724,5728,5821,5966,6202,6331,6563,6632,6825,6908,6892,6827,6806,6928,7075,7189,7330,7388,7403,7450,7488,7597,7683,7511,7462,7459,7508,7418,7160,7071,6958,6785,6768,6869,6870,7025,6958,6783,6489,6303,6074,5998,5832,5638,5635,5718,5448,5200,5148,5051,5000,5024,4996,4937,5215,5229,5192,5105,4901,4776,4760,4668,4554,4528,4525,4489,4466,4207,4128
Large hydro,5128,5157,5146,5130,5151,5140,5110,5124,5118,5117,5105,5122,5110,4983,4868,4816,4785,4776,4783,4751,4745,4770,4790,4834,4837,4764,4685,4699,4745,4751,4724,4717,4761,4760,4749,4693,4625,4720,4738,4741,4741,4745,4717,4700,4703,4694,4702,4751,4754,4749,4818,4809,4804,4824,4835,4844,4844,4841,4844,4846,4837,4939,5014,5010,5022,5030,5032,5027,5026,5034,5035,5028,4984,5030,5120,5192,5227,5223,5213,5222,5219,5221,5217,5224,5171,5059,5094,5047,4964,4988,5023,5033,5009,4775,4485,4337,4367,4424,4410,4312,4258,4270,4091,3945,3704,3659,3610,3644,3575,3653,3690,3738,3729,3742,3680,3621,3638,3677,3706,3682,3612,3456,3245,3180,3120,3154,3150,3160,3160,3164,3160,3152,3154,3135,3133,3121,3114,3164,3286,3180,3169,3177,3207,3197,3202,3066,3156,3079,3094,3178,3191,3190,3167,3031,2977,2864,2830,2776,2838,2814,2826,2845,2893,2994,2936,2950,3027,2981,2979,3026,3018,3026,3009,3017,3015,2997,2955,2930,2929,3011,2995,3181,3266,3273,3364,3370,3353,3327,3335,3354,3363,3380,3348,3456,3531,3774,3969,3987,3990,4004,4001,4006,3998,4002,3998,3986,3762,3680,3817,3933,4013,4282,4476,4650,4796,4888,4946,5011,5121,5130,5214,5287,5301,5295,5307,5321,5320,5323,5307,5366,5351,5315,5270,5271,5277,5267,5262,5268,5303,5342,5322,5294,5346,5335,5318,5317,5313,5328,5328,5330,5313,5318,5316,5267,5276,5263,5263,5261,5257,5275,5268,5242,5206,5163,5165,5106,5026,4951,4964,4993,4920,4889,4799,4563,4507,4601,4619,4710,4690,4650,4680,4716,4722,4718,4708,4710,4953,4882
Imports,5283,5427,5564,5557,5443,5334,5333,5223,5117,5053,5007,4983,4974,4972,5028,4965,4851,4765,4672,4572,4508,4511,4531,4519,4471,4540,4585,4547,4599,4660,4697,4668,4664,4668,4639,4514,4548,4562,4591,4638,4662,4637,4638,4571,4514,4494,4579,4646,4667,4613,4644,4689,4728,4884,5006,5026,5108,5058,5090,5185,5333,5631,5921,6052,6168,6210,6233,6318,6373,6444,6542,6662,6730,6763,6847,6864,6884,6942,6912,6880,6840,6690,6588,6417,6287,6218,6146,5880,5663,5611,5503,5308,5231,5019,4856,4706,4370,4251,3883,3691,3971,3886,3780,3732,3835,3648,3556,3374,3284,3152,3248,3114,2778,2353,2333,2242,2317,2310,2347,2308,2205,2045,1939,1839,1877,1910,1871,1856,1891,1937,1881,1844,1767,1799,1764,1585,1595,1600,1547,1556,1607,1503,1589,1544,1259,1272,1172,1199,1192,1194,1168,1243,1262,1237,1345,1443,1384,1312,1210,1224,1336,1384,1350,1399,1487,1487,1467,1536,1575,1597,1644,1665,1609,1675,1649,1555,1423,1380,1415,1555,1671,1786,1963,2023,2159,2265,2191,2120,2080,2148,2324,2344,2125,2043,2267,2418,2418,2324,2252,2266,2319,2351,2358,2506,2701,2509,2485,2525,2946,2975,2722,2693,2823,2896,3171,3587,3744,3637,3738,4085,4456,4794,5116,5411,5730,5983,6355,6497,6758,7090,7419,7647,7809,7858,7885,7921,7932,8106,8164,8169,8129,8105,8294,8353,8382,8345,8358,8547,8539,8574,8598,8573,8362,8214,7996,7897,7927,7999,8022,8047,7954,7873,7817,7659,7359,7336,7391,7359,7368,7208,7051,7083,7002,7081,7123,6967,6742,6731,6542,6397,6354,6314,6199,6145,6119,6011,5707,5617
Nuclear,2277,2276,2276,2276,2276,2274,2274,2275,2274,2273,2274,2273,2273,2273,2273,2271,2271,2272,2271,2272,2271,2272,2272,2272,2273,2272,2272,2272,2274,2272,2273,2274,2274,2274,2275,2273,2274,2275,2274,2275,2275,2274,2275,2274,2275,2276,2275,2275,2275,2275,2275,2276,2275,2276,2276,2276,2276,2276,2276,2276,2276,2276,2274,2275,2275,2276,2276,2276,2276,2276,2276,2276,2277,2276,2275,2275,2276,2277,2276,2276,2277,2277,2278,2276,2277,2277,2277,2278,2277,2278,2276,2277,2277,2276,2276,2276,2276,2276,2276,2277,2275,2276,2276,2276,2277,2277,2276,2277,2277,2276,2277,2277,2278,2277,2277,2278,2278,2277,2277,2277,2276,2276,2275,2275,2276,2276,2276,2276,2276,2275,2275,2275,2274,2274,2274,2273,2274,2273,2273,2273,2272,2273,2272,2273,2274,2273,2272,2273,2272,2272,2273,2272,2272,2271,2272,2271,2271,2272,2272,2272,2273,2272,2272,2272,2272,2272,2271,2272,2271,2270,2267,2272,2267,2270,2271,2271,2272,2272,2272,2271,2272,2271,2272,2272,2272,2272,2273,2272,2273,2272,2273,2273,2272,2273,2274,2275,2275,2275,2275,2275,2275,2275,2276,2275,2274,2274,2273,2274,2276,2275,2275,2275,2275,2275,2275,2275,2274,2275,2274,2275,2275,2275,2275,2276,2276,2275,2276,2276,2276,2276,2276,2276,2276,2277,2277,2277,2276,2277,2277,2278,2278,2277,2278,2277,2278,2279,2278,2278,2278,2279,2278,2277,2277,2277,2277,2277,2277,2277,2277,2277,2278,2277,2278,2277,2278,2277,2277,2277,2277,2277,2278,2276,2278,2278,2277,2277,2277,2277,2276,2278,2278,2278,2277,2278,2278,2278,2277,2278
Coal,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,6,6,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,6,7,5,5,5,5,5,6,6,6,6,6,7,6,6,5,5,5,6,5,5,5,5,5,4,4,5,5,6,5,5,5,5,5,6,5,6,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,7,7,7,7,7,6,6,6,6,7,6,7,9,8,5,6,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,3,3,3,2,2,2,3,2,2,2,2,2,2,3,3,2,2,3,4,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,4,3,3,3,3,3,4,4,3,3,3,3,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
