Supply 04/09/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,5195,5299,5298,5176,5179,5122,5171,5159,5067,5062,4989,4886,4765,4651,4584,4549,4551,4557,4534,4496,4474,4502,4520,4558,4625,4674,4735,4714,4683,4644,4629,4630,4642,4615,4622,4640,4631,4630,4626,4656,4653,4655,4671,4677,4689,4732,4738,4709,4680,4716,4751,4768,4753,4724,4735,4757,4770,4737,4738,4735,4757,4689,4655,4639,4606,4575,4620,4649,4607,4602,4632,4642,4622,4644,4710,4784,4758,4711,4722,4744,4810,4920,5031,5133,5305,5544,5746,6040,6379,6644,7022,7071,7184,7524,7648,8002,8372,8778,9049,9459,9987,10331,10806,11182,11136,10896,10867,10782,11200,11516,11637,12021,12222,12364,12513,12506,12551,12815,12744,12786,12947,12934,13004,12723,12841,12920,13017,13059,13139,13059,13122,13178,13332,13657,13711,13749,13430,13501,13559,14016,14152,14018,13818,13829,13789,13899,13728,13813,13875,13858,13750,13883,13958,14065,14032,14030,13934,14107,14042,14145,14247,14166,14035,13945,14000,14020,14253,14494,14222,14065,14006,14139,14189,14125,14176,14054,13943,14039,14200,14000,13986,13926,14049,14102,14016,13848,13854,14158,14286,14343,14298,14233,14245,14153,14017,14065,13962,13796,13666,13619,13333,13203,13163,13323,13399,13406,13201,13140,13056,12614,12390,12208,11941,11620,11304,10865,10404,10029,9567,9332,8943,8504,8031,7569,7216,6751,6444,6218,5971,5737,5555,5446,5277,5211,5108,5031,4974,4885,4720,4662,4589,4528,4509,4402,4374,4331,4308,4352,4359,4377,4388,4383,4401,4483,4554,4664,4692,4700,4806,4858,4921,4966,5082,5181,5236,5306,5388,5444,5581,5637,5622,5653,5748,5700,5576,5500,5481,5553,5598,5492,5513,5472,5454,5434,5462,5440,5456,5558,
Natural gas,4286,4069,3687,3545,3600,3530,3471,3421,3402,3419,3416,3484,3503,3509,3616,3654,3623,3562,3526,3564,3599,3605,3581,3549,3530,3528,3470,3431,3403,3319,3289,3294,3284,3290,3285,3281,3262,3244,3183,3165,3187,3121,3081,3098,3084,3131,3140,3178,3242,3224,3112,3048,3036,3033,3016,3009,3009,3032,3113,3181,3212,3264,3354,3435,3667,3756,3836,3872,3966,4006,4036,3984,3931,3994,4029,3916,3943,4036,4134,4249,4306,4316,4329,4344,4389,4374,4343,4348,4212,4172,4143,4177,4167,4133,4118,4096,3923,3778,3689,3738,3752,3660,3649,3448,3408,3446,3396,3446,3281,3230,3237,3210,3494,3442,3491,3438,3446,3431,3550,3481,3470,3515,3534,3566,3508,3304,3314,3317,3311,3306,3353,3208,3256,3061,3160,3008,3134,3118,2980,2876,2842,2873,2856,2867,2825,2816,2882,2908,2810,2751,2802,2862,2862,2939,2934,2849,2979,2844,2873,2782,2775,2796,2828,2880,2733,2793,2761,2721,2863,2754,2751,2825,2839,2859,2929,2974,2965,2915,3038,3065,3009,3055,2965,2912,3007,3116,3019,2892,2984,3037,3079,3009,2926,3079,3163,3158,3255,3325,3430,3512,3536,3548,3403,3418,3370,3304,3378,3440,3627,3783,3811,3858,3967,3987,3954,3999,4014,4055,3982,3950,3729,3683,3822,3910,4013,4170,4483,4592,4751,4908,4934,4979,5264,5383,5703,5984,6091,6382,6656,6760,6826,6792,6749,6775,6819,6791,6837,6767,6660,6427,6413,6150,5996,5924,5924,5909,5869,5815,5732,5459,5194,5091,4722,4570,4507,4528,4516,4436,4135,3971,3919,3766,3591,3442,3385,3337,3252,3149,2700,2591,2500,2302,2288,2300,2304,2313,2297,2260
Large hydro,3912,3899,4060,3996,3934,3939,3964,3963,3941,3926,3919,3936,3953,4006,4023,4014,4002,3997,3994,3978,3985,3994,4005,4003,4001,3967,3973,3932,3943,3928,3899,3887,3883,3908,3909,3913,3883,3911,3917,3874,3853,3858,3873,3918,3915,3957,3962,3967,3980,3989,4007,4015,4025,4041,4036,4035,4041,4060,4045,4041,4067,3984,3976,4033,4086,4114,4142,4139,4154,4161,4162,4154,4142,4090,4170,4155,4121,4131,4145,4203,4206,4149,4188,4162,4097,3994,4019,3991,3962,3908,3895,4013,4057,3934,3858,3910,3936,3811,3801,3785,3715,3720,3704,3693,3683,3716,3711,3718,3657,3476,3468,3461,3185,3100,3100,3104,3102,3060,3103,3099,3071,3076,3085,3108,3113,3099,3092,3086,3084,3098,3099,3085,3074,3003,2979,2929,2883,2905,2912,2894,2891,2906,2874,2886,2876,2879,2879,2892,2886,2875,2879,2876,2858,2837,2872,2847,2883,2842,2835,2871,2869,2884,2895,2908,2893,2897,2895,2837,2865,2833,2818,2823,2820,2813,2805,2818,2833,2822,2826,2844,2865,2955,2968,2926,2930,3002,3014,2989,2925,2922,2950,2981,2984,2953,2944,2956,2868,2883,2967,2979,2987,3092,3114,3109,3088,2966,3004,3006,2976,3089,3150,3147,3166,3162,3151,3168,3140,3360,3549,3559,3870,3885,3902,3919,3987,4065,4066,4070,4068,4174,4263,4299,4312,4370,4370,4381,4385,4373,4406,4332,4353,4287,4318,4394,4428,4395,4353,4310,4286,4367,4404,4406,4413,4356,4371,4348,4306,4307,4275,4240,4230,4204,4224,4257,4163,4063,4030,4001,3968,3954,3970,3945,3971,3969,3972,4008,3953,3957,4085,4023,4031,4028,4034,3980,3889,3852,3880,3874
Imports,5950,6143,6171,6460,6460,6440,6346,6285,6271,6208,6223,6220,6182,6121,6022,5966,5943,5960,5910,5863,5789,5654,5590,5571,5465,5386,5333,5370,5412,5511,5524,5542,5492,5407,5371,5386,5428,5370,5407,5364,5389,5488,5454,5407,5354,5233,5180,5187,5208,5268,5417,5498,5501,5596,5631,5718,5752,5803,5766,5827,5894,6030,6219,6245,6182,6154,6146,6197,6240,6270,6342,6578,6837,7026,7195,7440,7585,7713,7738,7634,7584,7514,7448,7473,7381,7304,7185,7013,6871,6729,6407,6179,6021,5737,5639,5285,4918,4772,4603,4064,3578,3288,2892,2577,2569,2665,2664,2625,2352,2407,2492,2055,1982,1873,1734,1758,1666,1328,1254,1114,903,876,737,849,769,750,678,649,530,594,453,408,257,175,55,79,352,319,338,-22,-175,-137,5,11,108,-59,21,-143,-113,-112,-19,-118,-176,-247,-209,-229,-168,-210,-144,-158,-278,-232,-166,-110,-52,-141,-342,-366,-101,24,34,-122,-122,-100,-249,-192,-54,-134,-351,-204,-92,-112,-136,-62,-56,6,168,42,-38,-44,-152,-31,-3,43,201,215,342,487,542,499,812,841,1034,972,1011,1238,1507,1589,1585,1915,2137,2414,2658,3071,3551,3939,4508,4533,4763,5146,5300,5787,6225,6670,7031,7303,7459,7659,7870,8014,8303,8393,8427,8514,8485,8521,8597,8487,8487,8594,8644,8802,8898,8893,8820,8871,8856,8852,8921,8978,8856,8976,8992,9042,8961,8751,8669,8638,8530,8610,8634,8569,8671,8541,8364,8246,8109,7966,7902,7814,7762,7732,7592,7543,7584,7509,7416,7457,7635,7646,7753,7725,7656,7539,7452,7447,7350,7148
Nuclear,2283,2282,2283,2282,2280,2280,2279,2278,2279,2278,2280,2280,2280,2279,2281,2280,2281,2280,2280,2279,2280,2280,2281,2280,2280,2280,2280,2280,2280,2280,2281,2282,2282,2280,2281,2281,2281,2281,2282,2282,2281,2281,2280,2279,2280,2279,2278,2279,2279,2280,2280,2280,2279,2279,2278,2279,2280,2279,2279,2279,2279,2279,2280,2279,2279,2280,2279,2280,2280,2280,2281,2280,2280,2280,2280,2280,2280,2281,2280,2281,2281,2280,2280,2280,2280,2279,2280,2279,2282,2281,2281,2282,2283,2282,2282,2283,2282,2282,2282,2283,2283,2282,2283,2283,2284,2283,2284,2284,2283,2284,2283,2283,2285,2284,2283,2283,2284,2283,2283,2282,2282,2283,2282,2282,2281,2283,2283,2283,2283,2283,2282,2283,2284,2283,2283,2283,2283,2283,2280,2283,2283,2283,2284,2283,2283,2283,2283,2284,2283,2284,2283,2285,2284,2285,2283,2283,2283,2282,2282,2282,2282,2282,2283,2282,2283,2282,2282,2282,2282,2281,2281,2281,2281,2282,2282,2282,2282,2281,2281,2281,2281,2281,2281,2281,2283,2281,2279,2282,2281,2282,2282,2282,2283,2283,2283,2282,2281,2281,2281,2281,2281,2281,2280,2280,2281,2280,2281,2281,2280,2280,2281,2282,2282,2282,2282,2282,2281,2282,2281,2281,2282,2283,2282,2282,2282,2282,2282,2283,2281,2280,2281,2280,2279,2280,2280,2281,2280,2280,2280,2281,2280,2281,2280,2281,2280,2281,2280,2281,2281,2279,2279,2280,2280,2280,2282,2281,2281,2281,2283,2283,2283,2283,2283,2284,2283,2283,2282,2282,2282,2283,2282,2282,2282,2282,2282,2281,2282,2282,2282,2282,2282,2281,2281,2281,2282,2282,2282,2282
Coal,10,10,10,9,9,10,10,9,10,10,9,10,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,11,11,10,10,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10,11,11,10,11,10,10,11,11,11,11,10,11,11,11,11,10,10,10,11,10,10,11,11,11,11,11,10,10,10,10,10,11,10,10,10,10,11,11,11,10,11,10,10,10,11,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,3,8,9,8,9,8,7,6,6,7,7,7,7,6,6,8,10,10,11,11,11,10,10,10,10,10,10,11,12,11,11,11,11,12,12,11,11,12,11,12,11,11,11,11,12,11,11,11,12,12,12,12,12,11,11,11,12,12,12,12,12,12,12,11,11,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,11,10,10,10,10,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,10,11,11,10,10,11,10,10,10,10,10,11,11,10,11,11,10,11,11,10,10,10,10,10
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
