Supply 04/29/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,4522,4509,4439,4461,4461,4448,4454,4379,4359,4291,4308,4358,4423,4437,4456,4481,4472,4492,4454,4418,4466,4503,4548,4597,4621,4632,4642,4681,4649,4754,4760,4763,4794,4801,4816,4815,4835,4843,4823,4783,4800,4835,4818,4799,4774,4755,4807,4871,4935,5030,5115,5214,5296,5260,5294,5170,5111,5053,4998,4929,4811,4736,4741,4809,4886,4930,5006,5126,5194,5218,5153,5172,5197,5188,5156,5154,5217,5250,5322,5418,5596,5746,5954,6146,6380,6512,6838,6951,7127,7356,7594,7825,8149,8304,8571,8794,9243,9419,9646,9804,10006,10247,10505,10932,11251,11370,11259,11289,11333,11485,11884,12010,12381,12735,12859,12918,12836,12889,12853,12783,12731,12922,13012,13080,13108,13001,12920,12933,12778,12690,12711,12915,12934,13070,13238,13448,13590,13668,13689,13630,13666,13602,13454,13121,13061,13246,13359,13416,13340,13430,13191,13076,13036,13067,13120,12864,12695,12630,12654,12459,12382,12210,12149,12181,12223,12316,12337,12180,12216,12243,12286,12343,12283,12325,12272,12180,12055,11922,11719,11694,11593,11389,11155,11285,11309,11412,11391,11258,11502,11533,11458,11169,11060,11162,11014,10725,10641,10551,10613,10656,10812,10952,10747,10529,10293,10223,10162,10301,10247,10286,10176,10026,9817,9504,9108,8896,8728,8570,8410,8084,7814,7485,7359,7153,6997,6829,6600,6388,6236,6097,5951,5867,5808,5758,5762,5785,5834,5834,5805,5758,5707,5640,5613,5560,5569,5581,5593,5556,5522,5417,5346,5323,5336,5389,5383,5308,5274,5244,5225,5173,5113,5081,5045,4985,4961,5020,4955,4920,4998,5032,4992,5000,5120,5191,5290,5354,5380,5342,5185,5145,5121,5111,5091,5119,5154,5148,5139,5192,
Natural gas,3780,3758,3654,3558,3342,3084,3048,3033,3078,3092,3087,3071,2938,2838,2833,2838,2786,2725,2729,2758,2680,2660,2646,2645,2647,2643,2557,2425,2379,2388,2276,2298,2334,2342,2394,2387,2383,2378,2402,2385,2373,2372,2411,2433,2448,2438,2433,2385,2353,2400,2298,2223,2246,2242,2292,2232,2294,2385,2422,2517,2655,2760,2804,2812,2828,2849,2913,2907,2862,2850,2883,2883,2860,3025,3215,3335,3413,3467,3503,3551,3551,3436,3436,3489,3602,3722,3823,3820,3894,3814,3759,3676,3611,3602,3535,3462,3455,3153,3002,2965,2913,2811,2696,2474,2199,2121,2173,2053,1955,1703,1640,1690,1708,1631,1600,1580,1734,1652,1777,1801,1848,1779,1799,1774,1784,1812,1876,1801,1892,2071,2256,2151,2260,2265,2146,2174,2239,2208,2227,2190,2257,2560,2548,2527,2380,2344,2386,2464,2499,2474,2505,2452,2378,2328,2325,2397,2368,2393,2424,2468,2505,2466,2444,2426,2459,2481,2514,2570,2532,2657,2605,2638,2675,2605,2671,2704,2686,2747,2753,2828,2806,2673,2472,2420,2552,2482,2495,2528,2544,2636,2665,2729,2904,2856,2689,2851,2900,2940,3086,3201,3149,3171,3226,3332,3410,3458,3736,3711,3731,3697,3840,4005,4019,4112,4344,4345,4330,4521,4303,4424,4562,4641,4711,4920,4975,5022,5076,5180,5294,5551,5677,5702,5661,5717,5740,5682,5683,5718,5723,5866,6056,6250,6320,6415,6478,6552,6499,6475,6432,6451,6389,6346,6521,6291,6023,6137,6220,6186,6068,6019,6059,5860,5709,5619,5548,5314,5112,5054,4986,4948,4923,4900,4743,4685,4544,4394,4205,4086,4026,3827,3792,3834,3784,3434,3271,3154,3094,3179
Large hydro,5140,5140,5077,5087,5119,5136,5137,5133,5098,5068,5066,5064,5057,4961,4906,4873,4860,4867,4860,4859,4857,4860,4872,4872,4852,4793,4748,4749,4754,4776,4776,4746,4744,4739,4752,4749,4742,4685,4692,4697,4702,4697,4691,4697,4697,4700,4696,4686,4678,4754,4876,4959,5022,5052,5110,5133,5171,5169,5188,5184,5123,4940,4813,4811,4790,4788,4837,4883,4967,4981,5040,5093,5064,4999,4945,4904,4877,4868,4897,4952,4968,4912,4889,4869,4895,4890,4875,4812,4764,4752,4612,4452,4275,4277,4261,4210,4178,4295,4351,4372,4329,4310,4299,4266,4282,4293,4347,4320,4302,4228,4151,4050,4057,4096,4070,4106,4094,4051,3990,3967,3873,3831,3819,3800,3805,3795,3777,3778,3822,3596,3632,3589,3533,3498,3480,3354,3211,3289,3399,3352,3166,3164,3171,3187,3158,3004,2831,2749,2798,2719,2799,2996,3072,3067,3075,3066,3104,3079,3075,3081,3111,3106,3093,3067,3035,2988,2972,2992,2976,2938,2952,2961,3009,3019,2997,3015,3065,3081,3084,3106,3082,3243,3352,3311,3275,3299,3302,3314,3250,3169,3220,3328,3281,3532,3576,3669,3858,3880,3814,3654,3640,3651,3714,3897,3982,3881,3736,3662,3786,3879,3879,3940,4002,4035,4135,4122,4073,4430,4689,4814,4927,5032,5066,5050,5084,5094,5103,5119,5102,5075,5077,5117,5104,5100,5117,5116,5110,5126,5136,5149,5170,5153,5096,5057,5068,5134,5177,5128,5123,5102,5111,5109,5131,5325,5373,5294,5280,5269,5277,5250,5233,5229,5241,5228,5252,5219,5135,5144,5119,5108,5072,5062,5030,5041,5061,5075,5064,4889,4908,4915,4915,4895,4903,4924,4937,4928,4909,4865
Imports,5497,5546,5757,5858,5892,5882,5852,5841,5780,5832,5785,5688,5570,5650,5680,5651,5643,5644,5639,5593,5580,5477,5381,5266,5194,5254,5380,5406,5397,5341,5350,5356,5279,5187,5138,5064,5020,5059,5100,5141,5150,5064,5043,5053,5066,5078,5071,5039,5098,4968,4966,4896,4801,4823,4779,4926,5060,5097,5195,5206,5336,5692,6078,6163,6127,6183,6120,6046,6031,6087,6193,6246,6359,6617,6780,6831,6804,6761,6778,6696,6647,6679,6563,6459,6179,6126,6012,5965,5804,5721,5692,5670,5637,5560,5349,5249,4955,5055,4925,4791,4634,4533,4451,4332,4195,4116,4099,4079,4147,4325,4159,4121,3751,3432,3229,3068,2971,2901,2937,2963,2965,2907,2868,2748,2595,2681,2749,2716,2766,3109,3068,2974,2920,2842,2801,2663,2594,2553,2432,2490,2625,2682,2827,3242,3384,3337,3297,3210,3174,3179,3335,3257,3316,3307,3294,3447,3535,3570,3609,3820,3890,3982,4187,4185,4204,4196,4203,4290,4223,4126,4095,4029,4089,4045,4097,4159,4282,4354,4557,4559,4704,4665,4778,4802,4811,4844,4846,4940,4714,4761,4796,4869,4857,4615,4651,4786,4696,4646,4605,4644,4651,4556,4699,4751,4806,4894,4856,4883,4824,4785,4820,4949,5097,5339,5520,5714,6043,5879,5834,6010,6043,6240,6374,6470,6637,6746,6980,7146,7283,7231,7299,7417,7613,7752,7808,7917,7996,8105,8186,8183,8093,8006,8117,8119,8104,7965,7892,7931,7965,8018,8117,8082,7802,7838,7761,7607,7501,7414,7409,7378,7355,7465,7484,7440,7381,7285,7332,7333,7191,7076,7017,6919,6775,6646,6443,6287,6179,6359,6456,6523,6478,6453,6434,6531,6552,6519,6506,6326
Nuclear,2277,2278,2276,2276,2277,2278,2278,2277,2278,2278,2279,2278,2279,2278,2278,2277,2277,2278,2279,2278,2277,2278,2277,2276,2276,2277,2276,2275,2274,2274,2274,2275,2274,2275,2273,2274,2273,2274,2274,2275,2274,2274,2274,2276,2275,2274,2275,2275,2276,2276,2276,2276,2276,2275,2274,2276,2276,2276,2277,2277,2276,2277,2277,2278,2276,2276,2276,2276,2275,2277,2275,2274,2276,2275,2275,2275,2275,2274,2274,2274,2275,2274,2274,2275,2274,2273,2274,2274,2274,2275,2274,2274,2274,2274,2275,2275,2274,2275,2276,2275,2275,2275,2275,2276,2276,2276,2276,2276,2276,2275,2275,2276,2277,2276,2275,2276,2276,2275,2276,2275,2274,2275,2275,2275,2274,2274,2274,2274,2275,2274,2274,2274,2274,2274,2274,2275,2276,2276,2275,2276,2275,2275,2276,2276,2278,2276,2278,2277,2277,2278,2277,2277,2276,2278,2278,2278,2278,2277,2277,2275,2277,2276,2275,2276,2277,2277,2276,2276,2277,2277,2277,2276,2276,2276,2277,2277,2276,2277,2276,2277,2278,2278,2278,2278,2278,2278,2279,2278,2278,2278,2278,2278,2278,2277,2279,2279,2280,2279,2279,2280,2278,2278,2277,2277,2276,2276,2276,2276,2275,2276,2275,2276,2276,2276,2276,2275,2276,2275,2276,2275,2275,2276,2276,2276,2277,2277,2277,2277,2278,2277,2278,2277,2277,2277,2277,2277,2278,2278,2278,2279,2279,2279,2279,2279,2277,2278,2277,2278,2277,2278,2277,2277,2277,2277,2278,2277,2278,2278,2278,2277,2278,2278,2277,2278,2278,2278,2277,2276,2277,2278,2277,2278,2277,2278,2278,2278,2277,2278,2277,2278,2276,2278,2277,2277,2276,2277,2277,2278
Coal,6,5,5,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,6,5,5,5,5,5,6,6,5,5,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,4,4,5,5,5,6,6,6,6,5,5,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,6,5,5,6,5,5,5,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3,4,5,5,5,5,5,5,5,5,5,5,4
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
