Supply 04/28/2019,0:00,0:05,0:10,0:15,0:20,0:25,0:30,0:35,0:40,0:45,0:50,0:55,1:00,1:05,1:10,1:15,1:20,1:25,1:30,1:35,1:40,1:45,1:50,1:55,2:00,2:05,2:10,2:15,2:20,2:25,2:30,2:35,2:40,2:45,2:50,2:55,3:00,3:05,3:10,3:15,3:20,3:25,3:30,3:35,3:40,3:45,3:50,3:55,4:00,4:05,4:10,4:15,4:20,4:25,4:30,4:35,4:40,4:45,4:50,4:55,5:00,5:05,5:10,5:15,5:20,5:25,5:30,5:35,5:40,5:45,5:50,5:55,6:00,6:05,6:10,6:15,6:20,6:25,6:30,6:35,6:40,6:45,6:50,6:55,7:00,7:05,7:10,7:15,7:20,7:25,7:30,7:35,7:40,7:45,7:50,7:55,8:00,8:05,8:10,8:15,8:20,8:25,8:30,8:35,8:40,8:45,8:50,8:55,9:00,9:05,9:10,9:15,9:20,9:25,9:30,9:35,9:40,9:45,9:50,9:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,
Renewables,5808,5846,5892,5896,5911,5904,5831,5810,5748,5676,5646,5598,5610,5586,5554,5532,5482,5434,5403,5372,5306,5272,5255,5270,5273,5225,5231,5233,5294,5271,5253,5257,5238,5220,5228,5207,5180,5154,5118,5108,5081,5099,5096,5069,5033,4986,4959,4953,4959,4984,5023,5026,5031,4998,4949,4896,4868,4816,4775,4741,4706,4675,4637,4614,4589,4585,4619,4631,4597,4613,4595,4620,4619,4550,4638,4604,4631,4711,4859,5074,5315,5557,5809,6100,6412,6846,7215,7573,7953,8321,8667,9097,9448,9756,9907,10110,10259,10647,11210,11597,11744,11803,11604,11485,11695,11781,11888,11951,12107,12446,12759,12957,13040,12964,12817,12824,12908,12965,12902,12756,12858,13025,13305,13177,13331,13395,13392,13414,13384,13350,13183,12878,12950,12985,12872,12811,12924,13014,13036,13084,13049,13046,12979,12811,12646,12690,12845,12918,12889,12799,12857,12807,12879,12947,13039,13134,13142,13205,13367,13505,13539,13619,13673,13465,13448,13247,13144,13261,13089,12922,12651,12475,12283,12067,11951,11942,12209,12291,12562,12659,12381,12240,12096,11966,11689,11266,10734,10710,10826,10772,10637,10483,10386,10301,10110,9770,9545,9197,8876,9162,9302,9361,9262,9010,8716,8520,8263,7891,7815,7651,7484,7032,6705,6412,6277,6216,6009,5583,5175,4779,4584,4363,4266,4124,3956,3795,3626,3520,3369,3271,3231,3249,3184,3161,3159,3184,3190,3234,3300,3387,3491,3644,3926,4156,4328,4445,4564,4678,4638,4583,4556,4617,4692,4708,4656,4535,4365,4249,4201,4167,4190,4221,4309,4339,4333,4356,4373,4355,4444,4461,4454,4415,4420,4454,4521,4506,4520,4523,4480,4509,4532,4527,4532,4567,4596,4565,4580,4574,
Natural gas,3189,3067,2962,2868,2667,2578,2556,2495,2510,2520,2519,2502,2487,2409,2363,2363,2382,2389,2358,2266,2246,2314,2222,2106,2112,2134,2124,2042,2034,2027,2023,2029,2080,2142,2124,2156,2171,2190,2121,2053,2090,2076,2003,2025,2018,2034,2034,2031,2044,2130,2103,2070,2101,2139,2137,2161,2178,2178,2195,2244,2265,2193,2215,2209,2275,2277,2223,2272,2348,2393,2400,2414,2426,2695,2837,2942,2926,2866,2849,2846,2764,2716,2670,2616,2570,2908,2884,2800,2693,2507,2378,2344,2365,2233,2301,2263,2212,1981,1834,1767,1782,1783,1779,1653,1528,1524,1500,1521,1498,1399,1369,1370,1370,1357,1354,1327,1313,1292,1316,1331,1307,1296,1286,1307,1265,1294,1286,1308,1411,1392,1338,1344,1250,1289,1347,1308,1214,1275,1331,1298,1362,1320,1309,1263,1237,1194,1186,1210,1250,1169,1159,1153,1127,1139,1126,1092,1142,1129,1147,1103,1144,1113,1116,1211,1200,1329,1379,1400,1471,1440,1377,1505,1421,1470,1473,1349,1196,1339,1205,1115,1019,892,952,1005,1102,1145,1137,1236,1422,1697,1665,1749,1918,2162,2265,2361,2544,2647,2731,2819,3186,3227,3230,3237,3304,3381,3608,3849,4011,4176,4192,4376,4443,4933,5447,5636,5864,6190,6385,6482,6717,6904,7173,7501,7639,7794,8030,8033,8022,7825,7797,7601,7667,7720,7766,7873,7970,8005,7970,7899,7946,7962,7927,7939,7802,7670,7406,7069,6875,7085,6968,6971,7014,6945,6875,6777,6674,6670,6670,6594,6538,6453,6235,6193,6100,5694,5587,5525,5300,5199,5140,4853,4661,4648,4624,4674,4550,4488,4368,4299,4219,4252,4211,4152,4154,4090,4010,3915
Large hydro,4952,5017,5044,5047,5063,5072,5083,5079,5059,5053,5053,5053,5056,4994,4969,4964,4963,4961,4958,4959,4957,4958,4961,4964,4932,4829,4796,4790,4779,4778,4769,4774,4760,4700,4717,4779,4787,4749,4747,4742,4714,4721,4739,4743,4746,4746,4745,4751,4762,4698,4693,4679,4640,4634,4633,4633,4634,4650,4686,4685,4629,4379,4286,4288,4294,4262,4183,4148,4090,4133,4133,4128,4139,4244,4092,4162,4161,4160,4148,4149,4145,4107,4115,4105,4008,3703,3608,3556,3537,3531,3506,3479,3478,3279,3136,3136,3157,3054,2998,2960,2961,2954,2996,3065,3029,2981,2956,2960,2948,2913,2877,2860,2855,2840,2847,2851,2839,2830,2841,2859,2847,2842,2813,2838,2788,2771,2763,2708,2685,2695,2775,2826,2808,2799,2799,2829,2780,2754,2726,2723,2695,2702,2788,2805,2810,2819,2812,2758,2802,2819,2811,2816,2809,2806,2819,2815,2835,2821,2818,2804,2785,2785,2789,2793,2805,2895,2986,2984,2976,3077,3128,3171,3193,3218,3214,3354,3301,3173,3327,3412,3634,3790,3783,3800,3859,3965,3986,3938,3768,3850,3987,4142,4081,4106,4183,4172,4247,4275,4280,4249,4178,4184,4231,4248,4273,4505,4549,4585,4608,4921,5067,5238,5293,5430,5360,5212,5065,4925,4827,4883,4945,4928,4897,4908,4932,4957,5004,5078,5140,5123,5190,5224,5237,5308,5405,5393,5427,5454,5473,5469,5415,5374,5304,5301,5312,5374,5494,5619,5535,5422,5419,5377,5373,5409,5432,5430,5392,5389,5424,5452,5389,5320,5320,5309,5305,5290,5318,5329,5326,5316,5297,5287,5286,5275,5217,5243,5220,5315,5403,5367,5301,5278,5272,5238,5202,5221,5232,5229
Imports,5329,5310,5247,5251,5350,5339,5301,5333,5340,5345,5302,5283,5177,5260,5302,5254,5218,5185,5204,5235,5252,5172,5250,5308,5233,5341,5381,5356,5288,5229,5195,5129,5031,5037,5000,4852,4789,4837,4959,5014,4987,4980,4927,4896,4904,4945,4985,4963,4937,4910,4937,4935,4914,4903,4964,5010,5060,5122,5141,5122,5175,5527,5768,5852,5796,5820,5865,5915,5991,5947,5972,6002,5989,5839,5871,5796,5736,5647,5486,5222,5034,4815,4645,4430,4245,4079,3963,3728,3490,3337,3118,2815,2354,2291,2301,2173,2092,2041,1770,1516,1320,1265,1402,1516,1433,1382,1308,1278,1141,975,752,564,423,526,633,604,519,480,444,503,398,279,50,130,65,-75,-95,-129,-141,-111,-55,151,182,178,301,311,280,164,134,101,74,123,116,255,400,374,231,210,266,395,353,418,448,427,465,399,425,358,310,255,342,351,329,580,711,845,887,824,1151,1338,1605,1777,1949,2197,2361,2241,2035,2095,1650,1629,1811,1813,1864,2009,2174,2456,2883,2916,2839,2769,2759,2558,2458,2418,2372,2676,2790,3051,3495,3246,2965,3029,2993,3304,3582,3686,3907,4081,4146,4128,4130,4435,4779,4567,4341,4439,4718,5038,5480,5844,5909,5995,5980,5869,6009,6073,6038,6112,6300,6663,6842,7007,7055,7047,7027,7022,7025,7071,7091,7120,7094,7068,6980,6767,6777,6716,6731,6761,6853,6814,6930,6854,6713,6592,6560,6702,6953,6977,6950,6919,6845,6850,6849,6737,6665,6909,6845,6743,6742,6691,6607,6805,6833,6687,6561,6391,6296,6181,6071,5962,5960,5861,5828,5723,5619,5542,5484,5405
Nuclear,2279,2278,2278,2279,2278,2279,2280,2279,2279,2280,2280,2280,2279,2279,2280,2279,2279,2279,2278,2278,2279,2278,2279,2279,2278,2279,2278,2279,2278,2278,2279,2279,2279,2280,2280,2279,2280,2279,2279,2281,2281,2280,2280,2281,2279,2280,2281,2280,2280,2281,2282,2281,2280,2280,2280,2279,2280,2280,2280,2279,2280,2279,2278,2278,2277,2278,2277,2277,2278,2278,2278,2277,2277,2277,2276,2277,2277,2277,2277,2278,2277,2278,2277,2277,2276,2277,2277,2278,2278,2278,2278,2277,2277,2277,2278,2276,2277,2277,2276,2276,2277,2277,2275,2275,2274,2274,2275,2275,2274,2274,2275,2275,2275,2275,2276,2275,2275,2275,2276,2275,2275,2275,2275,2276,2275,2275,2275,2275,2276,2276,2276,2277,2276,2275,2276,2277,2276,2276,2276,2277,2277,2277,2276,2276,2276,2276,2276,2276,2275,2277,2276,2276,2277,2277,2277,2277,2278,2278,2276,2278,2277,2277,2278,2279,2278,2278,2278,2278,2279,2278,2278,2278,2278,2279,2279,2279,2278,2277,2279,2278,2278,2279,2279,2278,2278,2276,2275,2274,2274,2274,2274,2274,2273,2274,2272,2273,2273,2274,2274,2273,2275,2273,2274,2274,2274,2275,2275,2275,2275,2274,2275,2275,2274,2274,2276,2275,2275,2277,2277,2277,2277,2277,2277,2277,2278,2277,2277,2279,2278,2278,2277,2278,2276,2277,2277,2276,2276,2276,2277,2276,2277,2277,2278,2278,2278,2278,2279,2278,2279,2279,2278,2279,2279,2279,2279,2279,2279,2280,2280,2279,2279,2280,2279,2280,2279,2279,2278,2278,2278,2277,2278,2278,2278,2277,2278,2278,2277,2277,2278,2278,2278,2276,2276,2277,2277,2278,2277,2277
Coal,5,5,5,5,5,5,6,6,5,5,5,5,6,5,5,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6,7,6,7,6,6,6,7,6,6,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,6,7,6,6,6,6,5,6,6,6,5,5,6,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,5,6,5,5,5,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,5,6,5,6,6,5,5,5,6,5,5,5,5,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,5,4,6,5,5,6,6,6,5,4,5,5,6,6,6,5,6,6,6,5,5,6,5,6,6,5,6,6,6,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,5,5,5,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5,5,6,5,5
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
