Renewables 04/05/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,60,136,233,395,562,795,1079,1374,1708,2063,2458,2802,3185,3647,4071,4394,4489,4807,5043,5562,6044,6196,6504,6923,7132,7348,7458,7562,7735,7853,8084,8285,8241,8262,8414,8452,8340,8472,8502,8579,8421,8404,8378,8427,8338,8568,8710,8389,8245,8234,8165,8004,7990,8027,8178,8170,8212,8236,8186,8205,8342,8366,8279,8177,8407,8420,8354,8343,8386,8432,8473,8520,8464,8371,8462,8299,7990,8096,8085,7886,7838,8028,8338,8239,8232,8264,8365,8280,7937,7706,7839,7929,7711,7367,6894,6678,6734,7018,7142,7018,6779,6663,6663,6573,6556,6346,6236,6409,6300,6526,6552,6548,6655,6457,6456,6349,6046,6058,6010,6114,6193,6534,6745,6599,6268,6295,5914,5263,5239,5202,4848,4753,4629,4282,4016,3594,3240,2862,2660,2313,1933,1580,1267,972,746,479,287,143,88,53,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Wind,2056,2053,2039,2080,2136,2174,2236,2273,2273,2301,2309,2333,2384,2405,2425,2421,2456,2482,2522,2570,2605,2648,2676,2726,2762,2785,2823,2831,2850,2850,2856,2900,2946,2988,3037,3044,3039,3016,2998,3014,3037,3054,3017,2995,2965,2953,2999,3044,3115,3127,3109,3080,3032,2982,2953,2935,2927,2889,2860,2810,2812,2783,2730,2685,2655,2618,2558,2518,2513,2517,2528,2573,2609,2635,2599,2576,2556,2539,2501,2502,2491,2483,2494,2545,2605,2656,2726,2769,2800,2833,2822,2812,2809,2767,2691,2669,2650,2696,2803,2824,2844,2863,2910,2942,2992,2949,2848,2758,2723,2746,2780,2849,2855,2819,2705,2607,2540,2509,2443,2398,2395,2374,2325,2282,2291,2331,2428,2490,2563,2594,2644,2666,2686,2798,2854,2875,2886,2790,2703,2669,2682,2779,2894,3012,3139,3147,3044,2975,3030,3100,3199,3156,3131,3127,3143,3217,3217,3184,3229,3264,3284,3321,3362,3414,3500,3538,3534,3574,3553,3617,3661,3708,3707,3768,3803,3845,3879,3888,3881,3820,3827,3861,3873,3875,3865,3917,3935,3911,3893,3897,3954,3984,3946,3932,3889,3822,3738,3657,3598,3596,3574,3568,3572,3602,3610,3576,3563,3536,3497,3469,3485,3479,3483,3465,3499,3521,3460,3424,3395,3297,3231,3133,3048,2931,2862,2823,2825,2812,2799,2819,2819,2744,2704,2699,2629,2544,2500,2552,2592,2654,2731,2713,2666,2645,2639,2616,2614,2615,2745,2796,2794,2797,2740,2661,2623,2646,2671,2727,2782,2852,2910,3020,3060,3109,3167,3207,3192,3164,3194,3174,3151,3141,3180,3202,3244,3290,3271,3273,3291,3324,3265,3148,3083,3123,3210,3328,3435,3585
Geothermal,828,829,829,829,829,829,829,829,829,828,829,828,829,829,828,828,829,829,828,829,828,828,828,828,829,829,830,829,828,829,829,828,829,828,828,827,827,828,828,828,827,828,828,828,828,828,829,828,828,827,828,828,827,828,829,828,828,828,828,828,828,828,828,828,827,828,825,828,828,828,828,828,828,827,826,827,827,828,825,828,827,828,828,828,828,829,829,830,829,829,829,828,829,828,827,828,827,827,827,826,826,826,826,826,825,826,825,826,826,825,825,825,825,825,824,825,825,824,824,825,823,824,825,824,824,824,825,824,824,824,824,824,826,825,826,826,826,826,827,825,826,826,826,826,825,825,826,826,826,826,825,825,826,825,825,829,833,833,832,830,839,843,848,854,853,854,855,855,855,854,854,854,854,855,854,855,854,854,855,854,855,858,860,859,861,868,873,885,903,913,929,940,947,945,945,944,943,943,941,942,942,942,942,942,943,942,942,933,915,915,920,932,942,943,943,943,942,943,942,942,942,942,942,942,942,942,942,942,942,942,941,941,942,942,942,941,940,941,940,940,940,941,940,940,940,941,941,941,941,940,941,941,941,941,940,940,940,939,940,941,940,940,940,941,940,941,941,941,941,941,940,942,941,941,940,940,941,941,940,941,940,940,941,941,941,941,941,941
Biomass,291,292,293,295,296,291,291,293,294,295,294,296,295,293,295,296,295,293,296,294,295,296,296,298,297,297,298,300,301,299,300,300,296,295,296,295,295,297,296,296,296,299,300,301,301,300,301,299,299,301,300,300,299,300,299,297,298,297,296,294,294,295,294,294,295,294,293,293,290,291,290,289,287,287,288,288,291,290,290,292,290,292,291,289,289,292,292,292,292,292,288,289,290,293,292,294,293,294,293,291,292,291,290,290,287,289,280,281,285,280,281,279,278,276,274,271,268,273,275,279,282,280,280,279,277,276,276,279,280,278,274,276,273,273,274,277,276,276,276,277,278,277,279,277,276,278,279,278,277,273,276,275,276,276,278,279,277,279,281,281,283,281,281,281,282,281,281,280,279,278,280,277,274,276,280,280,280,279,281,282,283,285,285,286,285,284,288,290,290,290,292,294,296,295,296,298,296,297,296,294,295,296,297,297,296,294,292,294,294,293,292,289,287,291,291,291,291,292,292,293,293,293,294,292,292,290,291,290,290,286,290,290,290,288,290,291,291,290,290,290,291,290,290,291,289,287,286,289,291,290,290,290,287,289,290,289,290,292,293,292,293,293,291,289,289,287,290,290,288,286,286,286,287,287,287,288,290,286,286,288,289,288,286,283,285,285,289,286
Biogas,211,211,211,211,212,212,211,212,212,212,212,212,212,212,212,211,212,212,211,211,211,212,212,212,212,212,211,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,211,212,211,212,211,211,211,209,209,209,209,209,211,211,211,211,211,211,211,211,211,211,211,211,210,211,210,212,211,210,211,210,210,211,212,211,210,211,210,211,211,210,210,211,210,210,210,210,207,207,207,207,207,207,207,208,207,207,207,207,208,209,208,207,208,208,208,208,208,206,204,204,205,205,205,204,204,204,204,206,208,211,208,208,208,208,208,208,209,208,208,208,208,208,208,208,208,208,208,208,208,208,209,209,209,209,208,208,209,209,209,209,208,209,209,209,210,210,209,209,209,209,209,208,203,203,202,202,202,203,202,201,201,200,201,201,201,201,201,201,201,202,202,202,204,204,203,204,204,205,204,204,205,203,205,205,206,207,207,208,208,208,208,206,207,206,206,207,206,205,204,204,204,204,206,208,207,208,208,210,209,209,207,207,208,208,208,208,209,209,209,209,210,211,215,218,220,219,219,222,223,210,209,209,210,209,209,209,209,208,208,209,209,210,215,219,219,221,221,220,221,221,221,222,221,221,221,221,221,221,222,222,222,222,222,221,221,220,220
Small hydro,474,456,433,420,418,419,419,418,418,418,417,418,418,402,403,402,403,403,403,402,403,402,403,402,402,404,405,406,404,406,405,406,407,406,406,405,404,406,407,407,408,407,407,408,407,405,404,404,399,378,379,378,377,377,377,376,375,375,374,376,376,374,375,376,375,376,374,374,375,375,376,376,376,374,381,388,389,390,389,390,397,404,405,404,404,404,404,404,404,403,403,402,402,401,401,401,401,401,399,399,399,399,399,399,398,399,401,401,401,420,425,426,427,427,428,429,428,429,429,429,429,428,431,430,429,429,429,428,427,427,429,428,429,429,428,429,428,429,429,428,428,429,428,428,429,427,418,412,412,413,413,413,414,413,413,413,414,414,414,414,413,414,413,414,413,413,414,416,416,416,421,424,424,423,425,425,426,424,423,425,424,425,424,427,425,424,423,424,424,424,425,424,424,423,423,423,424,425,425,426,426,425,424,424,423,424,425,425,424,425,425,423,425,424,423,424,425,425,424,425,423,424,423,424,422,424,425,425,425,452,458,459,459,459,458,459,459,457,457,457,463,516,538,546,548,547,547,546,546,546,546,546,545,546,547,546,546,546,545,546,545,546,547,546,546,542,539,540,540,540,541,540,540,541,541,540,542,543,543,542,542,542,542,542,541,542,540,535
Batteries,98,102,39,-92,-99,-100,-96,-96,-85,-26,-47,-20,-37,-32,-21,-10,-19,-10,-2,-2,-2,-2,-2,-2,-2,-12,-13,11,13,-1,-10,-11,-11,-11,-12,-12,-10,44,48,42,11,6,1,12,21,-1,-1,-1,-1,-7,-1,5,18,32,13,0,2,2,8,12,7,21,43,49,28,24,20,17,16,15,13,-35,-86,-66,-14,9,9,9,10,9,9,9,9,-11,-52,-34,-57,-85,-85,-91,-70,-72,-61,-74,-62,-68,-63,0,-2,-18,-80,-59,-6,-24,-69,-75,-53,-56,3,12,18,-8,-42,51,101,98,87,97,70,22,-30,-44,-3,3,2,3,-57,-81,-31,14,15,27,61,5,-1,-35,-3,-1,23,60,42,-30,-77,-40,-13,-39,3,17,-38,-95,-113,-91,-26,9,17,-43,-41,-30,-56,-48,5,20,-2,-57,-44,-1,7,7,9,89,103,6,-106,-30,102,108,65,-9,-100,-63,38,48,37,-74,-100,-92,-46,-60,-42,-51,-50,-56,-11,-46,-2,-20,13,106,113,-21,-76,-68,-66,-69,-28,-12,-51,-28,28,70,-13,-61,-57,-57,-23,-3,-3,-1,5,-2,28,99,102,100,83,79,77,87,95,53,25,-42,-88,-85,-76,-15,-31,-93,-111,-111,-112,-47,13,37,6,6,-1,5,4,5,4,28,70,110,101,49,34,-17,-106,-90,-55,29,31,15,-50,-102,-48,-5,0,0,0,0,0,0,0,0,2,42,43,0,56,91,81,13,0,-41,-44,-77
