Renewables 04/17/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,92,197,351,542,766,1033,1331,1677,2070,2464,2878,3318,3779,4192,4602,5062,5500,5953,6395,6816,7224,7545,7857,8100,8369,8585,8669,8890,9094,9293,9424,9553,9658,9739,9845,9936,10012,10077,10150,10150,10201,10377,10441,10488,10547,10609,10634,10627,10724,10713,10743,10717,10612,10577,10460,10785,10934,10995,11048,11085,11005,11015,10927,10812,10793,10705,10660,10531,10562,10780,11016,11178,11223,11232,11215,11204,11213,11137,11219,11224,11219,11218,11229,11241,11248,11178,11192,11177,11136,11119,11128,11178,11189,11167,11074,11074,11080,11055,11040,11017,11012,11035,11023,10839,10683,10696,10579,10575,10705,10708,10530,10485,10486,10477,10419,10110,9981,9925,9699,9621,9695,9787,9761,9787,9736,9635,9451,8880,8413,8197,8001,8180,8125,7911,7631,7285,6892,6471,6028,5560,5068,4582,4110,3633,3154,2702,2282,1850,1420,1082,784,566,406,290,209,149,69,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
Wind,3428,3413,3431,3441,3434,3472,3466,3431,3416,3392,3380,3384,3441,3461,3486,3500,3522,3523,3471,3425,3374,3354,3322,3302,3229,3168,3100,3030,2946,2863,2831,2824,2833,2861,2856,2822,2799,2774,2796,2848,2899,2971,3057,3114,3184,3273,3302,3308,3251,3171,3085,3045,3005,2985,2978,3023,3083,3093,3091,3130,3128,3123,3143,3110,3062,3043,3042,3028,3004,3001,2988,2942,2879,2775,2685,2564,2432,2330,2262,2178,2145,2162,2151,2087,2034,1932,1862,1803,1725,1671,1658,1635,1622,1603,1554,1487,1422,1360,1284,1224,1180,1164,1148,1146,1122,1077,1033,982,977,948,898,847,814,816,830,823,819,802,784,764,742,740,719,717,721,726,729,745,751,756,766,774,787,805,829,850,865,827,797,773,751,730,705,676,671,633,618,637,622,596,588,596,582,570,547,517,478,461,446,435,422,417,414,447,480,511,539,568,574,598,620,666,685,691,644,422,407,385,368,363,369,372,364,362,354,358,372,384,395,415,490,590,634,608,576,579,587,591,580,574,569,567,578,579,583,579,573,579,568,571,576,594,602,598,614,641,670,713,775,835,902,956,983,1000,1021,1031,1042,1037,1053,1090,1130,1174,1181,1175,1200,1232,1237,1259,1261,1262,1257,1308,1377,1462,1586,1720,1796,1868,1934,2028,2101,2149,2213,2300,2322,2298,2255,2186,2134,2116,2100,2034,1945,1856,1815,1790,1729,1652,1570,1503,1456,1429,1398,1386,1369,1328,1314,1349,1382,1377,1351,1327,1296,1278,1265,1233,1203,1152
Geothermal,949,948,947,947,948,949,947,949,949,948,949,949,948,948,948,949,948,947,949,948,948,948,948,948,948,948,949,948,948,947,946,948,947,948,947,948,947,946,947,947,947,948,948,948,949,948,948,947,947,947,947,947,947,946,947,947,947,947,946,947,947,946,947,948,947,948,948,948,948,948,948,948,948,948,946,948,949,949,950,949,949,949,947,946,943,943,942,942,941,938,938,936,935,935,935,934,935,933,933,933,933,933,932,931,932,931,931,931,931,932,930,930,930,930,929,928,929,929,929,928,928,928,928,929,927,929,929,928,928,927,927,927,927,926,926,926,926,925,926,925,924,925,925,925,924,924,924,924,924,923,924,924,924,923,923,923,923,923,923,923,923,922,923,923,922,922,922,921,923,922,922,921,922,922,921,921,920,921,897,868,873,867,873,873,872,872,871,871,872,872,872,872,872,871,872,871,871,871,871,871,872,872,872,872,872,872,872,872,872,873,872,873,874,873,873,873,872,873,873,874,873,873,873,873,873,874,874,875,875,874,874,874,875,877,881,881,881,883,884,886,887,887,887,885,887,887,888,888,889,889,889,888,935,887,888,903,958,951,886,887,888,887,887,887,888,888,886,890,889,888,887,890,889,889,889,889,889,888,889,889,888,889,890,889,888,889,888,888
Biomass,278,283,283,282,284,286,285,283,282,285,284,286,284,284,282,284,284,285,286,286,288,288,286,288,287,288,288,289,288,288,284,285,285,286,286,287,286,287,288,289,288,289,289,291,290,289,289,290,288,289,290,291,290,289,288,290,291,289,289,288,288,290,290,290,289,289,288,288,288,288,288,287,287,286,284,284,286,286,285,287,286,286,288,285,285,284,285,284,283,281,279,281,283,285,288,287,291,291,291,288,290,287,285,287,287,286,286,287,288,288,288,286,285,279,279,276,276,276,278,282,282,287,287,284,281,277,279,280,281,283,284,284,283,281,279,276,277,276,275,275,275,276,277,278,279,281,281,278,276,277,276,276,277,278,278,279,278,275,274,278,279,279,279,279,276,276,278,278,273,270,270,272,272,271,269,269,273,275,280,279,281,282,282,281,280,280,279,281,281,270,266,269,277,282,284,285,286,286,283,284,284,283,284,283,282,280,279,281,282,283,281,281,283,284,282,285,285,289,289,285,285,284,286,284,283,283,285,285,286,286,287,287,287,288,288,285,287,289,290,287,287,285,287,290,290,288,287,287,286,288,288,289,287,290,288,289,289,290,290,287,290,287,288,291,293,291,291,287,288,290,290,286,287,289,289,289,288,290,291,289,289,288,286,285,285,285,285,285
Biogas,201,201,201,202,201,201,201,202,204,203,203,204,204,203,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,202,203,202,202,202,202,202,202,203,203,203,202,203,202,202,202,203,203,204,203,203,203,202,203,197,193,193,193,197,200,201,201,201,201,202,203,202,202,202,203,201,201,201,201,202,201,201,201,202,201,201,201,202,201,199,200,195,194,194,194,195,194,192,191,188,188,188,187,188,187,187,190,188,190,190,191,192,193,193,191,191,191,191,190,191,190,191,190,190,191,191,190,190,190,191,191,190,192,190,190,191,190,190,190,191,190,190,191,190,190,190,190,190,190,190,190,190,189,189,189,188,189,189,190,190,191,191,193,192,193,195,198,197,199,199,200,199,199,199,201,202,201,202,203,203,203,204,205,204,205,204,204,204,204,205,202,193,193,192,192,191,191,191,192,191,191,191,191,191,191,191,192,192,192,192,191,191,192,192,194,191,191,191,192,192,192,192,192,193,192,194,198,199,200,205,204,203,205,206,207,209,211,212,213,213,213,213,214,213,212,213,216,216,216,217,216,216,216,216,217,216,216,216,216,216,217,216,216,216,215,215,214,215,215,215,215,216,215,216,216,216,215,215,215,215,215,215,215,216,215,215,215,216,215,215,215,215,215,215
Small hydro,438,444,447,448,448,448,448,448,448,449,449,448,448,449,448,448,448,449,448,448,449,449,449,448,448,447,447,448,446,448,447,447,446,446,449,447,447,449,452,449,449,449,450,450,449,449,448,449,449,449,449,449,449,450,450,450,449,449,449,449,448,448,448,447,452,447,448,447,448,448,448,448,448,448,448,448,448,449,449,449,449,449,450,450,449,450,449,450,449,449,449,449,449,449,449,448,447,447,448,447,446,446,446,446,446,447,448,447,443,451,456,457,459,459,460,460,460,460,460,460,460,459,461,457,456,456,456,460,470,470,469,470,470,470,470,469,469,468,468,422,420,420,420,420,420,420,421,420,420,420,427,425,428,427,427,427,428,428,429,429,429,429,429,429,429,427,428,428,427,427,427,426,427,425,429,427,427,427,430,427,427,427,450,448,469,470,472,471,470,471,473,474,473,474,474,474,472,472,472,472,473,472,472,471,474,473,473,472,473,472,474,475,475,474,475,475,475,476,473,474,473,473,474,475,478,482,485,485,575,583,583,581,582,582,581,581,581,582,581,582,581,581,581,580,581,580,581,580,580,579,579,580,578,578,582,581,580,580,581,579,580,580,580,580,480,473,474,476,476,476,475,476,476,476,475,476,475,475,476,476,476,475,475,475,476,476,476,475
Batteries,22,43,8,24,36,12,-6,-2,-2,-3,-6,-9,-9,-32,-23,-22,-22,-22,-21,-22,-17,-22,-21,-21,-21,-6,5,-8,-10,-5,-10,-12,-78,-90,-19,-11,-4,-1,-3,-1,-12,-30,-23,-28,-28,-28,-27,-8,-13,-9,-1,-8,1,-1,-1,-5,-36,-28,-17,-4,-18,-16,-6,-6,-6,-15,-10,-6,-6,-6,-18,-33,-48,-15,9,7,15,-2,-46,2,33,7,4,-9,-69,-33,0,-37,-30,-48,-80,-25,-53,-41,-46,-31,-6,-7,0,-18,-25,-46,-38,-24,1,80,105,77,3,-5,-5,-5,98,28,-46,-54,-51,-51,-62,-26,-3,10,62,1,-1,-2,-2,-2,-2,-2,-2,-2,26,-1,0,-40,10,-4,3,4,17,62,63,85,60,92,102,16,-3,-68,-83,-60,0,0,0,0,0,0,0,-10,0,-5,0,0,-31,-71,-24,-12,0,1,0,0,19,4,-1,24,0,13,1,-2,-35,6,4,38,77,78,48,36,61,71,50,18,-38,-20,-41,-49,-26,-7,-9,-10,-8,12,8,16,17,37,10,15,81,73,69,-24,-15,-3,-13,-9,2,9,8,18,89,111,87,19,13,12,5,12,-6,-62,-78,-86,-82,-72,-35,-54,-55,-16,-24,-56,-65,-29,-46,-45,-45,-36,-27,19,-12,-19,-26,-17,-28,-14,7,-1,7,66,7,10,60,83,103,103,93,80,18,-6,-6,-6,-4,-1,-17,-32,-35,-30,0,34,-20,-59,-51,18,34,34,34,31,21,4
