Renewables 04/25/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,63,154,284,456,664,927,1231,1550,1927,2329,2735,3145,3603,4053,4446,4828,5232,5701,6246,6658,7044,7370,7676,7995,8338,8588,8780,8951,9089,9263,9386,9486,9604,9718,9835,9961,10037,10108,10190,10272,10336,10408,10473,10523,10580,10626,10668,10707,10755,10776,10826,10865,10905,10957,10985,11011,11030,11046,11066,11076,11094,11102,11138,11220,11221,11212,11205,11220,11213,11174,11141,11116,11103,11116,11138,11135,11134,11115,11067,11106,11115,11097,11061,11056,11062,11045,10912,10788,10656,10550,10461,10384,10429,10379,10314,10332,10267,10240,10262,10273,10219,10257,10334,10311,10173,10154,10098,10193,10197,10149,10080,10048,9971,9911,9922,9844,9753,9701,9676,9638,9657,9637,9556,9486,9436,9433,9355,9236,9053,8918,8654,8324,8096,7834,7516,7139,6797,6459,6103,5745,5316,4903,4516,4256,3731,3275,2928,2588,2273,1997,1754,1446,1132,895,685,513,328,201,72,34,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0
Wind,3026,3063,3098,3107,3113,3152,3127,3145,3172,3151,3198,3237,3252,3261,3274,3258,3238,3209,3192,3161,3165,3125,3154,3105,3085,3081,3058,3093,3138,3166,3182,3211,3212,3227,3215,3204,3179,3129,3127,3078,3082,3076,3083,3085,3091,3108,3125,3146,3160,3166,3159,3176,3155,3168,3143,3108,3095,3090,3063,3023,2999,2972,2912,2865,2809,2765,2708,2668,2624,2586,2542,2498,2452,2411,2370,2380,2346,2321,2267,2239,2192,2141,2086,2032,1971,1898,1830,1793,1745,1696,1640,1579,1531,1478,1425,1372,1337,1305,1290,1294,1321,1368,1379,1345,1299,1263,1231,1200,1164,1146,1119,1086,1060,1029,1010,990,984,984,969,950,944,930,909,917,902,885,882,867,857,831,813,795,775,758,748,740,732,737,716,700,704,705,710,705,697,718,719,716,718,714,719,686,684,708,720,727,716,744,756,767,796,829,854,882,919,959,979,1005,1024,1045,1080,1119,1149,1157,1126,1153,1177,1188,1186,1262,1364,1428,1466,1421,1448,1495,1592,1689,1738,1807,1901,1995,2100,2168,2179,2239,2281,2356,2403,2437,2480,2533,2634,2724,2772,2825,2885,2893,2874,2852,2850,2820,2783,2797,2822,2891,2882,2885,2869,2874,2892,2928,2945,2981,3008,3010,3017,3005,3013,2998,2972,2976,2972,3001,3032,3043,3027,3011,3048,3104,3166,3258,3310,3283,3223,3145,3099,3127,3130,3098,3058,3014,3009,3004,3029,3042,3063,3090,3089,3130,3190,3193,3331,3337,3245,3177,3105,2979,2987,2979,3008,3111,3133,3141,3179,3188,3193,3171,3126,3111,3061,3012,3027,3047,3038,2983,3028,3010
Geothermal,720,722,721,721,722,721,721,721,721,722,721,721,721,722,722,722,723,722,721,723,723,723,724,724,724,724,724,724,724,724,724,724,725,724,722,725,724,724,724,724,725,725,725,725,725,725,725,725,725,726,725,725,725,725,724,725,726,725,726,726,726,726,725,726,726,726,726,727,726,726,725,726,726,727,725,727,727,726,726,726,728,728,727,727,727,727,727,726,727,727,727,726,727,727,726,727,726,725,726,727,725,727,727,725,725,724,725,724,724,723,724,724,724,723,723,723,722,722,722,722,722,721,721,720,721,720,720,720,720,720,719,720,719,718,718,718,717,717,717,715,716,716,716,716,715,715,716,715,715,714,714,715,716,716,715,715,716,716,715,715,716,716,715,715,715,715,715,716,715,715,715,714,715,715,714,713,714,715,714,715,714,714,714,716,715,715,715,715,715,714,715,715,714,715,715,716,719,728,737,746,754,758,761,759,759,760,759,760,760,760,759,760,759,759,760,759,760,760,759,759,760,759,760,760,760,761,761,759,762,762,762,762,762,762,762,762,763,764,763,762,763,764,763,764,764,765,755,698,666,669,690,741,769,768,766,766,767,767,766,767,767,768,769,769,769,770,769,770,770,771,771,771,772,771,772,771,772,771,743,717,692,642,645,715,744,750,752,754
Biomass,311,310,310,309,309,308,307,306,308,309,311,311,309,308,306,309,310,310,310,310,309,308,310,310,310,312,313,312,311,311,312,312,313,314,311,313,314,313,313,312,314,313,314,316,315,314,313,316,316,317,316,316,317,318,317,317,316,316,316,313,314,314,314,314,316,315,317,315,313,313,313,311,310,310,309,308,308,308,304,300,298,299,299,298,297,299,300,301,298,300,300,300,300,297,292,297,300,300,301,303,302,302,303,306,304,302,299,297,300,299,298,297,296,296,293,293,292,289,288,290,293,295,295,297,296,294,293,292,293,293,289,290,286,287,288,288,288,289,291,290,290,291,291,287,283,285,288,291,293,293,292,293,295,294,292,294,293,293,291,291,292,292,291,293,293,292,290,290,289,288,290,290,291,292,293,291,293,292,291,293,294,296,299,300,298,298,300,304,304,303,304,303,305,307,306,308,308,309,310,308,308,309,309,311,308,304,303,300,297,294,298,301,301,300,302,300,295,303,303,303,303,303,302,304,304,304,304,302,303,303,304,301,301,303,302,300,294,298,301,302,301,302,303,302,303,302,301,301,302,302,302,301,301,296,299,300,297,296,294,297,298,298,299,299,300,299,298,298,298,299,301,299,298,298,299,298,298,297,298,296,297,298,300,298,295,295,295,298
Biogas,219,218,219,219,218,219,219,219,219,218,219,219,219,219,219,219,220,219,219,218,219,219,219,219,219,220,220,219,219,220,220,220,220,220,220,220,219,219,219,219,219,218,218,218,219,218,218,218,218,218,218,218,218,218,217,218,218,218,218,218,218,218,217,218,218,217,218,218,218,218,218,218,218,217,216,216,216,217,216,216,216,216,217,216,218,217,215,215,215,214,214,214,214,214,213,214,212,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,210,210,211,210,211,210,210,210,209,208,208,208,208,208,208,208,208,208,207,208,208,208,207,209,207,207,209,208,208,208,208,209,209,209,209,210,209,209,209,210,210,210,209,209,210,212,213,212,213,213,213,212,211,211,210,211,210,211,211,212,212,213,213,213,213,213,214,213,214,216,217,215,215,215,216,216,215,215,215,216,216,216,215,217,216,216,217,217,216,217,217,217,217,217,217,217,218,218,219,219,218,218,218,219,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,218,219,218,218,219,218,218,218,219,219,218,218,218,218,218,218,218,218,218,218,219,218,218,218,218,218,218,218,218,218,219,218,218,218,218,219,219,218,218,218,218,218,218,219,218,218,218,219,218,220
Small hydro,469,469,470,471,471,470,470,470,469,470,469,469,469,469,469,469,468,468,469,468,467,467,467,468,468,467,436,408,409,408,409,408,410,409,409,410,410,410,411,411,411,412,411,412,411,411,411,411,409,448,495,493,493,493,494,493,495,495,497,495,494,492,491,494,491,492,491,496,494,493,492,494,493,494,494,495,493,494,494,494,496,500,499,498,498,497,497,496,496,495,496,494,493,493,492,492,492,489,413,415,412,414,413,412,412,412,412,413,414,414,415,415,415,416,416,416,415,416,415,415,415,416,416,415,414,414,413,411,414,413,411,413,414,411,409,410,411,412,412,412,412,412,413,414,414,413,414,414,414,414,414,413,412,413,414,415,414,415,415,415,415,414,414,413,414,413,410,410,409,410,410,410,411,410,411,412,412,412,413,413,405,403,401,402,403,403,403,403,403,403,406,407,405,411,421,420,418,418,415,418,415,415,415,417,419,425,503,515,516,516,518,517,520,520,519,522,541,560,605,607,607,607,606,606,605,605,605,605,604,604,603,605,605,605,605,604,604,604,605,604,605,605,605,605,604,604,603,603,604,604,604,604,604,605,604,604,606,604,605,605,604,604,603,604,603,588,545,517,516,515,514,514,514,513,512,512,512,512,512,499,483,472,472,473,473,472,471,472
Batteries,-26,8,-1,-4,-4,-29,1,-16,-1,0,-5,-12,-38,-19,-33,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-1,11,8,0,-12,-31,-24,-18,0,0,0,0,0,-1,0,-3,-1,-5,0,-4,0,-2,-11,-8,0,-2,-4,-4,-4,-2,0,0,0,0,-16,3,4,5,5,13,5,5,16,10,5,5,5,-12,4,-37,-1,5,4,18,12,2,-43,-45,-38,-32,-47,-44,-30,-32,-10,-4,-6,-5,-15,-28,7,61,120,54,5,-65,-3,21,118,33,-15,2,9,-20,-61,-89,-23,8,-5,-1,-1,-29,-39,3,-1,58,110,31,-36,-50,-54,-54,-32,-1,0,0,-2,-3,-3,-11,-28,-6,-8,-8,-1,-10,-28,-14,-5,11,40,21,13,10,-5,-11,18,8,20,16,11,-20,-6,12,1,1,17,7,0,1,2,1,-41,-30,-4,1,12,75,34,4,0,0,-15,0,0,-57,-59,-3,0,0,0,-1,-2,43,3,-46,-45,28,30,-8,-38,-9,1,1,0,-15,-47,-10,-9,1,34,102,108,99,102,103,102,102,95,60,2,-31,-37,-38,-23,6,6,-23,-34,-4,-25,-8,3,12,-14,-27,-31,-25,-16,-11,-10,-6,-13,-2,-4,-3,-1,1,4,4,4,4,4,8,14,27,2,6,0,1,2,0,-1,15,-6,-4,-10,0,-1,27,8,-3,30,-5,0,-43,-68,-72,-38,2,2,36,31,10,34,85,38,0,-6,-17,-32,-77
