Renewables 04/27/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,87,202,363,558,815,1132,1451,1697,2037,2417,2924,3380,3829,4075,3947,3932,4047,4380,4643,4967,5384,5948,6404,6549,6430,6598,6654,6544,6571,6781,7093,7101,7285,7879,8303,8445,8558,8652,8720,8715,8653,8668,8522,8588,8585,8490,8469,8500,8483,8453,8134,8138,8381,8561,8569,8640,8630,8587,8725,8442,8208,8392,8671,8560,8201,7677,7739,8151,8287,8385,8314,8446,8602,8168,7966,8334,8778,8944,8966,8552,8156,8445,8662,8723,8646,8361,8356,8496,8609,8805,8751,8533,8737,8997,8932,8997,8946,8581,8348,8461,8690,8855,9225,9617,9509,8850,8461,8463,8586,8551,8707,8857,8788,8405,8200,8029,8205,8015,7814,7618,7383,7363,7396,7374,7325,7327,7482,7363,7192,6970,6692,6461,6424,6429,6561,6666,6841,6424,6215,6057,5561,4957,4733,4318,3978,3681,3260,2822,2420,2097,1792,1436,1068,817,621,456,327,232,144,51,15,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Wind,4286,4301,4276,4264,4247,4206,4217,4211,4173,4181,4207,4231,4232,4247,4268,4297,4374,4407,4433,4402,4385,4376,4392,4429,4454,4468,4490,4530,4562,4559,4567,4556,4504,4469,4471,4510,4508,4499,4442,4425,4495,4548,4533,4543,4594,4595,4626,4601,4604,4618,4625,4614,4594,4650,4698,4686,4676,4662,4587,4536,4498,4467,4391,4334,4236,4147,4085,4044,4021,4002,3920,3870,3838,3840,3798,3774,3789,3759,3760,3737,3738,3684,3623,3573,3583,3588,3555,3550,3542,3552,3521,3474,3442,3413,3402,3398,3395,3408,3391,3380,3352,3340,3329,3313,3332,3335,3324,3343,3381,3446,3465,3461,3389,3380,3397,3377,3359,3321,3275,3209,3162,3133,3153,3127,3112,3094,3067,3062,3059,3029,3012,2975,2977,3029,2970,2916,2938,2954,2932,2944,2908,2889,2896,2880,2849,2845,2867,2882,2853,2888,2941,2958,2984,3009,3056,3124,3177,3198,3216,3219,3219,3156,3095,3178,3236,3211,3165,3194,3245,3247,3226,3265,3261,3293,3408,3470,3483,3491,3516,3519,3540,3576,3624,3671,3682,3742,3777,3789,3911,3981,4017,4023,4061,4115,4182,4197,4210,4192,4158,4152,4135,4152,4137,4150,4207,4225,4208,4193,4147,4172,4144,4094,4098,4136,4173,4165,4182,4158,4159,4128,4091,4078,4099,4111,4114,4181,4234,4276,4336,4396,4377,4331,4325,4304,4278,4213,4216,4217,4193,4194,4201,4213,4293,4436,4409,4440,4417,4418,4327,4254,4218,4132,4048,3927,3788,3696,3679,3669,3621,3594,3603,3665,3715,3724,3736,3738,3715,3681,3692,3678,3699,3740,3744,3741,3732,3747,3821,3814,3764,3728,3699,3714,3739,3779,3803,3818,3854,3877
Geothermal,893,892,891,892,892,891,890,905,905,907,908,907,909,909,909,910,912,911,911,912,912,913,916,916,912,912,912,911,911,911,909,899,897,897,899,898,898,898,898,899,897,897,896,897,898,897,894,898,900,898,897,898,899,898,897,898,897,898,898,898,898,898,899,897,898,897,902,911,910,911,913,912,912,912,912,912,912,913,912,912,912,909,900,901,901,901,877,846,840,840,842,845,848,848,849,856,857,860,866,870,867,867,864,856,852,851,851,852,851,863,864,862,862,861,860,861,862,860,860,859,855,856,863,865,866,865,864,859,857,857,857,856,856,856,855,855,856,855,854,854,853,853,854,853,854,854,852,851,851,851,851,849,850,849,851,851,850,850,851,852,852,852,851,853,851,851,851,851,850,850,850,850,851,851,850,850,850,851,849,849,849,848,846,847,846,845,846,845,846,847,848,847,847,847,846,847,848,847,848,849,849,849,848,849,848,849,852,851,852,857,857,859,866,867,867,868,868,861,858,856,859,856,858,859,859,859,858,855,852,857,871,884,894,908,914,893,867,854,851,849,850,855,859,858,858,859,874,881,881,880,882,891,890,889,886,887,887,886,886,885,883,882,885,884,884,883,881,882,880,880,879,880,880,881,881,881,881,886,889,887,888,888,888,889,888,888,889,888
Biomass,300,299,299,299,297,298,299,297,299,300,301,301,301,298,297,300,300,301,301,302,299,301,300,297,299,302,302,298,299,302,301,303,302,302,303,303,303,305,305,304,304,305,304,304,303,302,304,306,307,306,307,306,307,306,309,306,304,306,304,302,300,302,303,305,306,305,306,307,306,307,306,308,307,307,304,306,307,308,308,306,304,303,305,306,305,305,303,301,301,302,302,304,305,304,304,305,306,303,304,305,305,289,281,283,284,284,283,282,282,283,277,273,267,266,266,266,268,270,271,272,272,272,272,274,276,274,274,274,275,275,276,275,275,271,268,269,270,269,272,274,272,269,269,269,270,270,272,271,273,272,272,271,268,267,264,264,263,264,264,263,263,265,265,268,271,272,273,273,272,271,270,269,269,271,271,269,268,269,269,268,268,269,268,269,271,271,270,272,273,275,278,278,279,279,282,283,283,286,288,289,289,290,289,286,287,288,288,289,289,290,290,292,289,292,293,294,293,296,298,294,292,293,295,297,298,296,295,296,296,297,298,297,297,299,298,298,295,295,295,293,293,294,295,294,294,295,295,296,297,298,298,298,297,298,299,300,300,299,299,298,298,295,297,299,298,299,298,299,298,299,297,296,296,297,297,298,298,299,298,298,299,296,296,297,296,297,298,295
Biogas,214,214,215,215,217,217,217,218,218,218,218,217,217,218,218,218,217,217,217,217,217,218,217,218,217,217,217,217,217,217,218,217,217,217,217,217,218,218,218,218,218,218,217,218,217,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,219,217,217,216,216,216,217,217,217,217,217,216,216,216,218,216,216,216,216,216,216,216,217,216,215,216,216,216,216,216,216,216,216,217,216,216,216,215,215,217,216,216,216,216,215,215,215,216,216,215,215,216,215,215,216,215,216,215,216,215,217,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,208,195,196,197,195,195,195,196,196,196,196,196,196,196,196,196,197,196,196,196,196,196,196,196,196,196,197,197,197,197,198,198,197,197,197,197,198,197,197,197,198,197,197,197,198,197,198,197,198,197,197,197,198,198,197,198,198,200,201,202,201,204,205,205,208,208,208,210,211,212,213,214,214,215,217,216,217,217,217,217,217,217,217,217,216,217,217,217,217,217,218,217,217,217,217,217,215,217,217,217,216,217,217,218,217,217,217,217,217,217,217,218,217,217,217,216,217,216,216,217,217,217,217,218,217,217,217,217,217,217,217
Small hydro,447,452,459,461,463,463,465,464,463,463,463,462,463,464,463,463,462,461,461,460,460,461,461,461,460,461,461,461,461,461,461,461,462,462,462,463,462,463,462,462,463,463,462,462,462,462,462,462,462,462,462,461,460,461,461,461,461,461,461,462,461,460,461,461,461,461,461,461,461,461,461,461,462,462,463,461,461,461,461,461,461,461,461,461,461,461,462,462,462,462,462,461,462,462,462,463,462,462,463,463,464,464,463,463,464,465,465,464,465,465,466,466,466,465,465,465,464,464,465,465,464,463,463,463,462,462,462,462,462,461,451,428,422,422,422,422,422,422,422,423,424,425,426,426,424,424,430,436,437,437,437,439,439,438,438,437,430,424,420,419,418,419,419,419,418,418,416,415,418,416,416,415,417,422,436,438,439,439,439,438,437,442,456,457,458,458,458,457,457,456,457,458,449,450,459,459,458,459,460,460,460,459,458,457,457,458,458,458,459,458,459,458,457,457,458,460,499,506,508,513,516,518,518,518,518,519,519,518,518,525,549,551,551,550,549,549,550,550,550,564,564,563,562,562,562,561,562,561,562,561,560,562,561,554,549,549,549,549,549,550,550,549,550,550,550,550,551,552,551,551,551,550,551,549,549,549,548,547,528,494,493,493,493,493,493,493,492,490
Batteries,50,10,1,-55,15,50,30,8,9,9,8,11,4,-3,-3,-20,-14,-2,0,0,1,2,8,0,-1,34,52,2,-7,-6,-4,-4,5,41,14,-5,-6,-5,-1,24,0,0,-4,0,-1,0,0,-1,-1,-1,-1,-1,9,0,0,0,0,3,36,54,1,-2,5,11,24,35,31,12,18,3,31,52,0,52,84,14,0,-3,0,0,-2,-31,-5,-6,-68,-19,26,-30,-80,-93,-41,2,28,4,-46,-86,-87,15,41,44,54,41,41,69,45,40,-45,-9,25,-2,-2,-2,-2,-17,-72,-73,-57,-49,-8,-26,-26,-7,-8,-39,-8,-37,10,0,-17,-67,-40,-51,-77,-55,-70,-22,-11,-31,-34,-37,4,108,102,-18,-25,-39,-21,-39,-69,21,115,30,-65,-79,-48,11,108,-15,-86,-47,-14,43,98,27,-2,-19,-2,34,21,-31,-25,-14,0,63,81,76,44,36,-27,-102,-62,36,61,44,54,79,44,31,-35,0,54,70,25,-77,-56,7,8,12,12,0,0,-10,-46,-27,-13,-38,-5,61,51,13,0,10,0,47,77,4,0,-3,-21,-21,-2,-1,10,30,0,-2,-38,-4,3,-11,3,4,0,-27,-39,-35,-20,2,-1,-3,-22,-6,-6,-6,-6,-1,-2,-2,-2,61,16,15,81,99,100,52,7,8,8,7,-9,-32,-57,-43,-37,69,63,-4,-53,-61,-44,-72,-91,-82,-56,-2,4,93,106,45,53,31,31,37,29,28,11,4
