Renewables 05/01/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,85,191,327,498,699,946,1227,1525,1842,2210,2587,2970,3401,3803,4114,4410,4767,5123,5524,5943,6370,6735,7096,7664,8060,7941,8080,8275,8460,8623,8748,8856,8977,9081,9186,9217,9342,9691,10039,10078,10099,9898,9728,9616,9610,9719,10122,10393,10479,10448,10406,10364,10396,10314,10226,10256,10292,10256,10160,10207,10321,10249,10161,10168,10174,10198,10154,9921,10029,10293,10354,10384,10391,10344,10350,10367,10347,10370,10505,10464,10516,10534,10537,10577,10577,10493,10460,10465,10314,10326,10341,10276,10255,10256,10282,10295,10242,10476,10516,10534,10638,10710,10781,10715,10514,10392,10021,9840,9840,9630,9531,9639,9680,9642,9485,9281,9131,9131,8988,8671,8216,8130,8381,8387,8399,8349,8279,8374,8198,7943,8177,8386,8268,7467,7236,7564,7454,7210,6848,6326,5861,5681,5369,4967,4657,4318,3864,3485,3059,2696,2279,1907,1572,1272,1015,791,621,476,354,231,157,122,80,67,66,67,68,69,69,69,69,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,0,0
Wind,2325,2296,2292,2320,2319,2331,2360,2411,2458,2486,2524,2565,2606,2684,2758,2836,2914,3004,3112,3214,3297,3350,3376,3372,3260,3101,2981,2898,2808,2753,2684,2647,2646,2619,2652,2718,2783,2836,2858,2853,2859,2898,2938,2948,2929,2933,2902,2858,2866,2879,2890,2884,2869,2782,2733,2700,2663,2634,2588,2522,2494,2355,2316,2307,2282,2265,2238,2293,2309,2298,2229,2169,2180,2125,2066,2025,2017,1978,1902,1805,1728,1682,1646,1570,1541,1486,1413,1453,1411,1332,1286,1242,1158,1185,1181,1165,1149,1124,1225,1256,1159,1119,1106,1090,1057,1059,1042,1028,1019,1033,1017,1003,994,997,1003,1006,1017,1028,1054,1072,1078,1021,1014,990,959,923,912,905,878,861,831,821,796,757,716,702,682,668,655,622,593,579,561,560,543,518,527,520,523,517,523,512,510,510,534,538,540,554,537,534,539,528,522,521,520,515,516,514,521,534,564,599,619,611,631,653,663,693,707,750,777,810,820,848,854,875,894,903,936,947,958,969,939,976,1000,988,1020,1039,1061,1087,1104,1137,1170,1197,1226,1293,1350,1382,1417,1446,1500,1522,1558,1645,1686,1737,1776,1834,1891,1914,1942,1947,1941,1956,1942,1971,1978,2002,2016,2009,2016,2055,2103,2138,2186,2256,2321,2379,2425,2447,2493,2531,2552,2591,2602,2600,2642,2631,2664,2719,2797,2845,2872,2887,2913,2976,3009,3082,3157,3144,3201,3308,3440,3486,3510,3659,3698,3678,3661,3630,3575,3541,3521,3511,3377,3346,3381,3398,3596,3646,3655,3574,3543,3478,3440,3431,3445,3486
Geothermal,838,837,838,838,839,838,839,838,838,840,840,840,840,840,840,840,840,840,840,840,840,839,840,840,840,840,840,839,839,839,839,839,839,840,840,839,839,839,839,839,839,839,839,839,838,839,839,839,839,840,839,838,839,840,840,840,840,840,840,841,840,840,839,841,841,840,841,837,838,840,840,840,840,840,840,840,840,840,840,839,839,840,838,840,840,840,840,840,840,840,840,840,840,839,839,839,839,839,839,837,839,839,839,841,843,843,843,843,843,843,842,842,842,843,843,842,843,842,843,804,784,785,785,783,785,784,784,784,783,783,785,847,842,843,842,842,841,841,840,841,842,841,841,840,841,841,841,840,841,843,843,842,842,843,842,842,842,842,842,842,842,842,842,842,842,842,842,842,841,842,842,842,842,841,842,841,841,839,841,841,842,841,840,840,842,841,840,840,840,840,840,840,839,838,837,836,837,836,836,836,836,835,835,835,835,835,834,834,835,835,834,834,833,835,835,836,836,836,836,836,836,836,836,836,836,836,837,836,837,837,837,837,837,837,837,838,838,838,838,838,838,839,838,838,838,838,839,839,840,839,839,840,838,841,840,840,840,840,841,840,840,840,840,840,840,841,840,842,842,842,842,842,843,843,841,844,843,844,843,845,843,844,844,844,844,843,844,843
Biomass,317,316,313,312,309,311,315,319,322,322,324,326,324,324,324,327,327,326,326,327,326,327,328,327,327,328,324,326,325,328,328,329,330,331,332,332,332,331,331,332,330,328,329,329,328,328,323,321,325,328,328,326,327,328,329,328,326,327,327,329,330,331,328,328,329,330,327,326,326,326,324,321,318,320,323,324,324,324,325,325,326,326,328,326,326,327,325,325,325,324,323,326,327,326,326,328,328,329,327,328,327,327,327,326,326,326,326,327,329,329,330,328,328,326,322,312,306,305,311,316,321,326,325,325,325,319,322,325,325,324,324,324,327,324,323,323,316,313,315,317,320,316,318,320,322,322,321,322,322,320,308,309,311,317,321,322,316,308,311,318,318,316,319,316,309,312,316,321,323,322,321,319,319,315,316,316,316,319,314,316,319,317,313,311,316,325,325,323,327,325,327,328,328,329,332,332,332,332,329,331,334,335,334,335,334,329,330,329,333,332,327,324,323,323,322,323,321,320,325,325,327,328,325,322,311,319,331,334,333,334,336,334,331,329,325,325,325,323,327,330,328,328,326,327,328,329,330,331,329,329,329,328,330,333,333,330,331,331,330,332,333,334,331,331,331,331,329,329,329,329,330,329,328,328,328,331,332,330,328,329,328,327,327,328,328,330,329,325
Biogas,188,189,190,191,193,190,190,190,190,191,191,191,190,191,192,191,191,191,191,191,191,191,191,191,191,191,192,191,191,191,191,191,191,191,191,191,191,191,192,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,190,190,191,190,191,190,190,190,190,190,190,190,190,191,190,190,191,191,191,190,189,188,186,186,185,185,184,184,184,185,184,184,184,181,180,180,180,180,179,178,178,179,179,179,179,179,179,182,185,182,182,183,181,182,181,182,181,181,181,181,182,181,181,181,181,181,181,182,180,182,181,180,180,180,181,180,180,181,182,182,182,182,183,182,184,182,183,184,182,182,183,182,182,182,182,182,183,182,184,182,182,183,183,182,182,182,182,183,182,182,185,182,181,183,182,182,181,182,182,182,181,182,182,182,182,182,182,182,183,183,182,182,182,182,183,182,183,183,182,183,183,182,184,186,184,184,184,184,184,184,185,185,184,185,185,185,186,186,185,187,185,185,184,185,184,186,187,188,188,193,195,197,197,199,198,197,197,199,197,198,197,197,196,196,196,195,196,196,197,196,196,196,196,196,196,196,196,196,196,195,196,195,195,195,196,195,195,195,196,195,195,195,195,195,196,196,196,196,195,196,195,195,196,196,195,196
Small hydro,492,513,520,520,520,521,521,520,520,521,521,521,522,522,522,522,522,521,520,520,520,519,502,484,478,478,480,479,479,479,479,478,479,479,478,478,478,485,520,520,520,520,519,520,520,520,520,521,520,520,521,521,521,521,521,520,518,518,517,517,517,516,517,516,516,516,516,517,517,511,509,508,509,508,512,517,517,517,517,517,518,518,517,531,558,558,557,557,557,557,557,558,557,557,557,557,557,557,547,521,516,517,516,516,516,516,516,516,515,515,515,521,525,524,522,523,523,523,523,524,525,525,525,525,525,526,526,526,526,526,526,526,526,526,527,526,524,525,525,524,525,525,525,525,524,523,524,524,524,524,525,524,525,525,526,526,525,525,525,526,525,525,525,526,525,526,526,526,526,526,526,525,525,526,525,527,529,528,527,525,525,525,525,524,524,525,525,525,525,528,529,530,530,526,526,527,528,528,528,528,527,528,528,528,527,526,526,526,526,526,526,526,525,526,526,541,567,567,566,566,566,567,567,567,568,568,567,568,568,569,568,568,568,568,567,568,568,568,568,568,567,567,566,566,566,565,565,566,565,566,565,565,565,569,569,571,572,572,572,572,572,572,572,573,572,566,553,523,521,521,521,521,521,511,511,510,510,510,511,510,509,509,511,510,510,509,510,496
Batteries,29,29,40,17,10,-14,-44,-24,-19,-23,-40,-16,-29,-28,-42,-43,-41,-11,-45,-30,-27,-35,1,3,8,7,1,-7,-41,-20,-45,-11,-20,-12,-25,-35,-16,0,6,-5,-6,-11,-45,-34,-35,-50,-12,-23,-38,4,9,-3,-34,9,1,-1,-1,-1,-1,-1,-15,-10,-1,-1,0,0,0,0,-1,0,-1,-1,-40,-11,-28,17,23,21,17,28,17,17,17,-1,-36,-1,-2,-39,-38,-44,-49,-40,-64,-37,-56,-49,-38,-19,-48,-61,-21,-21,-21,-34,-26,-22,-21,-21,-21,0,58,58,15,-34,-67,-92,-80,-38,-27,-43,-52,-50,-26,-31,-20,-24,-24,-24,-24,-18,-23,-24,-25,-26,-26,-28,-24,-22,-38,-27,-20,0,68,-6,-67,-34,-31,-32,-6,-18,-1,9,-6,1,-11,5,-3,-4,4,-7,5,-18,26,-3,15,7,12,19,17,19,19,13,14,20,21,13,26,19,26,22,16,25,18,30,26,31,26,7,16,26,26,23,11,20,23,47,54,11,9,8,2,10,1,32,52,-18,-61,-60,12,20,-6,-6,-1,28,40,39,2,-31,-44,-40,-45,-21,-19,-26,-32,-28,-29,-26,-29,-56,-59,-56,-57,-57,-56,-52,-17,-42,-28,-30,-37,-19,-29,-31,-23,-38,-23,-35,-23,-34,-23,-39,-23,-42,-58,-54,-71,-52,-56,-28,-51,-38,-37,-11,-7,-26,-35,-20,-7,-20,-1,-11,-20,-4,8,21,22,2,12,3,31,30,28,33,36,25,-7,10
