Renewables 04/19/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,57,144,271,465,638,872,1188,1505,1893,2340,2686,3037,3480,3917,4322,4668,4994,5361,5718,5971,5864,5989,6285,6423,6702,7006,7007,7098,7321,7428,7430,7612,7883,8177,8290,8591,8770,8719,8718,8704,8705,8717,8551,8716,8906,9131,9122,8986,9222,9182,9160,9309,9279,8850,8673,9006,9512,9763,9830,9750,9517,9662,9549,9698,9926,9635,9523,9621,9468,9466,9627,9749,9535,9647,9808,9467,9309,9109,8845,8689,8821,9366,9214,8796,8529,8379,9111,9040,8844,8657,8778,8876,9410,9433,9615,9473,9421,9294,9315,9434,9383,9310,8997,9001,9188,9198,9234,9125,9337,9117,9065,8930,8402,8185,8227,8283,8239,8388,8303,8254,8121,8305,8403,8322,8142,8020,7893,7798,7482,7041,6974,6659,6469,6259,5886,5511,5309,4991,4660,4221,3839,3480,3025,2610,2207,1919,1646,1402,1197,967,779,632,511,397,291,207,177,144,111,92,73,57,58,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,0,0
Wind,792,779,768,765,738,709,679,663,642,621,591,573,565,543,525,510,487,465,458,458,459,451,433,423,412,412,407,406,400,391,384,378,371,356,340,328,314,305,288,269,276,278,271,267,262,253,252,252,258,273,280,276,272,271,274,277,269,257,244,242,235,227,218,212,217,229,240,239,225,214,203,193,183,174,170,169,164,158,155,155,153,147,138,125,108,90,81,72,67,60,61,62,62,58,54,52,51,49,46,43,41,35,32,27,24,21,16,15,15,15,13,13,11,15,17,22,31,42,46,52,53,58,63,66,73,80,94,114,129,133,139,154,161,157,159,153,159,169,177,181,179,180,186,198,191,200,202,209,210,200,205,208,226,231,211,203,207,205,200,194,174,166,164,166,174,174,167,168,177,181,182,181,175,180,212,231,250,264,274,304,317,322,361,386,419,448,470,526,585,634,690,769,805,817,876,945,1004,1056,1085,1110,1126,1175,1236,1297,1377,1423,1481,1536,1579,1646,1672,1695,1757,1853,1973,2042,2065,2101,2148,2157,2211,2248,2229,2209,2205,2164,2102,2067,2068,2084,2055,2038,2059,2080,2117,2128,2145,2186,2238,2328,2418,2486,2565,2619,2663,2694,2733,2775,2775,2795,2797,2799,2799,2775,2803,2882,2958,2989,2989,2975,2976,2934,2890,2867,2837,2817,2820,2832,2847,2885,2926,2942,2917,2902,2930,2993,3012,3065,3085,3103,3125,3134,3147,3168,3179,3221,3257,3293
Geothermal,878,879,879,879,879,879,879,880,879,879,880,880,881,881,882,883,882,882,882,883,884,883,883,883,884,883,883,883,883,884,884,890,891,892,890,889,893,893,892,892,891,892,892,892,892,893,892,892,892,892,892,892,892,892,892,892,892,893,892,893,893,893,895,895,895,894,896,895,896,893,896,895,896,894,894,895,894,893,894,895,894,894,891,893,894,894,893,893,893,892,893,895,893,894,894,894,893,893,893,893,894,895,894,894,894,895,896,892,892,890,891,890,892,892,894,895,897,895,895,895,896,893,887,891,894,895,897,897,896,897,897,897,896,897,897,898,899,899,899,898,899,898,900,899,899,899,899,900,899,900,900,901,902,902,904,904,904,903,904,904,905,905,905,905,905,905,906,905,905,903,902,903,902,904,903,902,903,904,904,903,904,902,902,903,904,902,903,902,902,902,902,902,903,902,903,903,904,904,904,905,905,901,905,905,904,904,905,905,906,906,906,906,905,906,905,905,906,905,905,905,906,907,906,907,907,907,907,907,907,908,908,908,908,909,909,908,909,908,909,909,910,910,910,910,910,911,910,910,912,910,910,910,910,910,909,909,908,908,909,909,909,908,909,910,909,910,911,910,910,910,911,913,912,912,913,913,913,914,913,914,915,916,917,917,916,916,915,915
Biomass,326,325,321,329,329,326,329,330,331,331,334,334,338,340,340,342,342,343,342,340,343,345,344,345,344,343,344,342,341,339,342,340,342,346,347,348,347,346,342,343,344,343,347,349,347,348,348,347,347,347,347,347,349,349,349,348,347,349,349,345,338,339,337,338,339,341,342,343,343,343,346,345,345,343,340,340,339,340,339,341,341,342,339,341,341,343,343,343,345,345,343,342,343,342,343,341,340,342,342,341,338,339,341,345,342,339,338,337,333,334,334,336,336,333,337,338,339,337,337,341,335,332,334,337,337,333,333,332,333,334,334,335,335,331,333,333,332,332,334,333,331,332,332,335,335,330,333,334,333,335,333,335,334,327,326,323,325,326,323,324,326,328,323,328,330,329,329,330,327,325,333,332,331,332,331,330,330,332,330,328,328,327,332,335,335,338,336,338,340,338,338,340,340,342,341,340,346,339,335,329,325,323,320,318,320,318,317,319,324,328,330,325,322,321,327,329,328,327,327,331,334,332,332,333,335,335,335,336,337,336,335,335,334,335,334,334,335,335,337,334,335,332,335,338,337,335,337,334,333,334,334,333,336,335,336,338,339,336,337,337,339,334,335,334,332,333,330,328,329,331,332,333,329,331,332,330,329,331,332,332,332,332,335,335,334,333,332,333
Biogas,219,221,220,220,221,220,220,220,221,220,220,220,221,220,222,221,221,220,220,220,220,221,221,220,221,221,221,221,220,220,220,221,221,221,221,220,220,220,220,221,221,221,221,221,221,221,221,221,220,221,221,220,220,221,221,221,221,220,220,220,220,220,221,220,220,220,220,220,220,220,220,220,220,221,221,221,221,221,221,222,222,221,222,221,221,222,224,222,222,222,222,223,223,222,222,222,222,222,223,222,223,221,221,218,218,220,221,222,222,222,222,222,221,222,222,221,222,221,221,221,221,221,221,221,221,220,220,220,221,220,220,220,221,221,221,220,220,220,220,220,221,220,221,222,220,220,221,221,221,220,220,220,220,220,220,220,220,220,221,221,219,220,220,219,220,220,220,220,221,220,220,220,219,221,220,220,220,220,220,220,219,220,220,220,219,219,219,220,220,220,220,220,220,221,221,222,221,221,221,221,221,221,221,221,221,222,221,221,221,221,221,222,221,222,221,222,223,222,221,222,222,222,221,221,222,221,222,223,222,222,222,222,222,225,222,222,223,224,223,222,223,223,222,223,223,223,223,224,223,224,223,223,223,223,223,223,223,222,222,222,222,222,222,222,222,222,222,222,222,223,222,222,222,222,222,223,222,222,222,222,222,222,223,222,222,222,223,222
Small hydro,435,432,434,434,433,433,433,434,436,436,436,436,436,435,436,436,436,436,436,435,435,435,435,435,435,436,435,434,434,435,433,433,430,433,429,434,434,433,431,434,435,432,435,433,431,434,435,435,434,434,435,434,435,437,437,437,437,437,437,436,436,435,435,435,435,435,435,435,435,435,435,434,433,432,433,434,433,434,433,434,434,434,434,435,434,434,435,434,436,435,435,435,435,435,435,436,435,436,438,439,438,436,434,434,433,435,431,431,434,434,432,433,433,433,433,433,433,435,434,435,435,436,436,436,436,437,437,436,435,435,435,438,440,438,435,435,435,435,436,436,436,436,435,436,436,436,436,434,435,434,435,435,434,436,436,436,440,440,439,439,438,441,445,448,449,457,460,460,459,439,440,439,438,438,433,432,432,432,431,431,432,433,432,429,431,430,434,437,438,440,439,436,436,436,437,436,436,437,438,439,437,438,439,443,460,459,458,459,459,459,460,460,460,459,459,459,459,459,466,491,489,490,490,490,490,489,489,489,490,489,489,490,480,470,470,471,471,471,471,472,472,472,473,472,472,471,471,464,450,450,450,448,449,449,449,449,448,447,448,447,448,447,447,447,448,448,448,448,451,450,460,470,472,472,471,468,439,440,440,440,441,441,441,440,439,438,438,437
Batteries,-1,2,0,0,-1,0,-1,0,0,-7,-7,-4,-13,-18,-7,-1,9,6,-1,-1,-1,-1,-1,1,-1,-1,33,46,40,0,-2,-1,-1,0,-1,1,10,53,86,32,-6,-14,-1,0,-1,0,0,0,-29,-32,-68,-43,-1,8,28,19,-1,-1,-1,-19,-69,-34,-1,32,55,6,-11,-11,0,0,-13,0,-13,-1,1,-7,-9,0,-6,-7,-39,-29,-1,-1,-27,-24,-57,-70,-12,-66,-98,-79,-77,-75,-59,-91,-24,23,28,13,-4,-25,-28,-39,-43,-46,-34,-8,-26,-34,-48,-16,-33,-13,-14,1,6,4,0,11,5,-18,-24,-9,-3,-9,-14,-5,-13,-19,1,1,-22,-13,-33,-29,0,14,2,6,1,-18,19,17,-11,20,14,-14,-45,-26,-28,-29,42,61,55,71,68,37,-63,-50,68,84,68,-60,-68,-23,71,44,24,-73,-93,-62,-44,36,81,19,-18,-25,-14,88,102,6,-36,-1,9,-2,-3,-11,2,47,45,14,-14,-1,-29,-53,-7,0,-41,-88,-36,-10,17,53,9,8,78,45,53,63,3,63,82,61,1,-2,14,64,8,43,67,13,3,5,0,-12,8,10,9,-5,0,-32,-53,-55,-51,-49,-63,-40,-28,-5,-3,-41,-46,-31,-62,-69,-16,27,41,60,32,32,30,38,96,17,-15,-45,-42,-44,-19,-14,46,55,-1,1,1,1,5,-6,-50,-12,15,10,-11,-16,-26,-5,72,68,61,26,-2,-37,-31,-61,-68,-79
