Renewables 04/15/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,101,221,365,549,782,893,1125,1460,1716,1975,2244,2470,2784,3097,3524,3930,4255,4825,5307,5425,5907,6438,6874,7145,7532,7682,7690,7809,7946,7940,8216,8230,8334,8569,8729,8780,8780,8900,8992,9072,9053,9056,9055,9053,9006,9058,9199,9352,8947,8755,8823,8993,9072,8823,8677,8601,8639,9012,9075,9080,9194,9408,9807,9911,9526,9035,8911,8869,8743,8671,9029,9043,8859,8802,8901,8774,8820,8792,8913,9205,9325,9464,9479,9475,9377,9314,9324,9289,9205,9253,9022,9276,9334,9154,9273,9236,9040,9101,9244,9128,9153,9198,9156,8875,8709,8525,8356,8342,8278,8184,8145,8127,8143,7971,7845,7637,7542,7374,6999,6908,6645,6420,6138,5929,5674,5486,5400,5334,5304,5269,5124,4872,4669,4392,4069,3703,3405,3174,2970,2690,2300,2006,1676,1396,1105,826,606,463,346,273,204,142,71,26,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Wind,3411,3434,3437,3442,3464,3490,3509,3522,3540,3554,3552,3536,3541,3542,3525,3540,3556,3543,3550,3538,3490,3442,3413,3370,3326,3261,3204,3177,3176,3126,3063,3025,3018,3030,2997,2961,2965,2962,2952,2936,2930,2934,2974,2994,3025,3028,3034,3054,3042,3006,2967,2904,2860,2835,2796,2769,2767,2782,2810,2837,2858,2887,2910,2916,2922,2954,2987,3000,3027,3021,3043,3066,3122,3165,3194,3186,3184,3075,3031,2982,2977,2991,3008,3018,3037,3064,3110,3094,3023,2977,2908,2885,2913,2948,2964,2993,3005,3016,3058,3103,3133,3131,3091,3113,3153,3119,3083,3063,3104,3147,3151,3172,3176,3195,3253,3260,3254,3273,3274,3267,3257,3217,3193,3147,3060,3008,2941,2931,2962,2962,2960,2909,2836,2801,2779,2790,2835,2849,2872,2891,2900,2922,2900,2940,2994,3094,3104,3116,3125,3122,3085,3005,2947,2949,2961,2967,3007,3025,3073,3150,3206,3211,3226,3283,3320,3355,3347,3374,3372,3465,3571,3636,3689,3698,3745,3809,3889,3855,3822,3763,3707,3676,3642,3620,3604,3617,3632,3621,3573,3558,3563,3580,3557,3583,3619,3648,3703,3758,3806,3827,3895,3892,3865,3775,3588,3482,3418,3409,3422,3443,3461,3499,3484,3470,3454,3404,3367,3393,3405,3396,3398,3378,3279,3214,3180,3117,3049,3028,3022,2977,2960,2952,2915,2883,2828,2803,2782,2741,2713,2713,2679,2614,2568,2531,2517,2497,2504,2490,2476,2444,2405,2390,2404,2389,2404,2402,2384,2369,2363,2331,2295,2290,2289,2304,2339,2347,2403,2464,2513,2556,2546,2564,2639,2697,2764,2825,2858,2925,2967,2980,3021,3063,3098,3158,3198,3263,3293,3340
Geothermal,973,973,974,973,973,974,973,973,973,972,973,973,972,973,973,971,972,972,972,973,973,973,973,973,973,973,974,973,974,973,973,974,974,974,973,974,973,973,972,971,971,971,972,972,971,971,969,962,947,945,946,946,944,946,946,947,946,947,947,947,948,948,949,949,948,938,922,922,924,923,925,926,926,926,926,928,928,929,927,929,927,930,931,930,931,933,931,931,931,931,932,930,931,930,931,930,930,931,930,931,931,931,929,931,931,928,930,931,931,931,931,931,930,931,931,931,931,931,931,931,931,931,930,930,929,930,929,930,929,929,929,929,928,928,929,929,928,928,928,929,928,933,935,938,942,940,942,942,942,942,937,938,941,937,941,936,929,927,938,941,941,939,936,937,926,926,924,925,929,930,932,932,930,928,928,933,945,945,946,947,947,947,948,947,947,947,946,946,946,946,947,947,946,946,947,946,946,946,946,946,946,946,946,945,946,945,945,945,945,946,946,945,945,945,945,945,945,945,946,945,946,947,946,947,946,946,946,946,945,945,943,943,942,942,941,939,937,936,936,935,933,931,925,925,927,926,926,927,927,927,927,928,925,922,919,913,911,908,910,908,905,898,893,891,892,891,892,891,891,891,892,892,893,894,895,895,894,895,894,896,896,895,896,896,896,897,896,897
Biomass,285,284,283,283,280,278,277,280,280,280,279,280,279,279,279,277,277,277,277,280,271,270,273,273,274,273,271,271,272,274,275,274,272,275,274,274,274,274,270,271,273,276,277,279,280,281,280,280,279,281,281,281,279,280,280,280,280,278,276,279,280,280,279,278,278,277,275,275,276,277,275,276,277,279,277,275,275,276,275,278,280,276,275,275,274,274,275,276,277,276,274,274,275,276,276,275,274,274,274,276,277,279,277,277,276,279,276,277,278,279,278,279,277,272,275,276,277,272,270,267,265,267,266,267,268,268,269,270,270,270,268,268,271,272,271,273,272,271,270,272,272,273,272,271,272,273,271,270,269,270,269,272,270,271,271,271,272,272,272,271,272,271,266,261,263,262,258,258,263,264,264,266,267,265,266,263,263,262,263,262,264,266,267,269,270,270,271,275,276,280,282,280,282,281,284,284,284,285,285,285,290,289,288,289,289,288,290,285,285,284,283,286,283,284,286,285,285,285,283,282,281,280,279,279,278,277,275,275,276,277,279,277,274,275,273,273,274,275,275,276,277,277,278,278,277,277,277,277,276,275,276,275,273,273,274,276,277,275,277,277,277,276,276,278,277,276,279,277,276,275,277,277,276,277,279,278,278,280,276,276,276,275,274,273,273,275,277,277
Biogas,214,214,214,215,214,214,214,215,214,215,214,214,214,214,214,214,214,215,214,215,214,215,214,214,214,215,214,214,214,214,214,214,215,214,214,214,214,215,215,215,214,215,215,215,215,214,215,214,215,214,214,215,214,214,214,214,214,214,214,214,214,215,215,214,214,215,214,216,214,214,214,214,214,215,214,214,215,215,214,214,214,214,215,215,214,216,215,215,215,215,214,214,214,214,215,212,212,213,212,211,210,210,210,211,210,203,198,200,200,200,200,207,211,210,210,209,209,209,209,210,210,209,209,210,209,209,209,209,208,208,206,208,207,209,209,209,211,209,209,210,209,209,209,209,208,209,209,209,208,209,209,209,209,209,208,208,209,208,208,209,209,209,209,209,210,210,211,212,213,211,211,212,212,212,206,196,196,196,196,198,208,212,213,212,213,213,213,213,213,213,213,213,212,212,212,213,212,213,213,213,213,213,214,213,213,213,213,213,214,213,215,213,212,212,212,212,212,214,213,213,214,214,215,217,216,215,214,214,214,214,214,215,215,212,213,214,214,214,214,214,214,214,214,215,214,213,213,213,214,214,214,214,215,215,215,215,214,214,215,214,214,214,214,213,214,214,214,213,214,214,214,214,214,214,214,214,214,213,213,213,213,213,213,213,212,213,213,213
Small hydro,584,557,488,447,455,456,457,457,461,459,459,460,461,463,464,464,465,465,464,463,463,464,462,463,463,463,462,462,461,462,461,460,460,460,461,461,460,458,453,453,453,454,453,453,453,455,455,456,457,457,456,457,458,458,458,458,458,458,458,457,458,450,436,435,434,436,436,437,433,434,433,435,435,434,437,442,444,450,450,449,450,448,448,449,447,444,447,448,448,448,448,449,448,447,448,448,447,446,447,448,449,447,445,444,442,441,442,440,440,439,440,440,437,442,443,443,443,444,444,443,437,430,431,432,432,431,432,431,431,430,430,429,431,432,433,432,433,432,429,429,430,430,430,430,431,430,432,432,433,432,433,432,432,431,431,432,432,433,432,432,431,431,432,433,433,433,432,432,431,431,431,431,440,442,435,429,430,438,441,442,441,438,431,434,443,443,444,443,442,442,442,442,443,443,443,443,443,444,445,445,445,445,444,444,444,442,440,438,437,438,437,438,439,438,438,440,463,498,497,498,498,499,499,497,501,502,504,503,504,503,504,504,503,504,504,505,505,505,505,504,504,500,499,499,499,498,499,497,497,499,499,496,498,497,499,497,497,495,495,491,491,491,491,492,494,490,430,430,431,430,430,431,430,430,430,430,424,429,429,428,428,428,428,424,421,421,421,421
Batteries,0,19,0,0,-5,-14,-17,-20,-3,-4,0,0,0,0,0,0,0,-7,0,-2,-12,-3,0,0,-5,-20,-20,-20,-18,-18,-23,-26,-37,-30,-27,-27,-28,-15,0,-26,0,-6,-34,-28,-39,-21,0,0,0,0,0,0,9,0,0,0,0,0,0,-12,-58,-80,-10,-7,0,-16,-74,-10,0,-51,-47,-79,-99,-49,2,20,56,83,23,3,-1,-66,-41,-64,-56,-17,-73,-51,-2,-2,-2,-22,-50,-75,-51,-16,-23,5,111,36,-101,-88,-32,-15,0,56,83,-78,31,36,45,37,-5,-83,-109,-5,4,-29,-10,0,35,88,104,107,93,8,-87,-65,-59,19,-19,-78,-13,84,112,60,-35,-100,-70,-12,-23,-20,-46,4,45,52,30,34,50,-41,-63,1,30,2,2,2,13,-6,-87,-97,-30,30,95,71,4,6,1,12,1,0,-69,-98,-85,-74,37,77,58,1,44,67,25,46,90,77,66,49,0,-37,-62,-60,-74,-62,0,0,0,0,-1,63,73,60,50,17,19,57,74,89,-14,-79,-79,-54,-1,-39,-71,8,95,54,-1,-60,-82,-61,-13,-1,25,73,75,69,51,31,1,-57,-36,-37,-25,-19,-29,-58,-45,-7,-5,-44,-61,-27,-36,-27,-13,-10,-12,4,8,13,26,32,24,-36,-28,-26,-26,-27,-31,-17,0,3,4,3,-7,-13,-1,-1,21,-1,-3,3,-1,-1,-1,-7,-3,58,44,35,21,-49,-35,-9,23,3,30,30
