Renewables 04/11/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,73,165,288,453,650,910,1179,1467,1769,2144,2572,2945,3295,3736,4013,4469,4859,5291,5748,6251,6562,6595,6574,6552,6795,7198,7132,6852,6733,7016,7096,7200,7191,7191,7653,7873,7803,7663,7695,7874,8444,9018,9160,9343,9508,9310,9330,9288,9243,9135,9234,9122,9148,9133,9051,8948,8956,9010,9032,9068,8831,8621,8462,8619,8424,8119,8151,8134,8649,8534,8488,8566,8315,8547,8775,8725,8655,8412,8117,7976,7730,7795,7950,8019,8079,7762,7503,7811,7844,7966,7796,7942,8005,7891,7282,7200,7044,6853,6696,6515,6339,6301,6352,5890,5819,6029,5925,5568,5825,6113,5613,5107,4872,4799,4762,4777,4905,4758,4327,4094,4122,4506,5122,5199,4692,4306,4123,4330,4052,3809,4005,4058,4065,4021,4009,3936,3502,3084,2713,2455,2141,1834,1602,1408,1185,918,691,538,396,265,168,91,34,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0
Wind,3630,3604,3608,3606,3592,3566,3545,3524,3473,3429,3364,3316,3296,3244,3154,3032,2912,2835,2776,2743,2711,2638,2619,2612,2612,2658,2685,2734,2739,2732,2671,2654,2608,2526,2471,2460,2533,2486,2436,2440,2414,2339,2330,2349,2334,2333,2379,2416,2412,2424,2473,2477,2492,2496,2442,2395,2375,2369,2427,2482,2467,2428,2344,2257,2177,2158,2128,2128,2099,2094,2097,2056,2013,1973,1910,1833,1716,1638,1645,1684,1817,1951,1967,1939,1848,1797,1823,1818,1823,1840,1829,1843,1864,1861,1810,1766,1800,1780,1723,1692,1661,1668,1706,1737,1796,1810,1816,1866,1953,2059,2124,2200,2286,2321,2283,2278,2315,2350,2358,2407,2474,2570,2772,2869,2981,3008,3039,3085,3134,3159,3194,3213,3223,3226,3208,3243,3305,3338,3296,3238,3173,3106,3087,3069,3066,3032,2957,2928,2877,2827,2764,2799,2817,2784,2751,2732,2774,2782,2741,2689,2650,2663,2751,2843,2789,2786,2761,2801,2814,2803,2886,3019,3080,3107,3102,3164,3247,3324,3393,3427,3533,3637,3732,3775,3798,3820,3805,3759,3794,3788,3750,3729,3835,3863,3816,3816,3817,3773,3763,3851,3959,3983,3955,3968,4034,4029,3992,3957,3930,3913,3839,3878,3900,3915,3945,3947,3944,3956,3949,3970,3984,3970,3948,3887,3878,3882,3883,3873,3848,3875,3881,3819,3795,3809,3739,3645,3530,3452,3397,3353,3386,3443,3499,3541,3566,3586,3647,3697,3768,3854,3929,3966,3996,4001,4030,4029,4032,3992,3909,3819,3733,3662,3594,3605,3631,3670,3693,3724,3717,3678,3680,3705,3661,3660,3675,3768,3873,3956,3983,4001,3999,4000,3973,3961,3923,3903,3904,3988
Geothermal,968,967,968,968,967,968,968,968,968,967,967,968,968,969,969,969,970,970,970,969,969,970,971,970,971,971,971,971,970,971,969,971,970,971,970,971,970,971,970,970,971,971,972,971,970,971,970,971,971,972,971,971,969,971,971,971,970,971,970,970,970,969,969,970,970,970,970,971,971,971,970,971,970,971,971,972,971,972,971,973,972,972,972,972,972,972,972,972,972,973,973,972,972,972,973,973,971,973,973,972,972,972,972,973,972,972,972,971,971,971,971,971,971,970,971,970,970,970,969,969,969,970,970,970,970,971,972,972,972,972,972,973,973,973,973,972,973,972,973,972,972,971,972,972,971,972,971,971,970,970,967,966,965,963,965,964,964,965,966,965,964,964,965,965,964,963,963,962,963,962,962,961,962,962,963,962,963,963,964,962,963,963,963,963,964,965,964,964,963,963,963,964,963,963,962,963,962,963,962,963,962,964,968,968,970,969,968,969,968,969,968,969,970,970,970,969,969,969,969,969,970,969,969,969,968,969,969,969,968,967,969,969,970,969,969,969,968,970,970,970,970,971,970,970,970,970,970,971,970,970,970,970,968,971,971,970,970,970,970,970,970,970,971,970,970,971,971,970,970,970,970,970,970,971,971,971,970,970,970,970,969,970,970,970,970,971,970,970
Biomass,243,241,243,242,242,244,243,242,241,241,239,239,241,243,243,244,244,244,242,242,242,242,243,245,245,244,242,242,242,242,243,244,246,245,245,244,244,245,245,247,248,247,247,247,248,247,245,246,247,249,249,249,248,248,248,248,248,249,247,247,245,245,245,245,246,245,243,243,240,242,242,238,238,241,242,242,243,242,244,244,246,243,243,241,241,242,241,243,243,243,241,241,241,240,240,240,242,244,244,242,241,241,242,242,242,240,240,239,242,242,242,242,243,242,241,241,241,241,241,241,240,245,245,243,243,243,244,243,245,247,250,249,247,244,246,244,243,242,243,242,244,245,245,245,245,246,243,243,243,241,239,239,240,244,245,244,245,244,246,246,247,246,249,250,250,249,250,250,252,252,253,256,251,253,253,258,258,256,254,257,256,256,257,255,253,255,260,264,262,258,256,252,250,250,254,255,257,258,259,258,257,257,258,257,256,256,257,255,253,254,255,254,255,255,257,259,262,261,260,260,261,262,261,261,262,262,262,263,262,261,262,261,262,264,262,263,262,265,265,264,264,264,265,263,262,263,263,264,264,262,264,265,266,266,264,264,265,265,265,267,266,266,267,267,266,261,260,260,260,262,260,262,265,264,264,265,264,262,260,257,256,258,258,257,256,259,261,262
Biogas,190,190,190,191,190,190,190,190,190,190,190,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,190,190,190,190,190,191,190,190,190,191,191,191,191,190,191,191,190,190,190,190,190,190,190,190,191,191,190,190,190,190,190,190,190,191,191,190,190,190,190,190,190,190,190,190,190,190,190,190,190,191,191,190,191,190,190,191,191,190,191,190,190,190,190,191,190,190,191,190,189,188,190,188,188,187,187,188,189,187,187,187,188,188,189,189,188,189,189,189,189,189,189,189,191,192,194,193,192,193,193,193,194,196,195,195,195,197,198,194,190,191,195,192,189,189,191,192,189,195,197,199,199,198,198,198,197,197,197,199,200,200,202,203,201,197,197,197,198,201,203,203,204,203,203,203,205,207,205,206,205,205,207,208,208,207,208,210,211,211,210,211,211,213,215,214,214,214,217,218,218,220,218,219,219,219,219,219,220,220,217,217,216,216,217,216,216,217,216,217,217,217,219,220,221,221,219,220,218,218,216,219,220,219,218,218,217,218,217,218,218,218,218,218,218,218,218,218,218,217,217,217,217,217,217,218,217,218,217,215,215,214,215,214,214,214,214,213,213,213,213,213,214,211,211,211,211,210,210,210,211,211,214,213,214,216,217,216,216,216,217,219
Small hydro,470,470,470,469,467,470,470,471,471,471,471,471,471,470,470,470,471,469,470,469,469,469,468,467,467,467,467,471,468,467,468,470,469,468,468,469,468,469,468,468,469,470,470,469,470,470,470,471,470,470,469,470,470,470,471,471,471,470,470,470,470,469,469,470,470,470,470,471,469,470,471,471,469,452,442,440,442,442,442,442,443,442,441,442,443,442,433,422,422,422,423,422,422,422,423,423,420,418,416,412,408,408,409,408,406,404,404,405,407,405,406,406,405,405,405,406,411,406,408,408,407,411,411,412,412,413,414,415,414,414,414,413,414,413,413,413,414,412,412,412,413,413,412,412,414,412,425,434,430,430,431,433,433,432,432,433,435,435,436,437,437,435,433,434,434,435,436,436,434,434,434,433,431,431,433,432,432,432,433,432,432,432,432,434,433,434,434,434,434,434,435,438,437,433,432,433,433,434,435,436,436,433,432,434,434,435,436,435,435,432,437,432,435,434,435,434,440,440,438,440,439,440,440,440,441,441,441,442,441,441,440,441,440,441,441,441,440,440,440,440,439,440,438,437,439,436,436,437,435,437,438,435,434,434,436,437,437,437,434,433,434,433,433,433,433,436,440,439,440,441,440,439,438,439,438,438,439,439,439,439,441,438,438,441,441,440,439,439
Batteries,7,28,42,18,12,0,-1,27,11,-1,-1,-17,-60,-58,-16,1,5,-5,-7,-46,-47,-15,-18,-29,-12,-4,-8,-1,-2,-2,2,7,-5,10,5,-2,-3,-1,0,-2,-22,-9,-3,-19,-30,-38,-34,-37,-34,-23,-1,0,0,0,0,9,0,5,1,-19,-34,7,40,32,45,11,2,9,15,15,12,8,21,37,52,49,34,33,32,22,-41,-61,-45,-2,28,41,33,-42,-35,-48,-42,-1,-41,-37,27,-6,-14,56,50,-14,86,102,79,-55,-108,-98,68,97,-71,-80,-17,-70,-40,-58,-42,43,76,-3,-81,-73,-42,-31,-5,-20,11,70,84,41,62,52,-2,-4,-70,-57,-12,-33,-66,-47,-7,58,99,77,18,13,89,3,1,-89,-70,55,13,-8,-63,-90,-60,28,46,68,91,70,-40,-108,-108,-99,6,108,2,-84,-88,-39,-31,-64,-39,64,74,6,-15,-36,-39,-50,-4,-34,9,5,-48,-28,1,14,-42,61,122,83,-93,-111,-97,-26,-48,68,98,26,-95,-87,-68,5,103,65,-15,-28,12,-75,-84,-14,-35,-19,-16,22,74,85,20,-8,-27,31,34,56,72,37,2,2,0,-19,-10,16,28,26,28,28,28,28,28,25,0,-20,-23,-34,-11,-32,-16,23,17,-12,8,23,22,29,47,36,59,51,79,118,89,38,43,34,33,-5,-31,18,29,40,14,-38,-38,-44,-61,-34,-31,8,35,36,35,29,27,12,10,9,9,11
