Renewables 04/08/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,35,97,180,333,495,681,884,1097,1270,1469,1723,1969,2251,2475,2692,2905,3121,3413,3705,4056,4364,4724,5081,5457,5660,5800,5989,6272,6421,6528,6645,6699,6765,6803,6851,7057,7113,7036,7390,7722,8081,8364,8563,8490,8527,8790,9013,9109,9025,9030,9013,9060,8925,8802,8825,8859,8936,9221,9328,9313,9339,9607,9636,9409,9200,9296,9542,9663,9839,9771,9701,9746,9757,9785,9452,9172,9251,9220,9342,8975,8872,8960,8764,8361,8341,8418,8356,8512,8586,8360,8254,8421,8662,8575,8277,8363,8438,8620,8530,8382,8273,7937,7931,8089,8132,7871,7859,7663,7654,7548,7369,7329,7062,6911,7064,6915,6710,6686,6737,6686,6837,6547,6446,6188,5972,5450,5215,4983,4635,4164,3899,3749,3680,3651,3421,3206,2987,2887,2646,2425,2185,1910,1615,1372,1090,878,676,500,375,291,218,166,132,110,97,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,0,0
Wind,2762,2737,2721,2709,2726,2734,2700,2667,2587,2533,2540,2536,2535,2559,2568,2615,2674,2769,2846,2868,2808,2743,2651,2606,2592,2624,2619,2575,2508,2479,2457,2439,2406,2407,2377,2323,2351,2382,2368,2389,2374,2346,2331,2274,2316,2383,2427,2421,2375,2367,2406,2469,2545,2596,2606,2640,2719,2703,2593,2510,2410,2339,2334,2368,2399,2412,2380,2322,2292,2251,2340,2510,2609,2627,2669,2582,2415,2237,2127,2145,2185,2214,2182,2149,2093,2038,1986,1858,1778,1787,1804,1794,1785,1725,1651,1551,1454,1403,1301,1223,1159,1091,1077,1052,1038,1094,1080,1069,1010,948,903,878,842,715,642,620,593,567,555,545,539,575,594,609,611,612,616,609,612,605,596,602,590,595,570,592,602,629,655,683,703,700,710,743,762,824,916,1022,1122,1169,1213,1222,1194,1222,1257,1283,1248,1246,1223,1224,1304,1363,1402,1474,1512,1505,1566,1607,1603,1677,1797,1866,1976,2103,2204,2278,2365,2443,2492,2571,2647,2755,2749,2745,2766,2781,2756,2766,2831,2863,2866,2877,2843,2828,2839,2843,2851,2863,2859,2901,2962,3034,3079,3125,3234,3270,3327,3412,3414,3385,3312,3269,3208,3228,3293,3361,3431,3462,3469,3421,3312,3230,3136,3111,3123,3128,3107,3126,3154,3187,3229,3233,3195,3113,3054,3010,2965,2984,2966,2969,2910,2899,2925,2909,2953,2989,3026,3038,3036,3008,3011,3053,3103,3154,3204,3226,3200,3217,3242,3282,3318,3293,3254,3210,3183,3159,3168,3196,3190,3152,3134,3125,3158,3188,3224,3264,3252,3258,3295,3341,3370,3336,3265,3258,3308,3331,3331,3367
Geothermal,960,960,959,961,960,960,961,960,961,960,960,961,961,960,960,960,960,961,959,961,960,961,960,960,960,961,962,960,961,961,960,961,961,960,961,960,961,961,960,961,961,961,960,960,961,960,961,960,960,961,960,961,961,960,960,960,959,960,959,960,961,960,960,960,960,960,960,961,961,960,960,960,958,960,960,960,961,961,960,961,961,960,960,961,961,961,958,961,961,961,960,960,960,960,959,959,959,959,959,959,959,959,959,958,959,959,959,958,957,958,958,959,958,958,956,956,956,956,955,955,956,956,956,956,956,955,955,955,955,954,955,954,954,953,953,954,954,953,953,953,952,952,953,952,951,953,952,953,953,954,953,953,954,952,953,953,953,952,953,953,953,952,953,953,953,954,952,952,952,952,953,952,952,952,953,952,952,952,953,952,951,952,952,952,953,952,953,953,954,952,953,953,952,952,952,953,952,952,952,952,952,953,952,952,953,953,953,954,954,954,954,954,954,953,955,954,953,953,952,954,954,952,954,954,953,953,953,954,954,954,954,955,954,954,955,955,954,954,954,953,954,955,955,955,955,953,953,956,955,955,956,956,956,957,958,957,957,957,957,958,958,959,959,958,958,959,959,960,961,963,962,963,963,962,962,963,963,962,963,963,963,964,964,963,963,964,963,964
Biomass,259,257,257,256,257,257,257,258,257,257,258,260,260,257,255,255,256,255,256,255,257,256,257,257,256,256,255,255,256,257,256,256,255,254,255,257,257,258,257,256,256,257,257,258,258,257,257,256,256,256,256,259,259,260,259,259,258,257,256,255,255,255,254,255,255,253,247,247,251,252,253,252,253,251,249,245,244,245,246,245,244,243,244,243,241,241,240,239,238,236,234,233,232,229,231,228,231,231,231,232,232,232,231,230,228,229,231,231,233,231,232,232,234,234,235,235,236,234,234,233,232,236,235,234,235,235,236,236,236,235,236,236,237,237,237,238,239,238,239,237,235,235,235,235,236,234,235,238,236,237,238,237,239,239,240,238,237,235,236,235,230,231,233,232,233,227,224,224,222,220,217,211,212,213,213,214,214,214,211,199,206,212,213,215,219,219,217,218,220,221,221,222,224,225,223,224,222,223,225,224,225,223,222,221,220,217,215,215,214,212,213,213,212,211,211,211,211,210,208,208,213,212,209,198,199,198,198,198,197,197,198,200,198,199,204,207,206,209,209,209,208,210,211,214,213,212,214,215,216,213,214,216,218,219,219,221,220,219,220,219,218,219,220,221,220,219,217,217,216,219,218,219,219,220,220,219,217,216,215,216,213,213,211,215,218,218,220,219
Biogas,225,225,225,224,220,220,220,220,220,220,221,221,221,221,221,221,221,221,221,221,221,221,220,221,221,221,221,220,220,221,221,220,221,221,221,221,221,221,221,221,221,221,221,221,221,220,220,220,220,221,221,221,220,221,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,219,218,215,212,210,208,207,209,209,207,207,208,206,206,206,206,205,206,206,205,205,207,205,205,204,204,204,204,204,204,204,205,204,203,203,202,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,199,200,200,200,199,198,198,198,198,198,198,197,195,194,194,195,194,194,194,195,195,195,196,196,196,196,197,196,196,196,196,197,197,197,196,196,196,197,196,197,197,197,198,197,197,197,197,196,196,196,197,197,197,197,197,197,197,197,197,197,197,197,197,198,198,197,199,198,198,200,199,199,199,200,199,198,198,197,197,196,196,196,196,196,196,196,197,197,197,197,197,197,197,197,197,197,198,197,198,198,199,199,200,200,199,199,199,199,200,200,199,199,200,200,199,200,199,199,199,199,198,198,198,198,198,199,198,198,198,198,198,198,198,198,198,198,198,197,198,198,197,197,197,199,191,183,182,183,183,183,183,183,183,183,183,183,183,183,183,183
Small hydro,475,476,475,458,455,454,453,450,448,447,447,448,449,449,450,449,448,448,448,448,447,446,447,446,447,447,448,446,445,447,446,446,446,445,447,448,449,449,449,450,448,449,449,449,449,448,448,448,451,457,461,467,468,468,470,469,471,468,469,470,470,485,522,519,520,520,520,520,520,521,521,520,517,515,520,523,524,525,526,526,521,511,508,509,509,502,500,499,498,501,506,504,513,508,509,511,506,509,460,452,453,454,453,454,454,456,455,455,450,429,412,412,413,414,414,413,410,411,411,412,411,412,411,413,413,413,412,411,411,411,412,412,413,414,414,414,414,413,413,413,413,414,413,414,414,413,412,413,413,414,415,414,414,413,414,414,413,415,420,418,418,417,417,417,419,418,418,418,418,418,420,420,420,420,420,420,419,419,419,420,420,420,420,420,420,420,420,422,421,421,421,421,422,420,420,420,421,422,421,421,420,421,420,420,420,426,450,462,463,464,463,463,463,462,460,462,461,488,542,542,542,543,544,542,527,520,521,520,520,522,521,521,521,523,523,523,523,523,523,522,521,520,520,520,520,520,520,520,520,520,506,506,506,507,508,511,511,510,511,510,510,510,511,511,511,509,464,459,458,458,459,459,459,458,458,457,457,457,458,457,458,454,452,452,453,453,452,452
Batteries,-1,10,0,-35,-47,-20,-28,-6,0,-1,-1,-1,5,5,-1,-1,-4,-19,-36,-37,-13,9,39,4,-3,-14,-13,-10,0,-5,-5,-5,-5,-5,-5,-5,-3,-54,-19,-1,-1,-1,-1,-1,-16,-33,-67,-46,-32,-20,-13,-71,-42,-41,-16,-8,-12,-24,3,-11,-4,-9,1,-6,-8,1,1,-3,1,1,-19,-28,-11,-31,22,8,38,72,29,17,8,-37,-32,-4,-19,10,27,40,45,26,-29,-14,6,-12,26,26,18,-28,-20,-1,-10,-30,-58,-7,0,0,-39,-69,-43,9,-1,17,56,64,-24,-96,-32,-32,-51,-62,-45,51,116,112,19,-34,-12,-17,8,37,79,103,97,95,64,-59,-110,-107,-2,52,44,4,66,71,-51,-105,-109,-101,-3,-6,-18,-62,-107,-9,35,-25,-86,-77,3,25,-37,-53,39,45,-2,0,-16,-73,0,29,-45,-60,-34,51,28,-14,-62,-47,1,17,104,43,-98,-64,-12,0,0,-13,-15,16,85,114,100,-59,-94,61,108,42,60,-1,60,101,106,106,108,86,-20,-11,34,82,31,4,-3,13,2,-3,-99,-94,-92,-10,33,46,65,42,33,12,5,33,26,-92,-107,-99,-13,32,81,72,30,4,-15,19,22,20,-29,-45,-55,-60,9,35,68,22,28,20,-1,6,-37,-21,10,7,7,7,7,4,11,23,7,0,-54,-72,-24,-2,11,30,-2,-32,-63,-38,-21,8,16,1,-44,0,7,4,0,-70,-12,1
