Renewables 04/22/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,34,97,198,346,529,738,1003,1304,1645,2009,2404,2821,3284,3774,4205,4603,4994,5434,5846,6392,6906,7315,7639,7978,8216,8426,8544,8637,8752,8804,8889,8904,8938,9005,9104,9210,9294,9403,9559,9720,9788,9849,9929,10012,10071,10073,10089,10122,10027,10018,9871,9801,9824,10083,9807,9745,9992,9716,9632,9656,9650,9421,9336,9194,9236,9489,9740,9796,9771,9884,10063,10068,9824,9846,9955,9919,9766,10413,10628,10146,10236,10193,10072,9913,9878,9823,9716,9698,9793,10363,10323,9644,9377,9503,9542,9812,9700,9153,9160,9138,9112,9016,8821,8763,8788,8303,8338,8748,8885,8577,8613,8719,8753,8649,8558,8487,8327,8158,8262,8395,8526,8504,8267,8260,8126,8178,8015,7725,7454,6831,6484,6350,6341,6348,6511,6449,6299,6004,5731,5532,5219,4859,4504,4073,3681,3247,2828,2480,2118,1825,1465,1164,864,610,417,283,193,125,71,34,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0
Wind,4152,4051,3968,3849,3745,3635,3586,3572,3611,3704,3689,3591,3453,3362,3249,3209,3124,3042,2979,2923,2806,2702,2615,2526,2475,2444,2414,2432,2512,2617,2651,2575,2521,2536,2558,2557,2571,2643,2710,2726,2705,2670,2581,2472,2396,2295,2221,2179,2170,2161,2179,2172,2167,2192,2186,2156,2164,2134,2059,1971,1945,1926,1914,1890,1887,1911,1942,1907,1852,1838,1826,1786,1728,1703,1707,1698,1703,1685,1654,1607,1566,1528,1501,1474,1486,1494,1513,1505,1519,1521,1510,1471,1444,1334,1304,1283,1270,1286,1285,1256,1226,1222,1183,1139,1107,1093,1097,1085,1081,1093,1084,1072,1057,1045,1039,1039,1027,1025,1000,992,1018,1039,1121,1171,1236,1256,1304,1343,1368,1307,1281,1271,1281,1298,1338,1411,1511,1626,1699,1789,1799,1825,1830,1791,1747,1742,1684,1690,1677,1702,1729,1696,1645,1617,1615,1643,1639,1662,1648,1657,1651,1653,1610,1553,1583,1570,1557,1550,1559,1553,1592,1677,1758,1841,1903,1977,2057,2097,2096,2145,2228,2312,2389,2467,2547,2591,2604,2595,2617,2637,2735,2813,2863,2868,2884,2996,3038,3072,3077,3066,3000,2940,2855,2830,2835,2886,2852,2838,2804,2788,2801,2772,2789,2824,2837,2796,2727,2693,2700,2744,2768,2846,2962,2935,2903,2859,2768,2681,2607,2542,2479,2421,2337,2278,2262,2228,2201,2203,2187,2156,2149,2169,2186,2234,2263,2280,2292,2293,2261,2231,2208,2161,2118,2104,2084,2072,2066,2074,2080,2080,2099,2068,2024,1986,1977,1962,1933,1933,1919,1877,1848,1816,1786,1755,1712,1702,1734,1821,1881,1881,1868,1853,1792,1745,1668,1586,1536,1513
Geothermal,913,914,913,913,915,914,914,914,915,915,915,915,915,915,916,915,915,915,914,915,916,916,917,909,888,867,866,866,866,866,865,866,865,864,864,863,863,863,862,863,861,859,861,860,861,861,856,831,821,811,809,809,811,811,810,810,810,811,811,810,811,805,789,774,766,764,764,766,767,769,770,767,765,763,750,734,733,734,735,735,733,728,728,725,726,726,727,722,724,723,722,721,725,725,724,724,724,724,723,723,724,724,723,723,723,721,720,719,719,718,719,718,718,718,718,718,719,717,718,717,717,717,716,717,716,716,717,717,716,716,716,717,715,716,716,715,715,715,714,715,715,714,715,715,714,714,715,716,714,715,716,715,715,714,714,714,714,714,714,713,715,713,714,714,714,714,714,714,714,714,714,713,714,715,719,719,720,719,719,719,719,719,719,718,719,719,719,718,719,719,719,719,719,719,719,719,719,719,718,719,719,719,719,718,719,719,718,718,717,718,718,718,720,719,719,720,720,719,718,720,719,719,719,719,718,719,719,719,718,718,718,718,718,718,720,719,719,718,719,719,719,719,720,720,721,719,719,720,719,718,719,721,721,720,721,721,721,720,720,721,720,720,721,721,721,721,721,721,722,721,722,722,722,721,722,723,723,723,724,722,723,723,722,722,723,723,722,723
Biomass,269,267,266,266,266,267,267,266,266,264,266,266,266,265,265,265,265,265,264,262,260,261,263,264,264,266,268,269,270,271,271,273,275,274,275,275,274,275,273,273,274,275,277,277,276,277,277,276,277,277,277,277,279,278,277,277,277,278,280,279,277,276,276,274,275,272,272,273,274,274,272,273,271,272,273,273,273,274,273,273,272,270,272,270,271,269,270,271,272,271,272,272,272,271,269,271,271,273,274,276,277,277,276,276,277,277,277,278,277,277,274,273,273,271,267,263,261,262,263,265,266,267,266,267,265,264,263,263,264,263,266,265,264,262,264,260,263,262,261,261,265,263,263,260,259,260,258,259,262,264,263,263,265,265,266,266,265,263,258,263,264,264,265,265,266,266,267,265,258,257,261,264,267,267,266,266,267,267,267,267,269,269,270,270,271,272,273,273,275,275,274,276,276,278,278,276,277,279,279,279,279,279,280,280,279,278,278,277,278,276,273,272,273,274,274,273,275,276,277,276,276,276,276,277,276,277,277,279,278,278,277,277,277,277,277,275,275,275,275,278,277,276,276,275,276,277,276,277,277,277,275,277,277,279,276,278,277,278,277,278,277,278,278,278,279,278,276,276,277,278,278,278,279,277,278,279,278,278,278,279,279,276,275,276,277,274,275,276
Biogas,219,220,218,219,218,219,218,218,219,218,219,218,218,219,220,218,218,218,218,219,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,217,218,218,218,218,218,218,218,218,218,218,218,218,219,218,218,218,218,220,217,217,217,217,216,216,213,212,213,212,213,213,213,211,212,212,212,212,213,213,214,212,212,212,212,213,212,212,211,211,211,212,212,211,211,211,211,211,210,210,210,210,210,210,209,209,210,210,208,208,208,208,211,210,210,211,211,210,210,211,210,210,210,209,209,209,208,208,208,208,207,207,207,208,208,208,208,208,208,209,208,208,203,196,197,195,196,197,197,198,203,206,207,207,207,208,208,209,208,207,208,208,208,210,210,210,210,210,210,210,209,209,209,209,209,210,208,210,210,210,210,210,211,210,210,210,207,203,203,204,202,202,203,202,203,202,202,203,202,203,203,203,203,203,203,204,204,205,203,204,204,204,204,203,204,204,204,204,205,204,204,205,204,205,204,206,206,206,206,207,207,207,207,207,208,207,208,207,208,207,207,208,206,206,207,206,205,206,206,208,206,206,206,206,206,206,206,207,206,206,207,206,206,208,207,206,206,207,207,206
Small hydro,409,401,402,401,401,401,401,399,400,400,399,399,400,401,401,401,401,401,401,402,402,402,402,401,401,401,402,401,401,400,399,400,400,400,400,401,399,400,400,400,400,400,400,399,400,401,400,402,401,401,401,401,402,401,400,403,402,403,404,404,405,403,404,403,403,404,414,433,433,432,433,432,431,431,431,431,430,430,431,431,432,418,420,416,414,416,414,413,418,416,416,416,416,416,416,417,418,408,387,389,389,388,387,387,388,387,388,386,386,385,385,385,385,384,374,376,374,374,374,373,374,374,375,375,376,375,375,376,379,378,378,378,378,378,377,376,377,376,376,376,375,375,374,375,375,375,374,374,374,373,373,373,373,373,373,372,372,372,371,372,373,372,371,372,372,373,372,373,373,375,379,378,379,378,378,378,375,373,374,374,374,374,375,374,375,374,374,374,372,372,372,385,386,386,389,386,383,385,383,387,386,389,389,389,389,391,393,390,392,393,393,394,394,394,395,395,398,424,424,424,424,425,425,425,425,425,424,423,423,422,423,422,421,421,421,420,419,421,422,420,423,421,421,421,424,424,422,422,422,423,424,423,423,422,422,393,390,390,390,389,389,389,390,389,388,388,388,388,387,387,391,389,393,393,392,392,392,392,393,393,392,394,394,393,393,393,393,394
Batteries,-2,23,-3,-2,-1,-1,-1,-39,-31,-31,-32,-17,19,-8,-6,-7,0,0,0,0,0,0,0,0,-2,-2,-13,-11,-24,-30,-30,-6,-1,-9,-32,-31,-33,-53,-67,-64,-46,-36,-13,-4,-4,14,5,1,-3,-5,-5,-3,0,0,0,0,0,0,0,2,-23,-6,-1,0,2,-20,-39,-15,2,-22,-14,-27,-62,-54,-27,-18,-42,-34,-18,-42,-13,-19,-21,-6,-25,-11,-19,-16,-1,-15,-20,8,-9,1,2,-4,0,73,120,-8,-31,-4,-23,-7,2,2,2,-5,0,-2,-1,0,0,26,1,4,55,22,13,11,3,19,27,1,0,-9,-12,0,0,62,10,5,21,-36,-71,-89,-95,-64,-4,-2,0,-11,-1,-1,84,103,40,-6,-20,-78,-94,-49,8,-22,5,-14,6,-5,-15,7,-11,6,1,11,2,1,-3,0,6,21,103,112,106,30,3,3,-37,-38,24,48,9,36,12,-92,-78,4,12,12,13,13,12,17,7,14,10,1,-7,-10,10,36,107,119,120,120,15,-13,1,1,31,-25,-106,-77,-68,-78,-99,-92,-58,-64,-54,-32,16,18,2,31,39,11,10,39,64,27,-3,-39,-54,-37,-22,-44,-33,-4,-6,-10,-15,-38,-45,-11,-30,-3,-2,34,34,72,89,53,-12,-3,-1,-40,-50,-51,-51,-34,-51,-24,-1,-2,2,6,5,-1,1,2,3,1,5,2,1,-3,-21,-12,1,-5,0,-19,-3,-3,-4,-3,-1,-3
