Renewables 04/06/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,44,119,244,404,611,888,1159,1475,1828,2230,2577,3093,3517,3907,4302,4622,5032,5528,5909,6298,6681,7090,7363,7541,7784,7962,8045,8150,8384,8575,8745,8916,9020,9199,9471,9515,9458,9394,9299,9244,9290,9538,9781,9991,10101,9955,9816,9805,10017,9829,9608,9960,10104,10226,10265,10106,9831,9440,9155,9143,9192,9294,9243,9279,9275,9085,9022,9070,8988,8987,9028,9435,9592,9262,8674,8510,8708,8948,8835,8756,8542,8315,8294,8214,8218,8068,8025,8049,7798,7771,7932,7914,7870,7845,7952,7890,7747,7679,7901,8023,7975,7539,7357,7416,7514,7908,8263,8247,7977,7848,7747,7950,8232,8134,7947,7861,8099,8114,7999,7877,7884,8006,8111,7859,7422,6868,6577,6444,6374,6333,6083,5826,5943,5871,5529,5189,4602,4081,3498,3024,2709,2325,1921,1505,1138,920,677,474,348,249,156,72,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Wind,3719,3782,3858,3864,3914,3949,3902,3874,3867,3829,3802,3828,3835,3874,3894,3918,3942,3931,3915,3907,3916,3944,3943,3927,3904,3875,3876,3850,3808,3793,3791,3807,3825,3833,3847,3829,3796,3791,3817,3811,3798,3790,3786,3762,3761,3747,3748,3750,3792,3820,3830,3845,3819,3776,3744,3701,3645,3630,3561,3410,3221,3067,2977,2899,2858,2847,2811,2736,2664,2633,2632,2650,2687,2703,2670,2642,2597,2566,2521,2473,2457,2495,2510,2529,2563,2620,2685,2752,2865,2961,2968,2942,2884,2878,2886,2851,2803,2777,2764,2833,2834,2806,2793,2833,2850,2899,2943,2988,3013,2994,2969,2933,2852,2774,2715,2679,2652,2654,2647,2603,2528,2453,2327,2279,2219,2031,1914,1875,1797,1716,1700,1736,1771,1852,1949,2048,2091,2072,2035,1987,1994,2019,2016,1967,1956,1922,1879,1813,1795,1792,1833,1875,1912,1915,1884,1934,1979,1994,2044,2104,2125,2146,2175,2218,2249,2266,2267,2223,2235,2248,2245,2246,2262,2290,2321,2371,2400,2385,2395,2394,2375,2329,2299,2255,2274,2384,2467,2535,2650,2690,2731,2745,2698,2645,2654,2648,2585,2593,2587,2654,2695,2745,2807,2858,3002,3071,3028,3070,3092,3081,3064,3129,3121,3142,3194,3268,3314,3362,3380,3414,3450,3520,3504,3476,3479,3451,3408,3352,3325,3335,3334,3320,3331,3374,3424,3454,3439,3451,3491,3489,3455,3461,3474,3498,3505,3518,3542,3601,3625,3611,3557,3526,3495,3498,3499,3454,3412,3396,3398,3419,3413,3445,3468,3491,3522,3539,3572,3586,3645,3672,3631,3651,3657,3673,3647,3632,3575,3510,3433,3401,3448,3463,3467,3426,3325,3250,3213,3203
Geothermal,941,941,941,941,941,940,942,941,940,940,940,939,941,940,940,939,940,941,941,941,942,941,941,941,941,940,941,941,940,940,941,940,941,941,941,939,941,941,941,941,941,941,941,941,940,941,941,941,941,942,942,942,942,941,943,941,942,942,942,941,941,942,942,942,941,942,941,942,941,941,941,941,941,941,938,940,941,940,940,940,939,940,939,940,940,938,940,939,939,939,939,939,939,939,939,938,938,938,939,939,939,938,938,938,938,939,939,938,938,937,937,938,937,937,937,938,937,938,937,938,937,937,937,936,937,937,936,936,937,936,936,936,935,936,935,935,935,935,935,931,929,930,932,934,933,934,934,934,934,935,934,934,934,933,934,934,935,934,933,933,933,953,966,970,969,969,969,970,970,969,970,969,970,969,969,969,968,969,969,969,968,968,969,968,968,968,969,966,968,967,968,968,967,967,968,968,968,967,967,967,967,967,967,967,967,966,966,966,965,966,966,967,967,966,965,966,967,966,966,966,966,965,966,966,966,966,966,966,966,966,967,967,966,966,967,967,966,967,967,967,966,967,966,965,967,967,967,967,967,967,966,968,968,968,968,968,969,968,967,967,968,967,966,968,968,968,968,968,969,967,967,967,966,967,967,966,967,967,967,967,966,966,967,966,967,965,966,966
Biomass,285,286,285,287,288,287,286,284,282,284,281,283,283,279,279,282,282,283,286,285,283,286,285,283,287,286,287,287,287,288,287,288,287,286,285,284,286,287,286,287,286,283,282,283,283,285,287,287,287,289,292,293,289,290,292,291,292,291,291,291,290,288,291,291,295,293,293,293,292,291,291,293,295,293,293,289,285,284,284,287,286,286,286,287,286,284,286,286,288,286,286,286,285,284,285,286,286,286,285,284,283,284,284,283,282,282,282,280,281,283,282,281,282,279,277,277,278,281,284,284,284,284,285,284,283,283,280,279,277,276,280,281,281,281,281,280,280,280,279,276,275,276,275,278,278,276,277,276,274,275,276,279,279,280,280,279,282,282,282,282,281,278,277,280,279,280,283,281,281,280,281,282,283,280,280,278,276,280,280,282,283,281,279,280,280,280,284,284,285,280,284,285,289,290,291,293,293,292,293,293,292,293,292,291,293,295,294,294,292,290,289,291,292,289,288,289,289,288,288,286,288,289,289,291,287,286,287,286,285,279,276,273,274,276,279,279,281,286,287,286,287,289,289,287,288,288,290,289,289,287,287,288,290,290,291,292,292,292,291,292,297,298,296,298,301,299,300,299,298,299,300,298,299,300,300,301,301,298,298,297,298,299,299,301,299,300,300,300
Biogas,220,220,220,221,221,221,221,220,220,220,220,220,220,221,221,221,222,221,222,222,223,223,223,223,223,223,223,223,223,224,223,223,224,223,223,223,223,223,222,222,222,222,222,222,222,222,222,222,222,223,223,223,222,222,222,222,222,221,221,221,221,221,221,221,221,221,221,221,221,222,221,221,221,221,221,221,221,221,221,221,224,221,222,222,222,223,221,221,221,222,221,221,220,220,220,220,220,220,220,220,220,220,220,220,220,221,220,220,220,221,220,220,220,221,221,221,220,221,221,221,222,221,221,221,221,220,219,220,220,220,220,220,221,220,221,220,223,220,220,220,220,220,220,220,221,223,223,223,223,223,223,223,223,223,223,224,224,224,223,223,223,223,223,223,223,224,223,223,224,224,224,225,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,223,223,224,224,224,224,224,223,224,223,223,224,224,224,224,225,224,224,224,224,224,224,224,224,224,225,224,225,224,224,224,224,224,224,224,224,225,224,224,224,224,224,224,224,224,224,223,223,224,223,224,224,223,224,224,223,224,224,224,224,224,223,223,226,223,223,223,223,223,222,222,222,223,222,223,224,223,223,223,223,222,222,222,222,222,222,222,222,222,222,222,222,222,222,223,222,222,223,222
Small hydro,527,520,472,409,402,401,400,399,400,398,398,398,398,399,400,399,398,399,399,399,399,399,400,399,400,413,450,448,447,446,447,447,446,445,446,445,446,446,445,446,445,447,446,446,446,446,445,445,444,445,445,445,445,444,445,445,446,446,446,446,446,448,450,452,452,453,453,453,453,454,454,454,454,452,455,458,458,459,459,459,459,459,466,466,465,466,467,466,466,465,465,465,464,465,464,464,463,463,464,465,465,463,465,461,461,463,464,454,443,415,414,410,411,411,412,412,412,413,413,413,414,413,413,412,411,411,411,413,412,411,411,412,410,411,410,414,415,415,416,408,411,409,410,409,408,406,394,394,394,395,396,394,395,394,395,395,395,395,394,394,395,395,396,395,395,395,395,395,394,393,393,395,394,393,394,393,394,394,393,393,394,395,397,397,396,396,395,394,394,395,397,396,395,394,395,395,397,399,399,401,400,401,400,400,399,402,412,411,412,413,415,414,416,413,419,415,423,462,524,530,534,533,533,533,533,534,534,534,533,533,533,533,533,533,534,533,534,534,534,534,534,533,533,532,532,531,531,531,531,532,531,531,530,531,532,532,532,531,530,530,529,529,529,529,529,528,469,470,471,470,470,470,470,468,468,467,465,462,457,452,449,447,447,445,445,447,446,441
Batteries,-99,-75,-80,54,105,67,3,2,0,0,3,0,0,2,1,1,1,1,1,1,1,1,-2,-4,2,-10,0,-9,-1,-4,-8,-3,-5,-1,-1,-1,-5,-9,-9,-14,0,0,-1,0,0,-23,-17,-11,-11,-25,-26,-38,-47,-21,1,1,2,2,1,2,23,12,17,-2,-2,-18,-28,-2,42,26,-2,-3,-23,-10,19,25,61,51,32,19,19,9,-43,-95,-103,-96,-65,-69,-58,-74,-62,-33,-68,-48,-45,-34,2,74,125,119,86,24,2,60,25,2,-2,-68,-96,-99,-50,-4,36,16,0,0,0,8,0,40,60,60,14,-85,-118,2,22,18,-62,-13,25,-23,-45,-41,-62,-48,-87,7,87,84,29,7,7,-10,-14,29,58,56,87,65,56,-62,-93,-38,54,68,29,-43,-34,-66,-50,-27,4,4,-9,-10,4,4,68,90,0,0,0,0,0,0,15,4,2,60,32,55,102,109,87,-9,-109,-102,-91,-20,18,23,-30,-23,-6,4,-26,-46,-4,13,43,8,0,-2,-56,-57,-53,-76,-47,-67,-2,-2,-2,-2,0,-25,9,14,32,71,19,0,0,0,0,0,1,-24,-72,-60,-45,-36,-32,2,-1,-30,-30,0,7,10,3,-2,2,-1,1,1,-1,-1,2,-3,0,-2,-3,27,36,33,29,27,4,25,6,-18,-37,-13,22,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,9,21,36,18,13,-61,-75,8,15,25,58,40
