Renewables 04/20/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,54,143,257,390,585,811,1053,1296,1562,1957,2317,2625,2866,3235,3617,4101,4576,5075,5376,5745,6207,6584,6919,7178,7402,7503,7634,7731,8045,8132,8106,8263,8387,8456,8553,8771,9118,9215,9193,8807,8956,9315,9641,9670,9788,10131,10138,10200,10127,10264,10271,9936,9578,9410,9412,9321,9324,9367,9237,8990,8755,8702,8834,8764,8650,8852,9049,8990,8965,8956,9121,9084,8837,8911,9089,9239,9164,8984,9010,8642,8400,8258,7954,8161,8300,8273,7794,7869,7966,7807,7599,7437,7309,7343,7381,7366,7423,7700,7982,8186,8021,7928,7909,7990,8053,8100,8282,8512,8628,8572,8711,8523,8449,8358,8385,7940,7160,6764,7100,7680,7708,7684,7636,7652,7720,7902,7668,7361,6755,6390,6318,6312,6438,6863,6843,6642,6430,6183,5766,5372,4888,4411,4053,3674,3279,2853,2394,1996,1664,1376,1117,891,665,483,343,245,161,89,57,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,0,0
Wind,3322,3356,3383,3397,3396,3380,3325,3251,3147,3121,3124,3116,3115,3110,3158,3198,3201,3208,3208,3225,3253,3287,3336,3413,3419,3412,3381,3346,3352,3396,3387,3399,3386,3364,3326,3341,3355,3378,3359,3377,3403,3432,3458,3524,3552,3549,3555,3584,3617,3636,3648,3673,3665,3666,3628,3587,3606,3654,3694,3745,3831,3939,4058,4107,4071,4023,4011,4004,3959,3888,3848,3777,3756,3783,3741,3741,3765,3807,3847,3897,3950,3983,4005,4002,3983,3902,3858,3812,3763,3734,3706,3693,3695,3672,3690,3754,3802,3836,3832,3843,3844,3827,3779,3747,3772,3830,3883,3944,4001,4006,4026,4011,3940,3885,3914,3906,3891,3910,3966,4016,4043,4019,4045,4068,4089,4080,4098,4147,4192,4253,4271,4307,4351,4447,4511,4556,4596,4622,4722,4779,4751,4671,4651,4671,4677,4672,4679,4706,4703,4681,4673,4710,4762,4741,4756,4789,4795,4785,4784,4754,4794,4824,4839,4904,4967,4995,5042,4964,4933,4902,4926,4947,4973,4971,4990,5068,5120,5121,5094,5071,5033,5061,5038,5025,4979,4924,4881,4840,4848,4875,4937,4927,4950,4967,4980,4998,4992,4931,4922,4928,5000,5044,5077,5102,5076,5021,4976,4990,4884,4802,4790,4766,4743,4722,4663,4553,4547,4566,4582,4596,4562,4556,4541,4516,4527,4543,4481,4450,4410,4407,4389,4310,4237,4181,4105,4019,3925,3867,3831,3802,3751,3772,3743,3756,3761,3748,3746,3767,3789,3788,3791,3753,3748,3785,3821,3821,3832,3848,3904,3877,3785,3668,3564,3459,3436,3435,3421,3419,3411,3418,3471,3523,3559,3573,3543,3474,3501,3489,3463,3397,3368,3317,3315,3296,3278,3238,3157,3125
Geothermal,915,915,915,916,915,913,914,914,915,916,916,917,918,917,917,918,919,922,922,929,930,929,929,931,937,939,938,938,937,937,936,937,938,938,938,938,939,939,939,940,939,939,940,940,941,940,941,941,942,941,941,940,937,928,925,927,928,929,930,930,930,930,930,930,929,930,929,930,932,931,931,930,931,932,932,931,931,932,932,932,932,933,933,932,932,932,932,931,932,932,932,932,936,938,937,939,939,941,942,941,940,941,940,940,939,938,939,938,937,937,937,936,935,937,937,937,937,937,938,938,938,937,938,936,937,937,937,935,934,936,937,935,935,936,935,935,935,934,931,928,928,928,928,927,927,928,928,928,927,928,928,928,928,928,928,928,928,927,927,927,927,928,927,927,927,927,927,927,927,927,927,926,927,927,926,926,925,925,927,925,925,926,926,925,925,925,923,926,926,926,926,927,926,926,927,927,929,930,930,930,930,929,929,929,928,928,928,928,927,928,928,928,929,929,929,930,930,931,931,930,931,932,939,942,941,941,942,942,942,942,942,942,943,941,943,945,946,946,946,946,944,944,943,944,944,944,944,944,945,945,944,944,945,945,945,945,943,945,945,946,944,945,946,945,946,946,946,946,945,946,946,946,945,947,947,947,946,946,946,945,944,945,944,944,945,945,945,946
Biomass,333,333,330,332,331,332,333,333,333,333,333,334,334,332,329,328,327,330,331,331,329,330,331,329,328,327,326,327,327,326,326,327,330,331,332,333,330,328,328,328,329,333,333,333,335,335,333,333,332,336,335,336,336,338,336,337,336,333,333,335,337,336,336,334,335,334,336,338,338,334,332,335,334,334,334,335,333,335,337,336,337,338,334,329,329,328,327,327,331,334,335,335,336,338,338,340,341,339,340,339,336,337,339,341,342,340,340,340,332,332,331,330,328,327,325,328,328,328,324,323,323,325,328,327,327,324,324,323,325,325,327,326,324,323,326,328,329,330,332,325,322,322,321,323,325,324,322,322,321,321,323,325,321,323,322,324,324,322,323,325,326,325,327,327,328,327,327,328,327,326,325,324,322,320,322,322,322,324,325,323,323,323,326,328,329,329,326,323,324,327,326,327,327,330,331,331,334,333,334,331,327,327,327,329,330,331,332,332,335,335,333,332,333,332,329,331,335,335,335,335,336,333,333,334,334,336,336,334,334,334,334,336,335,333,331,330,330,329,327,329,328,329,330,330,330,328,328,325,324,325,325,324,324,324,323,323,324,324,325,326,325,323,325,325,322,321,320,320,321,321,322,325,327,327,325,323,323,324,324,322,323,325,324,324,322,323,323,324
Biogas,222,222,222,219,219,219,219,219,219,219,219,219,219,219,219,219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,220,220,219,219,219,219,219,219,219,219,220,219,220,220,219,220,219,219,220,219,220,220,219,219,220,219,219,220,218,217,217,217,217,217,217,216,217,218,218,219,220,221,220,220,220,220,220,220,220,219,219,219,219,220,220,219,219,221,220,219,219,219,220,220,219,219,219,220,219,219,220,219,219,220,219,219,219,219,218,219,219,218,219,218,219,218,219,219,218,219,219,219,219,219,219,219,218,219,219,219,219,218,218,219,219,218,218,218,220,219,218,219,218,218,219,219,218,219,219,218,218,219,218,219,220,218,218,218,218,218,218,218,219,219,218,218,219,219,219,218,219,220,218,219,219,219,219,219,219,219,219,220,220,220,220,219,219,219,219,219,219,219,219,218,219,219,219,219,219,220,219,219,219,219,218,218,217,218,217,217,218,217,218,217,218,218,218,218,218,218,219,218,218,218,218,218,218,218,219,217,217,217,218,218,218,217,218,218,217,218,217,218,218,219,218,218,218,218,217,218,217,217,218,218,217,217,217,217,218,219,217,217,218,219,218,219,217,212,208,206,206
Small hydro,436,439,437,438,437,437,437,436,438,436,437,439,440,440,440,441,441,440,440,440,440,440,439,439,439,440,440,440,440,440,440,439,439,438,439,440,438,438,439,438,438,439,439,437,441,439,439,439,439,439,440,440,440,440,440,440,440,441,440,441,440,440,439,439,440,440,440,442,440,441,442,442,445,474,474,474,473,473,472,473,474,472,471,471,472,473,475,474,474,473,473,474,473,471,470,470,470,471,471,471,471,472,472,473,472,473,472,472,472,463,436,436,435,435,432,434,434,436,437,434,432,435,433,431,431,431,435,431,432,433,433,433,434,434,434,434,435,435,435,436,435,435,436,436,435,435,436,436,435,434,434,434,434,433,434,434,434,434,433,434,434,434,435,433,434,433,433,434,434,435,436,436,435,435,435,435,434,434,435,436,435,435,436,437,436,436,436,435,436,436,436,437,437,437,438,438,438,436,436,435,435,435,435,435,434,433,434,433,433,434,433,433,433,433,434,433,434,434,449,473,473,474,473,475,475,475,476,475,477,487,559,559,560,560,561,560,560,563,580,579,578,579,578,576,557,558,555,557,558,556,557,555,556,556,558,557,556,557,555,556,555,555,556,556,557,525,476,476,476,475,474,474,474,474,474,474,474,474,475,475,474,474,474,474,474,474,474,473
Batteries,-45,55,90,29,-16,-63,-13,-12,15,33,41,40,9,20,73,4,-31,-61,-58,-40,-31,-16,-36,-9,3,3,1,5,1,1,0,1,1,1,1,1,1,-34,1,1,1,1,-6,-18,-53,1,1,10,0,0,0,-1,-1,-1,-1,-1,0,-31,-67,-45,-75,-22,-27,-11,2,31,74,2,0,1,0,0,0,0,25,9,-1,0,0,32,0,-3,-24,-55,-33,-2,45,10,67,47,-5,-29,-43,-51,-54,-36,-20,-12,-8,-11,-8,-7,6,-6,-8,-38,-47,-21,-12,-21,-6,-24,-38,-28,-18,-13,105,7,-49,-39,-16,58,-19,-15,-12,-8,-14,-14,-7,0,0,-7,-8,-15,-15,-11,-4,-2,-2,-2,-2,43,3,-34,-6,0,6,-3,-21,0,0,-13,-16,-11,-1,-6,-2,-14,-17,-12,-25,-39,-41,-7,-10,-15,-20,-4,27,59,12,-10,-27,-20,-44,-7,-28,-4,-1,-1,-12,-9,-7,-9,-10,-8,-6,-8,-2,-3,-10,-7,-4,66,76,13,-36,-29,-16,-6,-11,-1,-12,0,25,27,11,-5,-5,-2,-32,-25,0,-5,-3,45,88,66,27,32,57,65,6,-6,-16,4,0,-2,-18,-18,-16,-21,-6,-2,10,19,27,29,28,25,24,7,0,0,0,-1,0,0,0,0,0,0,24,84,52,22,16,15,23,22,26,28,7,-4,-2,93,75,-20,-99,-85,-92,-92,-92,-24,24,-2,-31,0,2,-18,-19,-37,-37,-37,-37,-34,-26,-27
