Renewables 04/10/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,24,66,148,261,419,621,878,1155,1473,1820,2177,2460,2760,3138,3478,4136,4520,4907,5366,5987,6450,6933,7238,7626,7915,8151,8284,8506,8665,8762,8752,8877,8927,9085,9166,9255,9361,9347,9247,9143,8984,9067,9300,9554,9733,9700,9738,9744,9531,9529,9589,9558,9409,9345,9382,9573,9730,9664,9607,9459,9541,9409,9275,9148,9117,9070,9065,9132,9175,9177,9178,9176,9176,9161,9165,9196,9249,9352,9495,9663,9635,9590,9541,9574,9822,9871,9916,9958,10243,10305,10286,10300,10326,10366,10399,10394,10397,10432,10470,10503,10523,10468,10418,10366,10333,10265,10244,10212,10131,10092,10034,9973,9855,9822,9781,9835,9837,9744,9624,9539,9436,9274,9198,9078,8938,8913,8818,8719,8542,8333,8093,7831,7534,7194,6855,6426,6004,5640,5214,4763,4279,3800,3367,2944,2522,2111,1730,1353,1028,774,555,402,287,208,103,57,36,17,17,17,17,17,17,17,17,17,17,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0
Wind,3952,4037,4040,4055,4075,4072,4078,4076,4139,4127,4096,4050,4053,4041,4039,4084,4155,4223,4263,4283,4291,4276,4251,4175,4150,4161,4166,4161,4158,4184,4231,4220,4180,4018,3819,3715,3619,3559,3553,3550,3478,3416,3409,3393,3375,3341,3311,3232,3146,3119,3075,3062,3066,3048,2998,2935,2893,2881,2870,2877,2834,2803,2862,2823,2819,2818,2827,2817,2811,2844,2877,2894,2886,2882,2867,2884,2917,2946,2983,2977,2973,2982,3002,3011,3012,3032,3064,3092,3091,3101,3152,3209,3200,3209,3210,3189,3159,3131,3090,3078,3058,3056,3064,3073,3083,3117,3131,3140,3142,3161,3237,3274,3290,3308,3369,3387,3420,3401,3415,3413,3444,3459,3459,3405,3476,3525,3561,3605,3638,3677,3681,3631,3688,3709,3716,3729,3742,3798,3818,3862,3860,3876,3879,3894,3878,3901,3892,3905,3920,3918,3902,3903,3887,3852,3834,3818,3770,3764,3740,3695,3654,3670,3629,3570,3517,3478,3433,3407,3363,3310,3314,3288,3301,3328,3369,3388,3400,3440,3353,3283,3272,3281,3259,3244,3221,3197,3174,3226,3228,3252,3245,3267,3296,3329,3402,3461,3504,3540,3587,3615,3583,3647,3669,3648,3639,3642,3649,3688,3699,3696,3694,3674,3682,3722,3723,3772,3847,3863,3828,3824,3785,3762,3787,3779,3795,3823,3797,3804,3826,3834,3873,3890,3886,3890,3907,3945,3974,4005,4047,4068,4063,4061,4086,4094,4085,4089,4078,4078,4082,4070,4052,4050,4039,4022,4023,4020,4033,4029,4039,4056,4044,4011,3989,3985,3983,3976,3920,3890,3869,3884,3864,3798,3749,3726,3712,3725,3736,3718,3710,3684,3672,3649,3650,3665,3677,3679,3664,3650
Geothermal,971,971,970,971,971,971,970,970,971,972,970,971,972,972,972,972,971,973,972,971,972,972,971,972,972,972,971,972,972,972,972,973,973,973,971,973,973,974,973,973,973,972,973,973,974,972,973,972,973,972,972,973,973,974,974,974,972,973,973,972,974,974,974,973,972,974,973,974,974,973,974,973,973,974,975,974,975,975,974,974,974,973,974,973,973,975,977,977,976,976,975,975,975,975,975,976,975,974,974,974,974,973,973,972,972,972,971,972,972,968,972,972,972,973,974,973,973,974,974,974,974,973,973,973,974,973,972,973,973,972,972,971,971,971,972,971,970,971,971,971,971,971,970,971,971,971,970,969,970,970,970,970,969,970,970,969,969,969,968,968,968,967,968,968,968,967,967,966,967,966,967,962,963,963,965,965,965,965,964,964,964,964,963,964,963,963,964,963,963,962,962,962,962,963,962,925,913,914,916,916,915,916,916,915,915,915,914,920,941,955,957,960,962,964,965,964,964,963,964,964,963,963,963,964,963,964,965,966,964,966,964,965,964,965,965,965,964,965,965,964,965,965,963,966,966,967,967,966,967,966,967,967,967,967,968,969,969,969,968,968,968,968,967,967,966,967,966,967,966,967,967,966,967,967,967,967,965,967,967,967,967,967,967,969,968,968,967,968
Biomass,214,215,215,218,217,216,217,215,213,213,213,213,214,216,216,213,212,214,214,215,218,217,216,216,218,217,217,217,219,219,219,221,222,220,219,219,220,221,220,221,222,222,223,223,224,223,220,220,221,221,222,224,227,227,229,228,227,225,225,225,223,221,225,227,226,227,228,227,227,228,228,228,228,229,230,230,230,230,233,234,234,235,235,234,233,235,235,237,239,239,239,238,235,234,236,237,238,238,238,239,239,237,237,238,239,241,239,239,239,239,241,241,242,241,241,238,238,237,236,237,236,241,242,241,241,243,243,244,243,242,243,242,243,239,238,238,238,235,233,238,242,243,241,240,238,239,237,237,236,236,238,236,234,235,235,236,239,237,239,237,237,237,236,237,237,236,236,237,239,237,238,238,238,240,241,239,239,238,238,238,238,239,240,241,239,239,239,238,240,241,242,243,243,245,246,246,245,246,244,244,246,246,245,243,240,241,240,240,241,240,238,239,240,238,240,240,239,240,241,243,244,244,244,244,244,243,242,244,242,243,246,246,246,242,242,243,244,243,244,243,242,243,242,242,243,242,243,242,243,243,244,243,243,243,242,243,245,245,246,246,245,246,245,244,243,243,245,244,244,243,243,244,244,244,243,244,245,244,243,242,243,243,242,242,242,243,243,244
Biogas,178,178,178,178,178,178,178,178,178,178,178,180,181,182,182,182,182,182,182,182,182,182,182,182,182,182,181,181,181,182,182,183,182,183,183,183,183,183,183,183,183,183,183,183,183,183,183,182,182,183,182,183,183,183,182,183,183,182,182,182,182,182,181,182,183,184,184,184,184,184,184,184,183,183,182,182,181,183,183,182,182,180,178,178,177,176,176,176,177,177,177,176,177,177,177,177,176,176,175,175,175,176,175,175,176,175,175,175,175,174,174,174,174,174,174,175,174,174,174,174,174,175,175,176,179,178,180,181,180,180,180,180,180,179,179,179,178,177,176,175,174,171,173,172,175,175,177,179,179,180,179,179,179,179,179,179,177,179,180,181,179,180,179,180,180,180,179,180,180,180,180,181,180,180,180,180,180,180,180,180,180,180,180,180,180,181,181,181,181,182,181,181,180,179,178,178,174,164,164,166,166,166,168,171,175,172,174,174,174,176,181,184,184,184,185,186,185,186,187,188,189,188,188,188,188,188,188,190,191,192,192,192,192,193,193,192,193,192,192,192,194,192,193,192,192,192,191,189,190,190,189,190,190,190,190,190,190,190,189,190,189,189,190,189,190,190,190,190,190,189,190,190,189,190,190,190,189,190,189,189,190,189,190,190,189,190,189,190
Small hydro,459,460,459,457,432,432,427,427,426,426,427,426,427,428,428,428,426,426,425,427,427,428,445,424,425,435,436,436,434,430,433,436,436,437,438,438,439,438,438,437,436,437,437,436,436,436,437,437,437,436,437,437,437,437,436,436,437,437,438,436,438,443,452,453,456,458,456,456,456,455,460,459,460,460,463,467,468,469,468,467,466,466,466,466,466,466,467,467,466,464,464,463,464,465,464,469,466,456,446,442,436,436,435,439,437,437,437,438,440,439,439,439,438,440,441,440,439,439,439,440,441,441,439,440,440,440,441,441,441,440,439,438,437,437,439,437,437,442,441,440,440,440,441,442,442,442,442,442,440,442,443,443,443,443,443,443,443,443,443,444,444,445,445,443,442,443,444,443,443,443,442,441,442,442,441,440,441,442,442,443,442,444,444,446,444,448,449,449,448,448,447,447,447,448,448,448,448,448,448,447,447,447,447,447,449,451,450,449,450,449,452,451,453,452,454,451,460,471,478,487,490,493,495,496,495,496,495,496,497,495,495,495,494,495,495,494,494,494,493,493,491,491,492,491,491,491,490,491,491,493,492,491,492,492,493,494,494,493,493,493,492,492,491,492,491,479,457,448,447,447,446,445,446,447,448,447,449,451,463,467,470,471,470,472,470,471,469,470
Batteries,-104,-41,4,12,-2,-2,-3,-2,-3,-1,0,37,59,1,2,17,-4,-2,-48,-52,-20,-32,-9,-8,-10,-2,-1,-10,-7,-7,-10,-8,-7,46,86,82,58,73,57,-7,-1,-2,-38,-60,-57,-37,-13,-3,-1,8,31,8,-1,0,0,4,6,1,0,-5,-18,-1,-1,-2,-2,-2,-9,-7,-42,-73,-47,-16,-16,-14,0,0,1,-24,1,1,-4,-30,-33,-39,-34,56,5,-74,-86,-76,-76,-75,-66,-45,-73,-73,-73,-14,-35,4,-25,-13,-5,7,-36,-7,-24,-13,-7,9,5,5,22,10,-40,-27,8,4,5,4,0,-4,-3,69,71,18,13,-2,-20,-17,-11,-1,10,-7,-9,-10,-9,-8,-20,-13,-8,13,20,23,12,35,36,36,36,36,36,36,36,36,36,10,4,-94,-79,29,47,27,-105,-89,-56,-49,4,-19,1,26,37,-13,-42,-10,-47,-10,37,6,38,38,27,0,1,2,16,20,44,8,-25,-73,-14,2,-41,-62,-76,-35,-9,-7,-14,-8,-8,-2,-1,0,0,-20,-39,-26,-2,10,7,0,16,33,11,11,0,-30,-1,9,0,21,17,0,0,0,6,0,0,-37,-92,-67,-53,-7,-1,-45,5,2,1,1,4,34,34,34,29,21,-20,19,35,29,75,43,-21,-3,37,33,6,-8,0,10,-2,-12,-16,-13,-56,-55,-10,-5,0,0,0,0,0,0,0,0,0,15,28,9,23,8,8,9,9,8,7,7
