Renewables 04/26/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,75,175,314,499,715,978,1271,1616,1986,2372,2766,3183,3607,4048,4474,4884,5223,5306,5490,6157,6881,7410,7769,8069,8338,8557,8734,8919,9089,9225,9365,9498,9598,9681,9764,9835,9907,9979,10111,10241,10308,10374,10433,10476,10484,10207,10244,10298,10292,10257,10337,10419,10484,10531,10558,10584,10578,10638,10724,10694,10723,10720,10625,10524,10422,10330,10385,10500,10451,10396,10371,10378,10430,10413,10418,10426,10512,10642,10727,10617,10502,10657,10727,10650,10585,10593,10732,10844,10832,10690,10594,10650,10809,10863,10870,10925,10755,10749,10782,10841,10821,10833,10788,10675,10592,10569,10537,10502,10512,10466,10426,10369,10308,10311,10255,10225,10098,9881,9862,9775,9610,9487,9485,9398,9425,9380,9217,9098,8942,8772,8567,8444,8284,8095,7858,7466,6914,6203,5611,5246,4990,4616,4294,4023,3869,3621,3225,2849,2392,1895,1554,1293,1041,797,578,404,276,180,106,39,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0
Wind,2902,2861,2832,2852,2909,2952,2944,2931,2912,2932,2990,3034,3020,2947,2947,2929,2935,2933,2968,2989,2965,2943,2914,2903,2878,2818,2754,2700,2678,2665,2688,2689,2704,2735,2769,2819,2847,2875,2909,2950,3009,3024,3036,3054,3069,3073,3062,3049,3051,3038,3019,2977,2959,2932,2892,2868,2831,2799,2781,2758,2742,2690,2629,2578,2572,2535,2492,2454,2398,2345,2292,2256,2235,2253,2254,2260,2261,2250,2263,2258,2263,2281,2267,2237,2187,2162,2149,2134,2118,2115,2097,2065,2035,2011,1961,1896,1858,1840,1804,1807,1808,1805,1828,1844,1850,1875,1884,1898,1887,1869,1859,1864,1871,1849,1873,1878,1880,1865,1874,1847,1842,1844,1810,1817,1795,1785,1765,1748,1754,1781,1801,1813,1823,1868,1880,1911,1948,1958,2012,2040,2066,2101,2102,2103,2152,2146,2135,2176,2211,2252,2275,2282,2338,2370,2372,2372,2365,2380,2405,2429,2477,2492,2532,2576,2616,2668,2727,2736,2804,2842,2917,2944,2997,2941,2860,2828,2856,2855,2865,2965,3042,2982,2993,2956,2940,2956,2956,2931,2953,2970,3035,3060,3103,3168,3189,3222,3240,3304,3323,3338,3398,3384,3390,3434,3468,3475,3487,3522,3543,3553,3526,3508,3524,3512,3500,3548,3586,3618,3640,3654,3683,3704,3704,3677,3664,3657,3652,3599,3567,3481,3474,3470,3461,3465,3502,3548,3593,3606,3583,3570,3561,3557,3618,3617,3594,3565,3547,3502,3469,3433,3440,3464,3466,3478,3497,3491,3495,3524,3558,3580,3624,3677,3739,3784,3737,3740,3769,3809,3863,3875,3924,3956,4002,4034,4072,4073,4095,4113,4107,4127,4106,4097,4113,4160,4232,4252,4296,4282
Geothermal,755,757,757,759,759,758,758,759,759,759,758,758,757,758,759,758,758,758,757,758,758,757,758,757,757,758,758,758,757,758,759,758,759,759,759,759,759,759,759,759,759,759,759,759,758,759,757,758,758,758,759,758,758,758,759,758,758,758,758,759,758,759,760,759,759,760,759,758,760,759,762,761,759,759,760,760,761,760,759,760,759,759,760,759,759,760,760,760,760,760,760,760,761,761,761,760,760,759,760,760,759,758,758,759,758,758,758,769,770,771,771,771,770,770,770,768,757,753,767,769,769,768,767,767,767,766,767,766,766,766,765,765,764,764,765,764,764,764,764,765,763,765,765,764,764,764,765,763,763,764,762,762,763,762,763,762,763,762,763,765,770,770,769,770,769,769,769,769,770,769,768,769,769,769,769,793,804,802,802,801,800,800,798,799,800,799,799,799,799,799,799,799,799,799,799,796,784,784,785,778,778,779,779,778,764,752,754,754,754,780,805,818,822,830,832,837,839,842,845,844,845,845,844,844,843,842,842,843,844,845,843,843,840,841,842,843,843,842,843,846,849,848,847,849,850,850,850,850,851,850,848,851,851,852,852,853,853,853,871,886,897,896,895,895,895,896,895,895,895,894,894,902,909,919,923,921,924,925,927,927,928,929,929,927,927,927,925,926
Biomass,300,300,297,298,298,298,297,299,299,298,298,297,298,297,296,296,295,295,296,295,295,297,299,299,300,299,298,300,300,300,298,299,297,299,300,302,300,301,300,299,301,302,301,299,297,298,301,302,301,300,300,299,299,299,303,300,301,300,301,301,301,302,301,300,301,303,303,303,302,301,303,302,301,298,299,298,298,296,296,298,296,297,299,298,298,300,301,301,301,303,302,303,302,302,305,304,300,304,305,303,304,304,303,304,304,303,302,300,298,299,299,299,295,296,294,294,293,292,289,287,289,291,292,292,294,294,294,293,289,290,293,291,292,288,288,287,287,290,290,289,286,290,290,291,294,296,296,296,297,298,296,297,297,296,295,293,294,292,295,293,293,294,293,294,294,289,288,292,292,291,289,290,291,293,293,292,290,290,290,292,293,294,294,296,296,297,297,299,299,298,299,301,302,305,307,308,308,310,309,307,307,307,307,304,302,301,303,303,304,305,304,304,302,304,305,304,302,301,301,298,300,302,302,302,303,305,303,303,296,297,299,301,300,300,300,302,303,307,307,305,304,304,304,302,301,303,301,302,302,302,301,303,303,305,306,306,303,303,305,306,304,305,307,305,306,304,303,303,304,300,299,299,299,299,299,299,301,302,301,300,300,301,298,298,298,296,300,298
Biogas,219,219,219,220,220,220,219,219,219,219,219,220,219,219,219,220,219,219,219,219,219,219,220,219,221,219,219,219,220,219,219,219,220,220,220,219,219,219,220,219,219,219,219,219,219,219,219,219,219,220,220,220,219,219,219,219,220,219,219,219,219,219,220,219,219,220,219,219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,220,219,220,220,222,220,220,220,220,220,220,219,218,218,219,218,218,218,221,219,218,220,219,218,218,218,218,218,218,219,218,218,218,219,218,218,218,218,219,219,218,217,217,217,217,217,217,217,217,217,217,217,217,217,216,216,216,216,218,218,218,217,217,216,214,213,214,214,213,213,214,213,213,213,213,214,214,215,218,218,217,217,219,219,218,218,218,218,220,220,218,219,218,219,218,219,220,219,218,220,219,219,219,220,219,220,219,219,219,219,218,219,220,219,219,219,220,222,220,220,220,219,219,220,220,220,219,221,221,220,221,220,220,220,220,220,221,220,221,221,220,221,220,220,220,221,220,221,223,221,220,220,221,221,220,220,221,220,221,221,222,221,221,221,221,221,221,221,221,222,222,223,221,221,221,221,221,220,218,219,219,219,217,215,215,215,215,215,215,215,216,215,215,215,215,213,215,215,215,216,215,215,215,215,215,214
Small hydro,472,473,460,447,458,490,490,488,488,489,489,489,489,458,459,458,458,457,458,458,458,457,458,457,458,437,435,438,438,438,438,437,438,438,438,439,440,448,458,458,460,460,458,458,458,458,460,457,457,457,457,458,459,458,459,458,458,458,456,458,456,457,456,456,457,457,457,457,457,457,457,458,459,458,457,458,458,459,459,459,459,458,459,458,459,459,458,459,458,457,458,459,460,458,444,428,420,418,418,417,419,420,421,421,422,422,423,422,422,422,422,422,423,424,424,424,423,423,423,422,421,396,397,400,399,401,400,398,401,400,400,401,401,413,424,424,422,421,421,421,423,423,417,416,415,421,422,422,422,423,422,419,423,424,418,417,409,414,446,445,444,444,443,443,443,443,442,442,443,443,443,442,442,442,442,441,443,443,442,443,443,444,444,444,444,444,445,445,444,444,444,443,443,444,441,441,441,441,441,440,440,441,440,440,441,446,457,455,459,458,459,459,461,461,463,465,465,464,464,463,464,463,462,464,463,464,464,482,504,503,503,503,502,502,500,497,498,497,496,496,497,492,486,486,485,485,487,487,487,488,488,477,477,478,471,445,439,439,439,439,441,440,440,441,441,442,442,441,442,440,439,439,438,439,439,439,438,440,440,440,438,438,438,438,438,438,438,440
Batteries,-22,4,4,4,4,4,-14,-4,4,4,-5,-4,2,4,4,4,14,7,5,4,4,4,4,5,2,43,111,65,76,2,-19,-75,-75,-52,-8,3,0,-8,-1,-1,0,0,0,-1,-1,0,0,0,-1,9,46,31,19,-1,0,0,-1,0,-1,-9,-30,-17,-1,-2,0,-1,-1,-35,-1,-1,11,22,8,15,17,17,17,17,18,18,20,17,17,10,-29,-78,-57,-65,4,-32,-65,-1,2,6,20,-1,-55,1,38,33,27,42,75,55,52,37,27,12,16,-11,-6,-3,-7,-7,-31,-35,-7,-7,-7,-10,-10,-29,0,0,-49,-39,-8,-36,-1,-18,-27,-20,-31,-24,-31,-7,-60,-43,1,7,33,15,2,-30,-53,-13,-8,-6,-17,-20,-9,-30,-32,-46,-1,-3,29,89,64,5,-1,-1,-22,-35,-8,-1,-1,-1,1,-15,-97,-47,-31,-26,-6,-46,-39,-59,-36,-28,-57,-3,16,28,64,62,0,-72,-103,-49,-61,-48,-38,-38,-30,2,87,36,1,-47,-96,-43,9,7,4,4,2,-4,-12,-4,19,72,72,86,87,88,-20,-39,-34,-34,-32,-32,-27,-8,8,23,6,0,5,36,37,14,7,-19,-53,-51,-11,29,39,39,25,26,33,27,-1,-14,-6,-18,-20,14,17,22,21,28,21,17,11,11,7,-2,-13,10,14,11,26,26,-4,-86,-94,-90,-95,-64,-18,-57,-78,-20,6,93,67,30,14,30,-44,-67,-32,-3,25,26
