Renewables 04/03/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,64,151,278,431,609,787,1000,1230,1476,1696,1933,2224,2470,2617,2876,3425,3755,4087,4418,4721,4935,5027,5056,5057,5118,5285,5529,5780,6477,6813,7103,7124,7211,7471,7436,7731,7912,7929,7991,8006,7914,7972,8153,8177,8426,8502,8570,8516,8505,8453,8564,8617,8707,8711,8681,8840,8740,8746,8885,8897,8909,8987,8975,8922,8543,8474,8594,8587,8581,8654,8502,8423,8485,8436,8316,8330,8163,8135,7995,8029,8105,8255,8303,8108,8001,7631,7734,8257,8777,9052,8924,8802,8834,8945,8905,8683,8254,8024,7940,7794,7598,7519,7351,7363,7307,7215,7112,7071,7028,6928,6797,6889,7297,7503,7168,6914,6754,6618,6566,6783,7089,6985,6360,6156,5893,5741,5515,5286,4818,4539,4396,4109,3994,3656,3263,2975,2659,2257,2015,1715,1466,1191,1028,824,610,467,296,159,80,35,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Wind,2502,2673,2868,3031,3210,3289,3354,3410,3458,3419,3344,3336,3264,3171,3055,2991,2941,2923,2877,2839,2814,2844,2791,2720,2703,2738,2781,2803,2771,2738,2700,2660,2684,2688,2682,2616,2566,2595,2606,2613,2585,2551,2533,2526,2505,2485,2471,2459,2469,2448,2439,2402,2366,2330,2289,2256,2245,2282,2295,2285,2252,2234,2211,2204,2211,2245,2276,2298,2312,2338,2335,2350,2330,2322,2344,2350,2364,2358,2338,2324,2302,2287,2325,2323,2269,2256,2255,2255,2247,2208,2133,2061,2016,2006,2027,2022,2016,1982,1944,1910,1862,1800,1759,1736,1733,1722,1706,1656,1622,1580,1574,1555,1534,1500,1478,1476,1467,1469,1462,1445,1444,1430,1395,1363,1340,1313,1293,1268,1253,1239,1207,1182,1161,1167,1162,1167,1174,1171,1164,1154,1152,1134,1117,1130,1137,1116,1123,1130,1127,1144,1172,1201,1195,1219,1240,1238,1234,1251,1279,1289,1350,1385,1402,1450,1485,1510,1528,1523,1512,1497,1507,1510,1473,1464,1461,1441,1422,1438,1513,1588,1625,1629,1648,1684,1687,1657,1638,1614,1608,1562,1549,1515,1504,1517,1549,1551,1570,1587,1576,1598,1616,1612,1612,1632,1666,1720,1798,1873,1895,1917,1914,1897,1888,1868,1883,1901,1919,1928,1930,1929,1947,1991,1976,1964,1991,2002,1995,1998,2004,2011,2015,2004,1999,1984,1957,1937,1932,1934,1936,1960,1965,1965,1973,1970,1979,1969,1970,1973,1968,1971,1962,1962,1960,1969,1971,1973,1977,1933,1908,1901,1892,1882,1861,1839,1826,1816,1826,1843,1847,1874,1888,1886,1880,1841,1817,1797,1802,1804,1802,1793,1779,1798,1792,1748,1715,1730,1704,1654
Geothermal,808,809,808,809,808,809,808,808,809,809,809,809,809,809,809,809,810,809,810,810,811,812,811,811,811,811,811,811,811,811,810,810,810,810,810,811,809,810,811,811,810,811,810,810,810,810,811,812,812,811,811,812,812,812,811,812,812,811,812,811,811,812,811,811,812,812,812,812,811,811,811,812,812,813,812,811,813,812,812,813,812,812,813,813,812,813,813,813,812,811,811,810,810,811,811,811,811,811,811,810,811,812,811,811,811,811,811,810,811,810,810,809,799,809,810,809,809,809,808,809,809,808,809,808,808,806,807,806,806,806,807,806,806,806,805,805,806,803,802,805,804,804,803,804,804,804,803,804,804,803,803,803,804,803,804,804,805,805,804,804,804,804,805,804,806,805,805,805,805,805,805,804,803,803,804,805,805,806,805,804,804,804,804,804,804,804,804,803,798,798,798,798,797,797,797,797,797,799,799,799,799,799,799,800,799,800,800,800,800,800,800,800,799,801,799,795,795,795,795,797,801,802,802,802,802,802,803,800,787,791,795,782,782,794,795,795,796,796,797,798,799,801,802,804,804,803,804,804,804,804,804,804,804,804,804,804,805,804,805,804,806,805,805,805,804,806,805,806,806,806,806,806,806,806,806,806,806,807,806,806,807,807,809,810,814,813,813,815
Biomass,277,275,274,261,241,229,229,227,224,224,225,225,225,224,224,225,224,226,227,237,240,241,244,248,249,256,258,260,263,264,268,268,268,271,276,278,279,280,280,277,278,281,278,280,281,280,282,282,280,281,282,284,283,285,286,285,285,282,283,283,281,281,281,279,282,283,281,282,282,281,279,277,279,278,279,282,281,281,283,284,284,282,282,281,283,282,280,280,282,284,281,284,283,283,281,280,282,282,281,280,279,280,280,277,280,281,280,280,280,282,281,280,278,276,271,271,267,267,268,271,270,272,274,274,273,271,270,268,269,270,270,273,270,266,271,272,273,271,275,278,275,276,274,277,275,275,273,273,273,271,270,271,268,268,270,269,267,267,267,264,265,262,265,270,269,268,270,268,268,270,275,280,280,278,275,279,279,279,278,278,280,281,277,279,281,283,281,282,280,279,279,281,283,282,282,282,283,283,283,282,281,280,279,281,280,283,283,283,283,284,285,283,282,282,280,282,281,281,279,279,277,280,281,283,284,281,281,284,287,289,285,284,283,285,283,283,283,283,285,285,282,276,277,279,282,283,283,282,284,285,285,282,283,287,285,284,287,287,285,283,284,287,288,285,287,286,285,285,285,283,284,282,282,284,284,282,279,274,274,279,275,276,281,281,283,284,284,287
Biogas,209,209,209,209,209,209,209,210,210,210,210,210,210,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,210,211,210,210,211,211,211,212,211,211,211,211,212,212,211,211,211,211,211,211,211,211,211,211,211,210,210,210,210,210,207,208,207,207,206,206,206,208,208,207,207,206,206,206,206,206,206,206,206,205,206,205,205,203,202,202,202,201,201,201,201,200,199,199,200,201,201,201,201,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,201,200,200,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,202,202,202,202,202,201,201,201,201,201,201,201,202,203,204,204,204,204,190,176,176,177,177,177,177,177,176,176,176,176,180,180,185,184,184,186,186,187,187,188,187,188,187,188,187,188,187,188,188,188,188,188,187,185,188,186,187,187,187,187,188,187,188,188,188,188,188,189,189,191,193,194,194,194,194,194,195,195,195,195,196,195,195,195,195,195,195,195,195,195,195,195,195,195,195,198,203,202,203,205,208,208,210,211,211,212,212,213,212,213,213,213,213,212,212,212,212,212,212,212,212,212,211,210,211,211,211,211,210
Small hydro,506,489,457,456,456,456,457,458,458,459,460,459,459,459,460,460,460,461,460,460,459,458,458,458,458,459,458,458,458,457,458,458,458,457,457,457,457,457,456,458,457,458,459,459,437,415,415,416,416,416,417,417,417,417,403,401,403,402,416,416,414,452,472,476,510,515,516,516,518,517,517,518,518,519,518,518,517,518,518,517,517,517,516,517,516,516,517,517,517,519,518,519,520,519,519,518,516,516,517,517,517,517,517,517,516,516,516,515,491,487,487,462,462,463,463,463,463,463,462,463,462,463,460,433,433,434,433,432,432,431,431,432,431,431,431,431,431,431,430,430,431,431,431,431,431,431,431,430,430,430,430,430,431,430,431,430,427,419,413,404,402,401,401,401,401,401,402,402,401,401,400,400,399,399,400,401,400,400,400,399,400,399,398,398,398,399,400,400,401,400,395,398,426,430,440,446,449,451,452,451,450,448,448,448,451,449,447,515,553,552,552,553,553,552,554,553,553,552,551,552,551,551,552,552,553,554,554,554,555,555,554,554,554,553,553,555,556,556,556,557,556,557,556,554,555,555,555,554,553,554,553,553,552,554,556,551,551,552,553,554,554,555,554,554,555,555,531,504,504,504,504,504,503,504,502,503,503,505,447,447,448,447,447,447,448,447,447,447
Batteries,-3,-17,-32,-16,-7,-12,-10,-22,-22,-16,-6,0,14,34,39,24,32,10,-5,6,-7,-6,-16,8,-11,-12,11,2,-13,-17,-39,-19,-8,-8,-8,-2,3,-4,-13,-16,0,13,-16,-4,4,17,-11,-16,-16,21,43,3,6,-7,-8,4,2,-9,-9,-9,-20,-14,-13,5,-1,-1,-3,-8,-21,-10,-5,15,-13,-15,4,-8,-6,13,0,-40,-19,-14,-3,-4,-2,3,7,7,16,18,7,19,-2,3,7,-6,-31,-12,12,-14,24,-1,5,0,-3,-15,-39,-75,-79,-100,-103,-100,-88,-89,-104,-46,-93,-107,-34,-16,54,47,66,65,44,-79,-97,-29,-20,-20,-19,-21,-32,-30,-19,12,64,49,-4,-22,2,37,10,-6,-11,37,35,15,15,-14,-21,-11,-14,17,-27,-22,-40,-71,-101,-50,-31,-69,-58,-57,1,17,30,16,-24,-60,-77,-56,7,29,-3,15,6,47,71,-8,-39,-51,-51,-13,14,35,72,42,13,-4,3,14,-39,-57,-64,-2,77,79,90,72,9,-60,14,95,94,76,40,7,25,30,21,14,14,7,-25,-48,-56,-59,-49,-42,6,14,19,20,18,9,-25,-26,-39,9,-13,-3,-26,-25,-29,-23,-37,-37,-39,-43,-45,-25,-15,-19,-29,-24,-8,37,53,22,-8,-8,-1,30,32,29,31,19,29,19,17,18,41,32,36,24,29,19,30,14,11,11,26,10,0,0,0,19,-1,22,63,37,58,42,24,29,31,40
