Renewables 04/30/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,68,165,288,441,634,858,1115,1404,1729,2051,2416,2796,3200,3604,3995,4386,4762,5202,5653,6044,6405,6768,7100,7374,7634,7841,8057,8212,8311,8443,8578,8681,8808,8881,8732,8789,8874,8990,9076,9258,9480,9552,9515,9566,9625,9718,9813,9891,9835,9844,9907,9905,9961,9988,10047,10058,10095,10169,10151,10136,10077,10092,10212,10348,10326,10174,10125,10245,10161,10128,10224,10235,10383,10428,10471,10455,10512,10549,10686,10740,10685,10700,10692,10619,10570,10583,10604,10631,10585,10582,10426,10335,10233,10263,10400,10483,10452,10449,10405,10334,10262,10189,10082,9895,9868,9717,9603,9503,9552,9518,9400,9375,9286,9228,9140,9149,9000,8783,8602,8655,8263,7820,7724,7639,7915,8243,8356,8350,8275,8057,7538,7462,7283,7179,7049,6827,6572,6265,6042,5804,5461,5133,4811,4461,4103,3734,3325,2973,2643,2314,1983,1606,1267,991,764,580,440,329,258,201,158,126,103,71,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,0
Wind,3592,3529,3419,3377,3331,3276,3248,3228,3195,3173,3196,3298,3300,3246,3118,3137,3140,3138,3114,3071,3028,2969,2901,2840,2886,2903,2880,2848,2850,2838,2834,2863,2899,2831,2840,2869,2882,2894,2896,2909,2988,3128,3183,3104,3091,3116,3110,3221,3164,3043,3010,2962,2924,2914,2888,2887,2885,2859,2818,2831,2785,2791,2763,2765,2739,2717,2655,2614,2598,2615,2589,2559,2495,2467,2421,2368,2351,2332,2317,2329,2306,2255,2239,2199,2198,2181,2145,2172,2180,2184,2197,2158,2129,2130,2157,2146,2244,2261,2308,2328,2377,2400,2493,2584,2622,2657,2700,2741,2752,2735,2746,2758,2752,2739,2763,2803,2833,2890,2937,3002,3029,3043,3065,3070,3071,3053,3040,3057,3036,3042,3077,3079,3114,3129,3092,3064,3092,3140,3166,3126,3117,3107,3113,3129,3182,3218,3254,3248,3211,3244,3266,3261,3200,3186,3226,3213,3168,3168,3188,3208,3218,3201,3227,3222,3173,3178,3140,3135,3151,3156,3131,3163,3217,3238,3273,3325,3370,3470,3492,3513,3497,3527,3491,3511,3513,3549,3578,3545,3597,3628,3653,3684,3702,3693,3641,3591,3573,3548,3532,3444,3424,3346,3412,3463,3471,3480,3478,3454,3431,3453,3418,3413,3370,3303,3195,3146,3095,3056,3018,2984,2963,2897,2848,2813,2737,2743,2696,2639,2632,2592,2560,2547,2531,2515,2488,2464,2406,2357,2324,2294,2288,2273,2242,2238,2185,2153,2140,2161,2187,2154,2155,2153,2153,2167,2153,2132,2094,2067,2045,2053,2053,2060,2036,2041,2041,2041,2033,1997,1970,1982,1983,1985,1965,1945,1970,1996,2052,2075,2119,2178,2226,2267,2312,2340,2357,2366,2325,2328
Geothermal,831,831,831,831,832,831,831,832,832,832,832,832,832,832,833,832,832,833,833,833,834,834,834,834,833,833,834,834,834,835,834,834,835,835,836,835,835,836,836,836,836,836,836,836,835,835,835,835,835,836,836,835,835,836,834,835,834,835,836,836,836,837,837,836,836,836,836,837,836,836,836,837,836,837,835,835,837,835,837,837,837,836,838,837,837,839,838,837,837,837,837,837,836,837,838,838,837,838,837,838,839,838,838,838,838,837,837,836,835,835,835,801,783,783,783,782,782,781,782,782,781,813,781,832,833,832,832,833,833,834,834,834,833,834,834,833,832,832,833,834,833,833,833,833,832,830,829,829,830,831,831,831,830,830,829,829,830,829,829,828,829,830,830,830,829,830,828,829,829,829,829,829,830,829,829,829,829,829,829,829,829,829,829,829,829,829,826,830,830,830,830,830,831,831,831,830,830,831,830,831,831,831,831,832,832,832,832,831,832,832,832,833,832,832,832,832,832,833,832,833,833,833,834,833,833,832,832,833,832,832,832,832,832,832,831,832,832,831,832,831,832,832,833,832,833,833,833,833,833,833,831,834,833,834,834,834,835,834,835,835,835,835,834,835,835,835,834,834,835,835,834,834,835,835,835,836,836,836,836,836,836,836,836,835,836,837,837,837
Biomass,307,306,306,304,303,303,302,303,305,305,307,306,305,306,307,307,308,308,307,306,307,308,308,309,309,310,308,307,309,307,306,306,308,307,308,307,306,307,306,303,304,304,305,307,307,307,308,307,309,307,310,308,308,310,312,309,307,307,307,309,308,307,306,304,301,298,299,298,298,295,294,294,294,295,297,296,296,297,295,296,299,299,302,302,303,305,302,303,303,302,302,303,302,301,301,301,301,301,302,300,300,300,302,302,301,302,301,301,301,303,300,299,298,299,297,295,292,294,297,295,294,296,297,298,299,299,299,300,298,297,295,295,295,294,296,296,296,298,297,297,294,292,292,295,300,299,305,308,311,313,315,317,316,314,315,319,318,318,319,319,320,322,325,325,322,325,327,327,327,327,327,326,329,328,328,328,328,328,330,325,324,318,317,317,323,325,324,328,326,327,324,327,328,328,327,326,327,333,336,336,337,337,336,336,335,334,335,333,334,334,336,334,333,333,334,328,300,295,293,293,294,293,294,291,291,290,292,291,291,290,291,288,286,286,285,283,281,282,284,285,289,288,285,285,292,294,301,303,302,304,312,316,321,321,318,316,317,317,317,324,321,319,320,324,325,327,328,326,324,324,325,323,322,321,320,320,318,317,322,321,321,321,319,320,321,323,324,323
Biogas,196,196,197,195,196,196,195,195,197,196,195,195,195,196,195,196,196,195,196,195,196,196,196,196,195,195,196,196,196,195,195,195,195,195,195,195,195,195,196,195,195,195,195,195,196,195,195,195,195,195,195,195,195,196,195,195,196,195,195,195,195,196,195,195,196,195,195,195,195,196,195,195,195,195,196,195,196,196,195,196,196,195,195,195,195,194,194,194,195,194,194,195,194,194,194,194,190,186,184,184,184,184,184,184,184,184,185,184,183,184,183,183,183,183,183,183,183,183,184,184,184,183,184,183,183,184,184,183,183,184,184,184,184,183,183,183,184,183,183,183,183,183,183,183,184,184,183,183,185,184,184,183,183,184,184,183,184,183,183,184,183,183,183,184,183,183,184,183,183,182,183,184,186,184,185,184,183,184,185,183,183,185,187,187,186,186,186,186,186,187,186,186,184,184,185,182,178,177,177,177,178,178,179,180,180,180,181,180,181,180,181,181,181,181,181,180,180,182,185,186,187,186,186,187,188,186,186,188,188,188,188,188,188,188,188,189,188,189,188,189,189,189,189,189,188,189,189,189,189,189,189,189,188,190,188,188,189,189,188,189,188,188,188,188,188,189,188,189,189,188,190,188,191,189,188,189,189,189,188,189,188,190,189,188,190,189,188,188
Small hydro,423,432,438,438,434,428,428,428,429,429,429,429,429,429,429,428,428,427,427,426,425,427,424,411,385,384,385,384,384,384,384,384,386,385,386,386,387,386,386,387,387,386,387,387,387,387,387,387,387,395,428,428,427,420,420,419,419,419,418,418,418,413,412,411,411,411,411,411,412,413,412,413,412,412,417,421,420,423,429,429,428,419,417,429,459,465,469,469,468,467,467,466,466,465,465,465,465,467,466,468,467,467,468,468,468,468,468,468,467,468,459,436,429,428,428,427,427,427,427,426,426,426,426,427,426,426,426,426,427,427,426,426,426,426,426,426,427,427,427,426,428,428,429,429,428,428,427,428,429,429,428,429,430,430,429,429,429,421,389,389,388,388,388,388,387,388,387,388,388,388,387,387,387,388,388,388,388,388,388,387,388,387,387,388,388,387,387,387,387,385,385,385,384,385,385,385,385,386,387,388,387,387,386,385,384,391,425,425,426,431,437,437,436,438,440,444,448,459,480,482,484,487,489,490,491,491,490,493,532,533,532,533,532,532,532,532,531,531,532,532,533,533,534,533,533,533,534,534,534,534,534,535,534,534,534,534,534,534,533,533,533,532,533,532,529,522,510,483,476,476,475,475,474,473,472,473,473,473,473,474,474,473,473,474,473,473,474,474
Batteries,-76,-10,16,-4,-45,-43,-43,-61,-30,46,22,15,-2,-2,34,9,8,9,9,9,10,10,34,68,22,27,18,37,20,24,18,8,13,18,18,17,13,10,12,12,15,-49,-74,-24,14,18,12,-65,-49,29,110,74,75,34,17,-5,-4,9,38,70,36,-2,-4,-6,-14,-8,-5,4,11,2,3,3,-6,-9,18,10,23,12,3,24,65,61,58,25,-24,-21,-1,-62,-85,-76,-97,-63,-66,-79,-77,-99,-100,-19,41,0,-43,-65,-61,16,7,2,-46,-58,-75,23,61,5,0,0,-15,-1,-11,0,84,86,16,-1,-1,0,5,42,88,82,78,50,0,7,-3,32,40,76,70,12,-2,36,96,83,61,32,-2,-13,-17,-17,-17,-17,-17,-17,-4,-22,-27,-25,-1,22,-5,-21,-19,-15,-28,-1,20,38,47,60,35,-3,7,24,26,41,18,17,-2,10,21,-6,3,-30,-26,-21,-9,2,1,-8,1,-23,-32,-17,1,-77,-107,-36,-11,6,88,71,55,5,-3,-1,59,28,-2,5,-2,-4,11,-1,-11,5,3,-10,-3,-28,-22,-31,-12,13,-2,-4,-11,-22,2,1,1,2,23,-10,-27,-34,-37,-39,-38,1,29,29,23,-10,-12,0,4,12,16,3,-4,-3,-12,-3,-9,6,42,16,21,28,-1,3,-7,-32,-8,9,9,27,32,-1,1,14,2,-3,-20,-48,-78,-87,-84,-2,-34,-87,-91,-90,-91,-75,-89,-27,29,32
