Renewables 05/02/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,53,139,254,422,590,786,1021,1335,1648,1982,2424,2618,2965,3284,3686,4031,4251,4609,5042,5395,5552,5800,6030,6385,6694,6841,7100,7301,7452,7726,7763,7902,7851,7885,8378,8709,8798,8880,9212,9056,8801,8767,8861,9032,9199,9425,9285,9235,9584,10038,10016,9916,9866,9619,9723,9879,9669,9349,9469,9680,9698,9483,9541,9552,9459,9768,10121,10030,9925,9826,9788,9851,9773,9694,9949,10200,10154,10304,10295,10206,10142,10251,10334,10280,10128,10196,10269,10191,10054,10102,9987,9927,9904,9841,9877,9969,9915,9818,9812,9726,9617,9467,9265,9374,9460,9578,9720,9802,9704,9666,9535,9457,9294,9081,9117,9164,9078,8946,8697,8204,8075,8275,8339,8260,8241,8227,8202,8126,8106,8043,7938,7659,7316,7189,7156,7090,6976,6856,6618,6299,5998,5831,5570,5202,4974,4623,4318,3935,3536,3110,2704,2334,2000,1699,1392,1133,848,637,489,365,276,204,133,118,113,113,113,114,114,114,115,115,96,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
Wind,3506,3644,3644,3622,3603,3590,3596,3615,3561,3456,3383,3388,3361,3324,3321,3351,3335,3337,3338,3370,3354,3347,3353,3364,3339,3307,3290,3279,3282,3309,3306,3302,3274,3267,3266,3243,3193,3190,3213,3212,3222,3224,3206,3191,3158,3104,3048,3024,2978,2944,2873,2789,2709,2630,2540,2461,2397,2307,2229,2168,2128,2089,2036,2016,2009,1981,1955,1974,2012,2024,2045,2030,2033,2036,2048,2044,2027,1998,1946,1903,1854,1815,1805,1786,1748,1704,1691,1711,1710,1663,1636,1592,1553,1504,1454,1419,1372,1319,1263,1206,1154,1090,1065,1040,1014,992,950,892,848,801,753,699,645,589,550,518,483,451,408,362,336,300,255,223,197,165,142,123,105,93,73,62,51,44,41,37,37,33,30,25,24,25,25,23,21,15,16,17,17,13,16,18,19,23,27,34,38,46,51,61,73,78,89,102,108,123,126,151,153,179,200,229,274,311,362,409,444,491,551,614,681,768,839,907,968,1029,1070,1104,1162,1213,1273,1346,1402,1452,1501,1548,1603,1673,1716,1799,1844,1886,1928,1954,1994,2015,2020,2060,2103,2155,2243,2315,2339,2418,2466,2525,2566,2622,2653,2682,2693,2690,2671,2709,2760,2823,2888,2931,2986,3041,3084,3101,3078,3099,3102,3088,3059,3023,3044,3088,3142,3167,3190,3199,3163,3159,3148,3144,3171,3171,3138,3123,3138,3165,3189,3245,3276,3287,3264,3234,3231,3234,3231,3243,3251,3263,3242,3204,3173,3168,3174,3168,3186,3198,3212,3206,3179,3120,3072,3032,2999,2936,2853,2794,2720,2650,2601,2597
Geothermal,844,844,843,843,843,843,844,843,844,844,843,843,843,844,843,843,843,843,843,842,843,842,843,842,843,843,843,842,841,842,843,843,842,842,843,843,842,843,842,843,843,843,844,843,843,841,842,842,842,842,841,842,843,843,843,844,844,845,845,845,845,845,844,854,854,863,867,865,869,870,870,866,871,884,885,890,893,894,894,895,894,894,897,897,895,896,895,894,894,895,895,894,894,893,893,893,891,894,893,894,892,892,893,893,893,892,890,891,891,891,891,890,892,892,890,891,892,891,890,886,865,867,885,886,885,885,869,881,886,885,885,885,885,884,885,885,887,885,885,885,886,885,886,886,886,886,886,887,887,887,885,886,886,886,886,885,885,885,885,884,884,884,884,885,886,887,888,889,888,888,889,889,889,888,889,889,889,889,890,888,882,889,890,890,890,890,890,892,893,893,891,892,892,893,892,893,892,892,892,893,892,893,893,892,891,892,892,891,891,891,892,891,891,891,891,891,892,892,891,891,892,891,891,891,892,891,891,892,891,891,891,892,892,892,892,892,892,893,891,893,893,894,894,893,895,895,894,894,894,894,893,894,895,894,894,890,895,896,894,895,894,896,895,895,896,897,897,897,897,898,897,897,897,898,898,898,898,897,898,898,898,900,899,899,898,899,899,898
Biomass,324,325,328,328,330,330,330,327,329,330,330,328,329,327,325,324,322,321,324,323,321,320,321,325,326,328,323,324,326,330,331,330,327,332,336,334,328,330,328,327,326,326,335,337,340,340,340,340,339,330,334,336,338,336,334,336,335,333,335,336,339,340,341,339,340,339,338,337,339,338,337,338,336,338,340,340,338,338,338,336,334,334,338,338,347,347,348,347,353,347,345,346,349,350,353,352,352,352,353,353,355,355,353,352,354,354,354,354,352,352,351,350,347,349,349,350,350,349,348,348,345,346,348,350,345,342,341,344,345,346,343,342,343,343,344,343,347,346,347,345,347,348,348,321,315,315,316,316,316,318,321,323,321,324,324,323,323,323,318,319,322,320,320,322,321,320,322,321,322,321,322,324,323,326,323,324,326,326,328,327,326,328,330,329,338,338,335,336,336,342,345,343,344,342,344,341,341,339,340,345,347,346,341,342,342,340,343,346,345,345,345,351,353,358,355,356,357,358,357,356,353,354,361,359,360,361,360,357,356,353,356,361,362,361,360,363,360,360,361,363,363,360,360,361,362,361,360,360,361,359,359,360,360,359,363,361,361,361,362,366,365,364,362,362,365,366,362,361,359,361,362,361,359,363,366,366,363,349,349,357,362,367,370,368,368,366,365,365
Biogas,196,196,196,197,196,196,196,197,196,197,196,197,197,197,197,197,197,196,197,197,197,196,196,197,196,196,198,196,196,196,196,196,196,197,196,196,196,195,195,196,196,196,197,196,196,196,196,196,196,197,196,197,197,196,196,196,196,196,196,196,197,196,196,196,196,196,196,196,196,196,196,196,196,197,195,196,195,196,195,196,197,196,196,195,196,196,196,197,198,197,196,198,196,197,197,196,196,193,194,193,193,193,193,194,193,193,193,194,193,193,195,193,193,193,193,194,193,193,193,192,192,194,195,195,191,191,193,194,194,194,193,194,194,194,193,194,194,196,195,196,196,195,195,195,197,201,197,199,199,198,199,198,198,198,197,198,198,200,200,201,200,200,201,200,200,200,200,197,200,199,198,200,201,202,201,200,201,200,201,201,201,202,203,202,202,203,201,202,201,202,201,202,202,201,199,199,200,202,201,199,200,199,200,198,198,198,198,199,199,199,200,203,204,204,204,204,204,203,200,203,205,204,204,205,206,208,211,209,208,209,208,209,208,208,208,208,208,208,209,208,208,207,207,208,210,209,208,208,208,208,208,209,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,202,197,197,197,197,197,197,198,197,197,198,197,198,198,197,197,197,197,197,197
Small hydro,480,471,472,473,474,474,474,475,475,475,476,476,476,476,476,476,474,474,474,473,473,472,472,472,469,464,464,471,472,471,472,471,471,471,472,472,473,473,473,473,475,472,474,475,475,474,475,474,474,474,474,475,474,473,473,473,473,473,473,473,473,486,513,513,513,514,514,514,514,515,515,515,515,515,519,524,523,524,523,524,524,524,524,524,524,523,523,523,523,523,522,522,522,521,522,522,522,525,526,525,526,525,524,522,522,522,523,523,523,522,522,522,523,523,523,523,523,523,524,526,525,525,526,527,527,526,527,527,526,526,526,529,537,537,537,537,538,537,537,537,537,536,537,536,537,536,537,537,536,537,537,537,538,538,535,524,508,497,496,496,497,498,497,497,497,496,496,495,495,508,536,535,536,535,535,533,531,531,531,532,530,530,532,531,532,532,532,533,532,532,533,533,533,532,531,531,531,530,531,531,531,531,531,532,531,532,531,531,531,530,531,530,529,529,530,529,530,529,531,532,532,532,532,531,531,531,531,530,530,530,529,529,530,529,530,531,532,532,533,533,533,532,533,533,533,533,532,532,532,532,532,532,532,531,532,526,527,526,526,526,526,526,526,526,526,520,517,517,517,517,517,517,517,518,518,518,518,518,519,519,518,517,518,518,518,518,518,504
Batteries,0,33,17,2,21,20,26,25,25,90,87,25,-12,9,22,-32,-44,25,25,23,33,23,23,15,15,34,29,29,25,9,14,22,29,8,10,3,9,5,18,9,9,2,11,-7,-7,-8,1,-3,-6,-9,10,0,10,-14,-15,-11,0,0,0,-28,-53,38,86,5,-13,-2,-27,-64,-49,-25,-38,-8,-27,9,11,0,-9,-17,-24,7,9,8,8,-15,-66,-33,-36,-15,1,-2,-14,-17,-33,-29,-2,-6,2,41,50,53,10,9,-25,-28,8,-4,-4,13,-13,-81,-26,65,7,11,97,89,32,-22,-69,-76,39,6,-20,-50,-38,-46,-43,5,1,-16,32,94,84,-6,1,-1,-4,-3,5,-8,-64,-79,-64,-13,1,7,15,13,-25,-78,-47,-46,-1,2,20,14,-36,-38,-37,-32,-32,-2,14,-9,-26,-4,0,0,-5,-3,9,9,-29,-39,-6,-13,0,-27,-39,-42,-23,-36,5,-8,0,1,7,-11,-53,-32,-33,-24,-38,-8,-1,0,0,0,-12,-33,-41,-30,-37,-30,-47,0,-1,0,37,-15,-54,-32,-32,-27,-5,-6,-14,-20,-13,-4,3,15,64,4,1,-2,-32,-38,-49,-3,-11,-14,12,30,19,11,28,32,29,4,-24,-28,-31,-26,-23,-28,-31,-15,-9,-9,-4,-2,-2,-7,29,9,5,33,22,8,3,0,-3,-7,-4,67,81,14,0,-15,-45,-22,-16,-12,-6,-14,-6,1,5,0,0,0,0,0,0,6,6,-1
