Renewables 04/13/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,106,212,374,579,841,1131,1466,1830,2217,2616,3054,3466,3900,4348,4760,5218,5614,6018,6647,7126,7498,7849,8090,8191,8423,8549,8709,8867,9033,9271,9451,9577,9683,9761,9847,9930,10002,10066,10135,10193,10254,10308,10355,10396,10447,10483,10524,10548,10554,10600,10644,10666,10692,10626,10704,10730,10750,10761,10765,10773,10775,10772,10755,10712,10707,10694,10732,10744,10769,10758,10768,10811,10911,10946,10940,10930,10946,10977,10986,11011,11026,11001,11001,11006,11007,10987,10989,11011,11009,10951,10998,10956,10858,10951,10966,10872,10781,10773,10750,10747,10779,10798,10642,10459,10448,10446,10420,10413,10455,10345,10268,10156,10073,10091,9942,9565,9095,8831,8555,8392,8629,8861,8938,8971,8729,8283,8017,8001,8134,8058,7909,7647,7254,6859,6404,5818,5290,4854,4388,3828,3517,3340,3047,2706,2166,1739,1321,964,726,562,425,308,203,118,70,37,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0
Wind,1382,1442,1367,1289,1241,1205,1193,1186,1187,1182,1183,1183,1163,1121,1077,1053,1015,980,949,923,902,859,830,793,769,752,737,719,696,668,663,681,693,692,686,676,667,648,609,583,574,564,543,533,545,549,553,558,575,588,583,584,577,561,558,549,535,543,543,560,551,524,495,448,403,370,353,347,341,335,313,308,312,308,284,255,237,208,197,196,184,171,166,167,168,167,166,170,175,177,178,169,150,142,139,144,146,156,166,183,191,191,212,215,212,206,223,245,273,292,323,345,361,386,383,375,359,339,333,331,324,320,315,319,314,301,311,304,313,319,328,336,343,356,366,372,372,364,353,346,336,313,305,301,282,268,275,265,254,253,247,233,215,197,200,184,174,169,172,166,161,151,157,162,167,173,180,177,173,162,165,168,166,162,166,163,176,206,231,254,280,305,346,399,451,531,575,631,668,698,732,784,847,905,987,1060,1118,1183,1225,1230,1276,1291,1317,1312,1351,1388,1432,1480,1551,1558,1584,1597,1612,1590,1588,1574,1579,1602,1614,1631,1666,1718,1724,1786,1848,1887,1904,1922,1934,1928,1936,1966,1998,2007,1974,1951,1947,1965,1969,1989,1998,2030,2031,2006,1997,2003,2023,2026,2054,2066,2085,2095,2089,2100,2152,2191,2214,2214,2215,2234,2262,2261,2305,2348,2387,2451,2526,2581,2620,2659,2684,2685,2659,2699,2723,2785,2811,2874,2917,2957,2983,2984,3000,3002,3044,3091,3108,3094
Geothermal,970,971,971,970,971,970,970,970,970,971,971,970,970,970,970,970,969,970,971,970,970,970,969,970,969,969,969,969,968,968,969,970,970,971,971,971,971,971,971,971,972,970,971,971,971,971,971,972,973,972,972,971,972,972,972,972,972,971,973,972,972,973,974,974,974,973,974,973,971,972,973,972,972,972,972,972,969,971,971,972,972,971,971,971,972,972,972,971,971,971,971,970,970,970,970,970,969,970,969,969,968,968,968,968,967,968,967,966,967,967,966,966,968,966,966,967,967,966,965,965,967,966,965,964,967,966,966,947,964,965,965,965,965,965,964,964,964,964,963,963,963,962,962,963,963,962,963,963,964,963,964,962,961,962,961,962,962,963,963,963,963,963,963,963,963,962,962,963,963,962,962,962,962,963,962,962,961,961,961,961,961,961,960,961,961,960,960,961,961,960,961,961,960,958,959,959,958,958,958,958,959,959,958,959,959,960,960,959,959,960,960,960,960,960,960,961,960,960,961,961,961,961,961,961,962,961,962,961,961,961,961,962,961,962,962,962,961,962,961,962,960,962,962,963,962,962,961,963,963,963,964,964,964,965,965,965,965,964,965,965,964,965,965,964,966,965,965,964,965,966,966,966,965,966,966,966,966,966,966,967,966,966,967,967,967,967,967,968
Biomass,267,266,264,263,262,261,262,263,262,264,263,263,263,264,264,264,263,261,262,261,264,264,264,263,266,265,265,265,264,262,263,263,262,263,265,267,268,268,267,267,267,268,267,266,268,269,268,269,269,268,270,270,272,271,270,270,270,270,271,273,272,272,275,276,277,275,273,272,274,274,273,275,276,275,276,275,277,278,277,274,273,276,276,275,275,277,276,277,277,276,275,274,275,277,277,277,277,275,274,274,274,275,274,276,276,276,276,276,277,278,276,274,274,274,271,271,270,272,272,270,267,266,268,268,269,271,272,271,272,273,272,268,268,267,268,269,270,271,269,270,269,267,264,264,265,266,270,267,265,264,263,263,264,267,268,267,264,264,263,262,264,269,269,268,269,271,272,271,270,267,264,265,266,268,268,270,271,268,268,268,268,270,272,272,273,273,272,272,270,271,272,274,274,274,273,276,276,277,278,276,274,273,272,272,273,274,275,274,274,274,275,275,276,277,279,278,279,279,278,278,278,280,280,279,279,282,281,280,279,281,279,280,279,279,279,277,279,278,280,279,279,280,280,280,280,279,279,279,280,279,280,280,281,282,282,283,283,281,280,280,280,280,280,278,279,278,279,280,279,281,280,279,279,280,280,279,280,279,279,277,276,276,276,277,278,279,280,280
Biogas,202,203,203,204,204,205,205,205,207,206,206,206,207,207,207,207,207,207,208,208,208,207,207,207,206,207,207,207,207,207,207,207,207,207,207,207,206,207,206,207,207,206,206,206,206,205,203,203,202,202,202,202,202,201,202,202,200,199,199,199,199,199,199,199,199,199,199,200,199,199,199,199,200,199,199,199,199,199,199,199,199,200,200,199,199,199,199,199,199,198,198,199,200,199,199,199,198,198,198,198,197,198,198,198,198,197,198,198,200,197,197,197,197,197,197,198,198,197,197,197,198,197,197,197,198,207,208,210,211,211,212,211,211,211,212,212,212,211,212,212,211,211,211,211,211,211,212,212,212,212,213,213,212,212,211,212,212,211,212,213,214,214,214,214,214,214,213,212,213,213,213,213,213,213,213,213,213,213,213,213,213,214,213,214,214,215,215,213,214,215,215,214,214,214,212,212,212,213,212,213,213,213,213,213,213,214,213,214,213,214,214,213,214,214,214,214,215,215,217,216,215,216,216,216,210,205,205,206,205,205,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206,205,206,206,206,206,205,206,206,209,213,216,216,216,216,217,216,217,216,216,216,216,217,216,216,217,216,216,216,216,216,216,217,217,217,216,217,217,216
Small hydro,457,462,480,495,498,500,500,500,500,501,500,498,499,499,499,497,497,497,496,496,498,497,499,496,497,498,499,498,499,499,499,499,499,499,499,499,499,500,499,499,500,500,500,500,500,499,501,500,499,499,497,497,498,497,498,498,498,498,497,498,497,474,456,455,456,456,456,456,456,456,455,455,454,454,456,460,458,459,459,458,458,459,458,461,463,463,465,465,465,465,465,465,460,460,461,461,461,462,462,462,463,461,463,464,464,465,465,465,463,463,464,465,465,465,465,465,464,465,464,464,464,464,463,463,463,463,462,462,461,462,461,461,461,461,460,461,461,461,461,461,462,462,462,463,464,463,463,463,463,463,463,463,462,462,462,463,463,463,462,463,461,464,463,463,462,463,463,462,462,463,463,461,461,461,462,462,462,460,461,461,460,461,462,463,462,462,461,461,462,463,463,463,463,462,460,461,462,462,463,464,464,464,463,463,464,465,466,464,463,463,464,464,464,464,465,465,466,465,465,464,464,463,463,464,464,464,468,467,468,470,483,488,490,491,491,493,491,492,493,492,492,496,499,499,499,500,500,500,499,500,499,499,498,498,498,497,498,498,494,497,497,494,496,496,495,484,466,465,467,467,467,467,467,466,466,466,467,467,468,468,467,467,467,467,467,467,467,464
Batteries,0,2,22,42,10,-1,-15,-10,2,16,-3,6,37,25,17,21,21,18,3,-22,-25,1,7,11,10,7,20,24,26,9,11,-9,-6,5,5,1,5,1,0,1,1,12,-4,4,0,0,0,0,0,0,17,38,3,-3,-12,-15,-19,-6,5,5,3,23,9,0,-2,1,0,5,-6,-1,6,0,1,0,-1,0,-1,-1,-4,-30,-30,-30,-44,-47,-23,52,58,44,28,-1,-52,-92,-111,-83,-35,-25,-17,12,30,8,24,14,33,18,18,3,-3,-33,-32,-45,-3,1,3,2,5,12,9,5,-3,-7,-2,0,0,-9,-10,1,0,28,7,-2,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-33,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,-36,-18,0,0,0,0,14,0,0,0,-1,-3,-47,-16,-11,-25,-2,-1,-5,-61,-77,-58,-69,-36,-11,-13,0,0,0,0,0,31,31,30,-77,-111,-111,-28,-6,10,94,78,9,-22,-99,-47,63,26,-39,-111,-111,-5,0,2,21,67,81,75,45,-2,-7,-2,-24,-28,-33,-1,33,57,1,-2,-1,-17,-19,-34,-43,-43,-35,-14,5,-2,-21,-36,-38,-26,-24,-24,-23,-23,-23,-23,-23,-23,-23,-23,-22,25,16,-22,-22,-23,-22,-1,-1,-2,-2,-1,-2,-3,-8,-5,-9,-9,-9,-9,-10,-13,-9,-12,-3,30,42,32,42,42,42,42,31,29,35,37
