Renewables 04/29/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,73,133,241,458,637,849,1079,1402,1605,1960,2221,2465,2688,2894,3147,3468,3587,3825,4049,4465,4586,4762,4833,5049,5318,5564,5890,6175,6275,6053,6102,6159,6347,6832,6979,7253,7450,7468,7478,7330,7463,7489,7381,7373,7608,7729,7740,7766,7640,7505,7627,7579,7419,7418,7713,7831,7963,8137,8396,8537,8565,8588,8518,8584,8515,8436,8079,8088,8426,8560,8494,8349,8334,8043,7923,7831,7876,7944,7700,7555,7525,7532,7310,7194,7068,7080,7115,7163,7212,7124,6844,6853,6886,6918,6991,6936,7022,7027,7022,6855,6700,6573,6565,6483,6328,6170,6353,6322,6324,6269,6127,6457,6563,6484,6181,6120,6197,6064,5712,5520,5495,5655,5745,5894,6058,5852,5596,5392,5503,5530,5610,5462,5445,5360,5160,4869,4521,4065,3890,3744,3538,3319,2962,2632,2287,2089,1866,1587,1402,1212,1025,837,629,471,341,234,162,108,67,40,22,14,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,0,0
Wind,2686,2671,2679,2675,2633,2593,2572,2528,2542,2526,2547,2576,2582,2595,2613,2646,2634,2649,2611,2576,2622,2660,2704,2756,2782,2812,2835,2841,2804,2821,2891,2924,2953,2965,2977,2974,2994,3029,2979,2941,2954,2990,2971,2953,2929,2909,2962,3069,3183,3251,3302,3357,3404,3380,3328,3260,3238,3191,3107,3061,3034,2984,2962,3017,3114,3165,3246,3331,3362,3369,3314,3337,3380,3327,3302,3308,3323,3321,3316,3281,3244,3236,3271,3269,3226,3189,3145,3036,2948,2931,2917,2898,2908,2943,2981,3038,3057,3089,3110,3148,3213,3258,3291,3307,3299,3312,3353,3368,3422,3381,3367,3380,3446,3594,3645,3656,3695,3688,3683,3656,3614,3591,3607,3596,3592,3581,3546,3514,3423,3405,3404,3397,3356,3368,3362,3328,3334,3339,3353,3371,3335,3336,3265,3182,3134,3071,3055,3143,3233,3327,3364,3369,3385,3413,3399,3376,3348,3362,3390,3356,3372,3360,3321,3341,3380,3435,3542,3633,3678,3675,3674,3655,3612,3575,3530,3438,3423,3415,3347,3300,3294,3279,3221,3222,3283,3357,3373,3383,3361,3302,3230,3234,3244,3262,3248,3242,3290,3294,3291,3276,3265,3251,3198,3164,3134,3080,2991,2979,3026,3081,3105,3151,3182,3175,3158,3154,3194,3251,3311,3357,3404,3418,3490,3557,3637,3647,3608,3572,3578,3605,3617,3667,3744,3778,3832,3883,3925,3930,3914,3863,3815,3789,3769,3718,3737,3750,3761,3716,3682,3578,3511,3489,3499,3483,3460,3447,3424,3413,3382,3364,3334,3280,3210,3147,3115,3120,3139,3143,3230,3294,3317,3336,3458,3520,3586,3618,3632,3584,3423,3387,3362,3385,3363,3344,3320,3300,3361,3504
Geothermal,879,880,879,880,879,879,879,880,879,880,880,878,879,879,880,880,881,881,880,880,881,880,881,880,880,880,880,880,880,880,880,881,880,881,880,881,880,881,881,881,882,881,882,882,881,881,881,881,881,881,881,882,882,881,881,882,883,883,883,883,883,884,884,885,885,885,886,885,884,886,885,885,885,886,885,885,886,886,887,886,887,884,884,886,885,886,886,886,886,885,886,886,886,886,886,885,884,884,884,884,884,884,885,885,884,884,884,883,883,884,883,883,883,883,882,883,883,882,882,881,881,880,880,880,880,879,877,880,879,879,880,879,878,878,877,878,877,876,875,876,876,876,876,875,876,874,875,875,875,875,876,876,875,875,875,875,875,875,875,875,876,876,875,874,877,875,875,875,875,875,875,875,876,875,875,875,874,874,873,874,874,873,873,874,874,873,874,873,874,874,874,875,875,874,875,875,874,873,874,873,873,872,873,873,873,873,873,874,875,874,875,874,875,875,875,875,875,874,875,875,874,875,875,874,875,875,874,875,875,874,873,873,873,873,873,873,873,873,874,875,874,871,873,869,861,854,853,852,853,851,850,847,848,848,847,838,835,833,829,829,827,827,828,828,827,829,830,830,830,830,831,830,829,830,830,831,831,830,831,830,830,831,830,829,831,830,831,830
Biomass,300,301,303,301,304,303,305,304,304,303,303,306,304,304,304,304,305,303,304,303,304,303,303,303,304,304,304,303,300,303,301,304,305,303,303,303,304,303,305,304,304,304,305,304,304,304,304,304,302,304,304,305,307,303,305,301,304,303,303,302,300,300,300,300,299,299,300,301,296,301,298,299,298,296,298,299,297,296,298,296,294,295,297,294,293,295,297,297,299,297,298,299,300,299,300,299,298,299,299,299,300,300,300,299,301,299,301,300,301,297,295,295,295,296,294,293,294,292,291,288,289,291,292,295,294,292,288,289,291,295,297,297,298,301,300,299,294,289,292,291,292,294,297,296,300,299,302,302,300,302,302,303,303,303,300,292,273,256,255,256,255,256,256,264,254,253,254,254,255,254,254,254,255,254,255,255,255,255,255,255,255,254,254,254,254,253,251,252,256,257,263,270,272,273,274,270,268,266,268,240,227,233,237,245,239,240,248,253,251,253,258,262,264,265,269,270,269,269,270,268,267,267,269,269,269,270,269,269,270,271,271,276,280,281,282,286,291,295,295,297,298,296,298,300,299,300,300,303,302,303,305,309,311,312,313,315,313,310,312,313,313,313,312,312,313,311,312,312,311,310,310,310,308,308,307,308,308,307,309,310,308,310,313,307,306,309,304,306
Biogas,214,212,212,212,211,212,212,212,212,212,211,211,211,211,211,211,211,211,211,211,211,212,212,211,212,211,211,211,211,211,211,211,211,212,211,211,211,211,212,211,212,212,212,212,212,212,212,211,212,212,211,211,212,212,212,212,212,212,212,212,212,211,211,211,211,212,211,212,211,211,205,200,200,201,200,200,202,202,201,202,201,201,202,201,201,201,201,201,201,202,196,197,195,193,193,193,192,191,191,192,191,191,192,192,192,191,190,189,189,189,190,189,191,189,189,188,189,188,188,188,187,187,187,186,185,186,186,184,185,184,184,184,184,185,184,184,184,185,185,185,186,186,186,185,186,188,188,188,188,188,187,185,185,184,183,182,183,183,184,186,189,189,189,190,189,190,191,192,193,195,192,192,190,190,192,192,194,192,194,193,194,197,196,197,195,195,196,195,195,195,196,195,194,195,195,195,195,196,195,196,196,197,194,193,193,193,193,194,194,194,193,193,193,193,194,194,194,195,194,194,194,194,193,194,195,195,194,194,195,196,198,196,195,194,197,196,194,195,194,195,195,195,195,196,196,196,196,196,196,196,196,196,197,195,193,193,192,193,193,192,193,193,192,193,193,193,192,193,193,193,193,192,194,194,192,192,192,193,194,193,193,195,196,196,196,195,196,196
Small hydro,484,472,450,450,452,452,453,452,452,451,449,449,448,449,449,449,449,448,448,448,448,448,448,447,447,447,447,447,447,447,447,447,447,447,446,447,447,447,447,447,448,448,448,448,448,449,449,450,450,457,460,460,460,460,460,460,461,460,459,460,460,458,459,459,459,458,459,456,454,454,454,454,446,437,418,419,419,419,420,420,421,422,399,382,382,378,379,382,382,381,382,382,382,381,380,379,379,379,379,379,370,363,356,385,400,400,379,379,378,378,379,381,388,385,382,389,383,388,389,389,389,390,389,394,391,413,429,432,431,431,432,432,432,432,431,432,431,429,428,428,427,428,428,428,429,430,431,430,431,431,431,432,433,434,434,434,434,434,434,421,421,414,413,414,413,427,433,432,432,432,431,430,432,430,429,430,429,430,430,432,430,431,433,433,432,432,434,433,434,434,433,419,413,422,401,403,403,404,403,401,400,400,399,398,400,406,428,439,439,440,440,441,442,442,443,444,444,444,443,443,443,444,444,443,444,442,443,445,474,484,483,482,483,482,481,481,481,481,480,481,480,479,479,480,479,479,480,479,480,480,480,481,481,481,481,481,481,480,480,480,480,481,480,478,475,471,455,424,423,421,421,420,419,419,419,418,418,417,420,420,420,420,419,421,421,421,422,422
Batteries,-41,-27,-84,-57,-18,9,33,3,-30,-81,-82,-62,-1,-1,-1,-9,-8,0,0,0,0,0,0,0,-4,-22,-35,-1,7,92,30,-4,-2,-7,-1,-1,-1,-28,-1,-1,0,0,0,0,0,0,-1,-44,-93,-75,-43,-1,31,24,108,55,13,4,34,11,-78,-101,-75,-63,-82,-89,-96,-59,-13,-3,-3,-3,-12,41,53,35,52,53,67,92,91,71,52,35,-9,-42,-30,-72,-54,-28,21,16,10,15,6,-49,-32,-9,21,69,-1,-67,-83,-26,0,9,99,68,1,9,-62,-97,-75,-62,-1,31,62,-12,-69,0,-2,-25,-72,-11,0,10,89,7,-10,77,96,13,-45,-57,-53,-69,-67,-15,-32,-39,-34,-33,-34,76,48,-42,-52,-16,-36,-27,-12,-12,24,-18,-15,5,27,-5,-16,55,75,47,15,-17,-53,-76,-82,-50,-70,-74,-58,-54,-18,-21,-36,-32,25,56,47,75,63,27,8,-48,-51,-22,-6,-5,-75,-92,-22,-5,-58,-61,-43,28,91,23,-73,-75,-43,-59,-6,60,62,-72,-101,-48,0,-1,-55,-55,-8,33,104,69,8,-1,-2,-15,0,0,-1,-50,-10,-2,0,8,7,38,38,32,-1,-12,-11,-1,30,38,34,35,33,-3,-14,-16,-16,-11,-10,-3,-4,-4,-9,-12,-13,57,76,21,16,2,16,-18,-47,-26,10,14,25,83,14,5,-2,-29,-93,-101,-101,-93,-57,-26,-14,-2,-5,-8,-5,-43,-43,9,67,80,25,-66
