Renewables 04/14/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,49,131,248,389,560,793,1091,1367,1715,2009,2374,2749,3235,3789,4201,4420,4628,4797,4995,5522,6014,6080,6336,6540,6519,6529,6534,6432,6448,6653,6886,7371,7881,7624,7365,7286,7235,7241,7201,7113,6934,7050,6993,7037,7109,7184,7167,7179,7149,7142,7202,7193,7128,7253,7390,7518,7617,7721,7699,7656,7479,7390,7306,7206,7133,7151,7245,7309,7403,7444,7450,7491,7491,7490,7464,7451,7395,7298,7166,6988,6957,6925,6940,7006,7028,7015,7082,7144,6971,7008,7074,7051,6942,6900,6904,7023,7069,7272,7476,7296,7278,7194,7098,6992,7042,7148,7153,7159,7239,7575,7678,7543,7609,7651,7685,7498,7584,7422,7150,7289,7417,7571,7747,7804,7953,7959,7708,6954,6483,6450,6111,6180,6223,6068,5684,5322,5143,4772,4331,3981,3677,3386,3078,2781,2413,2089,1722,1357,1079,831,590,416,281,178,84,35,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0
Wind,3090,3110,3119,3124,3104,3090,3076,3083,3064,3042,3009,2957,2927,2885,2859,2841,2816,2765,2726,2717,2720,2734,2768,2798,2838,2901,2952,3014,3066,3095,3159,3194,3275,3339,3359,3409,3436,3409,3367,3347,3356,3337,3321,3268,3214,3193,3186,3164,3152,3154,3152,3142,3103,3032,3005,2980,2970,2992,3044,3083,3098,3095,3100,3096,3052,3067,3056,3045,3019,2966,2892,2821,2804,2828,2878,2919,2892,2877,2844,2790,2711,2623,2523,2433,2383,2347,2331,2285,2241,2209,2183,2141,2060,1977,1898,1783,1731,1697,1641,1613,1605,1618,1649,1693,1709,1731,1750,1778,1825,1860,1921,1971,2003,2038,2069,2113,2150,2186,2214,2213,2208,2270,2319,2328,2305,2291,2260,2219,2193,2166,2154,2147,2145,2160,2182,2228,2251,2301,2344,2412,2459,2536,2537,2574,2635,2642,2692,2738,2772,2800,2813,2888,2986,3079,3162,3226,3301,3402,3477,3513,3556,3571,3626,3635,3617,3593,3628,3613,3609,3635,3693,3724,3708,3686,3668,3696,3729,3784,3851,3878,3887,3882,3853,3823,3815,3839,3793,3817,3804,3816,3812,3799,3752,3715,3737,3731,3757,3771,3828,3824,3842,3835,3834,3844,3805,3784,3744,3715,3690,3704,3763,3806,3839,3851,3836,3829,3841,3829,3806,3771,3752,3781,3777,3775,3729,3689,3670,3664,3656,3689,3717,3714,3680,3641,3613,3574,3555,3527,3513,3482,3431,3410,3363,3341,3289,3232,3216,3211,3196,3177,3163,3167,3151,3109,3087,3082,3081,3098,3103,3094,3045,3038,3047,3086,3096,3137,3149,3150,3152,3136,3115,3124,3105,3093,3072,3080,3146,3191,3221,3267,3297,3317,3308,3317,3350,3377,3405,3413
Geothermal,968,969,969,969,969,969,969,970,969,969,970,970,968,969,970,970,971,970,970,971,970,970,970,970,971,971,971,971,971,970,971,971,971,972,971,972,972,972,972,972,973,972,972,972,973,972,972,973,972,972,971,973,972,971,972,971,973,972,973,973,973,972,973,972,974,974,972,972,973,974,973,973,972,974,974,974,975,974,973,973,973,974,974,972,972,973,972,972,973,972,972,971,972,971,970,970,969,970,969,968,968,967,966,966,966,966,966,966,966,965,966,964,964,965,964,964,964,965,964,964,963,964,964,964,964,964,964,964,963,964,963,963,963,963,963,964,962,962,963,963,962,963,963,962,963,962,963,962,964,963,964,963,963,964,963,964,964,964,964,963,963,963,963,963,962,962,963,963,962,963,963,962,962,962,963,963,963,963,963,962,962,963,963,963,963,964,964,963,964,964,962,963,964,963,963,963,964,964,963,964,960,965,964,964,964,963,965,964,965,964,965,966,965,965,966,964,966,966,967,966,966,967,968,969,969,969,968,968,968,968,968,968,969,969,969,968,968,967,968,968,966,968,968,967,968,969,969,969,969,968,969,970,970,970,970,970,970,971,972,972,971,971,971,973,972,972,971,972,972,972,972,971,972,972,972,972,973,973,972,972,973,973,971,973,973,973,973,973
Biomass,280,279,281,280,280,280,279,279,280,278,277,279,280,280,278,279,278,278,278,278,279,280,281,279,278,277,278,276,275,277,278,278,276,277,277,278,279,281,280,279,279,279,275,278,280,281,281,280,279,280,280,278,278,278,278,278,276,275,277,279,280,281,280,281,278,277,275,275,276,277,280,281,282,282,281,280,280,280,281,281,282,280,279,279,281,281,280,279,279,279,279,280,277,279,279,281,280,281,282,281,280,280,281,281,279,280,282,281,282,283,279,280,278,274,276,274,270,270,267,267,270,269,265,266,265,266,267,270,270,271,272,271,272,269,267,265,266,267,268,267,266,265,266,266,265,261,261,262,264,265,265,266,268,267,267,266,265,266,266,263,264,265,262,262,263,264,264,266,264,262,262,265,267,271,270,270,268,265,265,268,270,271,271,271,272,272,274,273,272,272,272,273,274,276,276,276,278,277,277,277,277,276,275,276,277,276,275,275,276,278,278,277,276,276,276,275,275,275,277,276,276,276,274,275,275,275,274,275,275,276,276,275,278,278,279,279,280,280,280,281,280,280,279,278,280,281,285,284,279,280,283,283,284,285,287,287,288,288,288,289,288,288,288,289,287,289,289,286,285,285,286,287,285,287,287,289,286,287,288,286,286,286,288,287,286,285,285,285
Biogas,216,214,214,215,214,213,214,214,214,214,214,214,214,214,214,214,213,213,214,214,214,214,213,214,214,212,212,214,213,213,213,214,213,213,213,213,214,214,214,214,214,214,214,214,214,213,214,214,213,214,213,214,214,214,214,213,213,213,213,214,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,212,213,213,213,213,214,213,213,213,213,213,213,213,212,212,212,213,212,212,212,213,213,213,213,213,213,212,212,213,212,212,212,213,213,214,212,212,212,212,212,212,212,212,211,212,213,212,212,211,212,211,213,212,211,212,211,212,212,212,212,212,212,211,212,212,213,212,211,212,214,211,212,211,211,211,211,211,212,211,212,211,212,211,210,211,211,210,212,210,211,211,211,211,211,211,211,212,211,208,208,208,209,209,211,212,211,211,211,211,208,209,209,209,209,208,208,208,208,210,212,212,212,212,213,213,212,212,212,212,212,212,212,212,213,213,214,213,213,213,213,213,213,213,214,213,214,213,213,215,213,213,213,213,213,214,214,214,214,214,214,214,214,213,215,214,214,214,216,214,214,214,214,214,214,214,214,214,214,215,215,214,214,214,214,214,213,214,214,214,215,213,214,213,214,214,214,214,214,215,214,214,214,213,213,214,214,215,214,215,214,214,214,214
Small hydro,459,443,446,445,444,443,443,441,443,442,444,442,442,441,441,442,441,442,443,443,444,445,444,444,443,444,445,446,446,446,445,445,445,444,444,443,443,442,442,442,442,441,443,442,441,442,442,441,442,442,443,441,443,443,444,444,445,445,444,443,443,447,459,458,459,460,459,461,461,461,461,461,461,461,465,467,465,466,468,467,466,465,466,466,466,465,465,465,464,465,464,464,464,464,463,464,465,461,450,450,451,449,449,449,449,449,449,449,448,449,449,448,450,450,450,450,449,449,449,449,448,449,450,450,447,447,447,447,447,447,447,446,447,446,445,444,445,445,444,443,442,443,445,443,446,443,443,444,444,444,445,445,446,445,445,444,445,445,445,445,445,444,444,445,446,445,445,446,445,445,444,445,444,444,444,444,444,443,442,443,443,444,443,443,443,443,444,444,445,445,446,446,445,445,446,446,446,447,447,447,447,446,446,440,398,394,395,395,392,391,394,393,392,394,394,392,394,440,485,545,549,549,549,550,550,551,552,552,589,603,603,601,602,602,602,602,602,600,600,600,601,601,600,599,601,598,599,599,599,599,599,599,599,598,599,599,599,597,596,598,599,599,599,599,598,596,595,595,594,594,594,593,593,593,592,592,592,592,593,592,592,592,593,590,591,592,592,590
Batteries,32,35,30,10,-1,-1,9,-1,-2,1,2,25,44,52,44,33,16,46,32,2,-1,-1,-1,-1,-6,-11,0,36,46,16,-15,-14,-15,-15,-15,-17,-15,1,11,21,-4,11,16,23,50,32,6,0,0,0,0,0,0,0,0,7,3,0,-1,-11,-9,-2,-34,-19,-1,5,0,12,0,13,46,63,24,3,-1,1,-1,5,13,27,63,44,14,12,5,1,20,-1,-7,-52,-101,-107,-105,-50,-45,-44,2,0,0,25,0,-43,-36,-7,-27,-56,-57,-80,-92,-108,-113,-70,60,14,0,-76,-64,-113,1,-35,-37,2,9,6,41,66,65,76,38,18,35,6,9,19,20,20,20,20,17,13,13,13,45,19,8,1,0,1,1,16,12,7,1,1,1,-1,11,43,41,31,31,31,31,36,36,28,61,47,29,8,11,16,43,29,41,12,-1,-1,8,29,30,24,25,-12,14,7,5,-12,-35,-2,8,-5,-5,-23,-8,22,12,10,4,4,14,-1,7,-29,-22,-6,-14,-8,3,2,15,8,22,16,-22,-9,-6,6,-1,-3,-7,-8,-7,-3,1,9,0,0,0,-10,-7,-55,-57,-31,-12,-27,-51,-55,-56,-53,-44,-35,-39,-39,-29,-7,-11,-9,-3,13,47,17,2,41,29,24,27,19,-23,-27,24,30,29,9,7,9,-6,-2,0,-2,-13,1,0,-16,-39,-11,-23,-12,22,0,-2,-9,-21,0,0,0,-9,-17
