Renewables 04/04/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,67,148,231,306,440,517,691,961,1237,1614,1845,2141,2071,2284,2332,2143,2770,2997,2887,3633,3909,3738,3902,3540,3380,3437,3775,4325,4662,4857,4591,5027,5354,5495,5895,6099,6269,5929,5958,6293,6606,6553,6158,5995,6467,6865,6907,6816,6783,6793,7125,7336,7244,7193,7336,7420,7580,7824,7736,7882,7957,7919,8093,8255,8378,8552,8554,8286,8395,8549,8397,8284,8401,8372,8761,8617,8289,8000,7703,7760,8062,8216,8208,7993,8028,8144,8319,8537,8525,8121,8181,8161,8180,8239,8172,7992,7813,7745,7729,7649,7365,6983,6645,6522,6482,6320,6097,6050,6240,6151,5954,5564,5016,4601,4543,4356,4048,3900,3916,3959,4261,4416,4206,3796,3409,3266,3303,3251,3104,2818,2758,2677,2451,2224,2082,1880,1639,1316,1007,801,664,564,455,377,303,229,177,134,85,55,28,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0
Wind,1605,1583,1564,1557,1557,1545,1524,1485,1452,1437,1444,1438,1415,1356,1307,1281,1274,1270,1268,1287,1310,1316,1301,1300,1292,1273,1215,1132,1050,979,924,899,895,922,946,958,973,976,974,963,961,961,939,960,1000,1037,1086,1135,1167,1202,1203,1189,1172,1147,1113,1092,1071,1056,1016,1002,1016,1029,1053,1058,1058,1046,1051,1068,1063,1060,1099,1122,1159,1178,1206,1249,1260,1240,1232,1230,1234,1266,1295,1308,1303,1312,1318,1322,1330,1322,1331,1345,1355,1343,1370,1397,1426,1440,1491,1500,1508,1528,1536,1533,1533,1525,1518,1503,1471,1481,1485,1489,1480,1476,1463,1443,1462,1445,1431,1445,1450,1422,1399,1414,1395,1364,1337,1296,1239,1219,1201,1203,1168,1165,1160,1143,1145,1151,1141,1142,1183,1209,1227,1221,1227,1270,1275,1264,1274,1288,1319,1341,1332,1322,1343,1319,1270,1268,1249,1270,1332,1356,1431,1453,1471,1455,1459,1459,1454,1468,1460,1475,1480,1488,1513,1507,1490,1476,1485,1504,1523,1487,1479,1434,1426,1439,1446,1470,1507,1567,1618,1653,1723,1707,1726,1777,1796,1824,1847,1840,1862,1895,1918,1933,1946,1978,1989,2004,2054,2106,2124,2167,2191,2177,2168,2160,2142,2096,2045,1983,1931,1883,1837,1836,1831,1873,1913,1927,1915,1864,1835,1795,1753,1736,1721,1692,1653,1633,1610,1575,1569,1558,1541,1531,1546,1564,1588,1600,1619,1625,1628,1639,1640,1661,1694,1730,1753,1768,1795,1816,1847,1859,1850,1855,1868,1851,1850,1857,1889,1912,1914,1924,1950,1963,1958,1964,1961,1963,1980,1988,1978,1972,1997,2031,2055,2063,2069,2056
Geothermal,815,816,814,815,817,816,816,817,818,818,818,818,818,818,818,818,818,818,817,818,819,818,818,818,818,818,817,818,815,815,810,812,812,812,811,811,812,811,812,812,811,811,811,811,811,811,812,812,812,813,801,800,799,799,798,798,795,795,795,794,795,793,794,793,794,794,794,793,792,794,793,757,738,739,737,741,746,746,746,748,747,746,747,746,747,747,746,746,746,746,746,747,755,756,757,763,768,768,768,768,768,769,772,783,787,788,793,797,797,796,795,796,797,796,796,797,794,796,797,796,796,796,796,796,796,796,795,795,794,795,795,795,794,795,796,795,795,795,796,796,797,797,796,797,797,797,796,797,797,800,800,801,802,802,801,801,802,801,801,802,801,801,800,800,801,801,802,802,803,802,802,805,807,809,809,810,811,810,810,809,808,809,810,811,812,813,814,814,814,818,822,823,824,824,823,820,825,826,825,826,827,826,826,827,827,827,828,827,828,828,827,828,828,828,827,827,828,827,827,827,827,828,828,827,827,828,828,828,827,827,827,826,826,826,826,826,826,826,827,825,826,825,826,827,828,828,828,828,829,829,829,829,828,830,830,829,830,828,829,829,828,829,828,829,829,829,829,829,829,830,829,829,830,830,830,830,830,829,830,830,829,829,830,829,829,829,829,829
Biomass,288,283,286,288,286,284,285,286,287,285,288,287,286,289,285,284,284,284,289,293,290,286,288,290,293,293,289,289,290,293,293,294,294,293,293,293,293,293,293,289,286,288,293,296,297,297,302,302,302,303,300,299,299,299,298,299,299,298,299,299,298,297,292,292,294,296,297,292,291,295,293,292,293,291,294,294,291,285,285,287,288,287,288,291,289,289,283,280,280,278,278,278,276,277,277,274,273,274,275,279,278,278,278,277,278,277,278,278,275,276,275,273,268,269,269,268,264,266,269,268,268,267,259,262,265,264,261,262,261,264,269,262,263,264,263,261,260,259,258,257,258,259,261,264,264,265,266,263,260,259,259,262,260,259,255,256,255,253,253,260,262,264,259,258,262,261,264,269,269,270,269,270,271,276,276,277,277,277,279,284,284,285,289,288,286,286,289,289,291,294,293,294,293,294,295,296,297,298,297,299,298,298,296,297,296,295,296,296,294,296,295,293,294,291,293,290,291,291,292,291,291,292,292,294,295,294,292,291,290,291,293,294,293,296,294,293,295,293,294,294,293,292,291,292,294,292,291,294,293,292,291,290,292,295,294,293,294,289,288,291,293,294,295,295,297,297,296,299,297,296,296,297,297,296,297,297,295,295,295,293,296,295,295,294,294,294,292,293
Biogas,211,211,211,211,211,212,212,212,212,212,212,212,212,212,212,212,213,212,213,213,213,213,214,213,214,213,213,213,214,213,213,213,213,213,213,213,213,213,214,214,213,214,214,213,213,213,213,213,213,213,212,212,212,212,212,212,212,212,212,212,211,211,211,211,211,211,211,211,211,210,210,210,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,209,209,209,209,210,210,210,209,210,209,206,206,206,207,207,207,207,207,207,206,207,207,206,207,207,210,211,212,211,211,211,212,211,212,213,212,212,212,211,212,212,211,211,211,212,212,212,213,213,213,213,213,213,213,213,213,213,212,213,213,213,212,211,211,212,211,211,212,211,211,211,211,211,212,211,212,211,211,211,212,211,212,213,211,211,212,212,211,212,212,212,213,212,212,212,212,213,212,212,212,213,212,212,212,212,212,212,212,213,211,211,211,211,213,211,211,211,211,212,211,211,212,212,212,211,211,212,212,211,211,212,212,211,212,211,212,212,211,211,211,211,211,212,211,211,212,211,212,212,212,212,211,212,212,212,212,212,212,211,211,211,211,211,211,211,211,211,211,211,210,210,210,210,210,210,211
Small hydro,445,452,453,448,447,449,450,450,451,451,451,453,457,458,458,458,462,462,459,461,461,460,461,460,460,459,459,459,461,460,463,460,459,460,461,461,461,459,460,460,462,461,463,462,463,463,461,464,463,462,464,464,462,463,464,463,463,462,464,462,522,517,518,531,537,539,540,539,540,538,540,539,533,518,517,518,518,518,519,515,507,507,507,508,506,505,505,510,511,511,509,510,510,509,510,510,509,512,523,519,520,519,519,520,521,519,523,520,523,518,520,519,520,521,522,517,508,509,523,517,501,498,497,491,488,487,486,476,470,472,414,395,394,396,397,397,398,395,395,385,396,393,394,395,397,398,398,398,400,399,399,400,400,400,401,401,400,399,392,385,386,396,400,398,396,397,398,398,398,398,397,394,400,397,397,396,394,399,398,397,400,404,406,407,408,408,407,408,408,409,409,409,425,470,470,471,471,471,471,471,471,470,469,470,472,471,471,472,471,470,476,477,477,477,477,477,478,477,476,477,478,480,480,480,479,480,480,480,483,491,497,504,506,505,507,507,506,506,506,505,501,510,496,497,498,499,500,500,499,500,500,501,501,501,501,502,502,502,501,500,499,500,499,499,498,489,484,485,485,485,485,484,484,484,483,483,484,483,483,482,481,483,482,481,481,481,481,480
Batteries,17,-11,-2,12,-27,-8,-22,-22,-5,-3,-11,-11,-7,29,2,-19,-30,-53,-38,-20,-17,-24,-34,-11,-3,4,87,54,7,6,16,-9,-3,-29,-33,-33,-44,-40,-32,-22,-19,-19,-10,-8,-8,-35,-29,-15,-15,-4,0,0,0,13,44,48,43,19,0,-8,-37,-8,0,0,0,-1,-1,-1,-1,5,-15,-10,-34,-15,-18,-61,-45,5,6,5,5,5,5,-5,1,-33,5,5,17,-36,-51,-32,-6,8,73,12,20,37,9,-74,-3,-66,-111,18,25,89,91,31,-110,-110,-108,-102,-38,-34,-80,-11,15,-14,-64,21,104,6,14,75,118,88,-23,22,104,84,61,-16,-88,-106,-43,76,64,0,-61,-86,-80,-89,-64,50,14,10,0,-9,-41,2,7,37,111,88,14,-16,-69,-86,76,95,36,41,-73,-100,-65,43,62,13,-96,-108,-99,-41,0,0,0,-1,-5,3,55,81,68,61,100,89,56,26,-59,-38,-2,-17,-98,-107,-110,-111,-39,0,0,22,93,19,-1,-2,-89,-113,-111,-80,-38,-76,15,42,65,80,44,47,63,101,54,5,6,66,54,48,9,0,14,3,0,-2,-46,-28,21,22,-16,-14,5,-35,-43,-40,-57,-43,-48,-51,-46,-1,17,3,2,34,2,2,25,49,15,37,32,2,1,-5,-20,-1,-3,-10,-19,-13,-23,-43,-28,-36,-50,-75,-73,-31,-31,-65,-47,-33,-12,-7,-8,-12,-8,-8,-8,-8,-9,-8,36,61
