Renewables 04/12/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,50,127,252,397,567,785,1063,1332,1619,1913,2221,2505,2863,3214,3569,3971,4360,4736,5120,5495,5932,6353,6745,7064,7215,7398,7479,7646,7862,8008,8109,8274,8405,8570,8725,8958,9100,9196,9293,9401,9505,9487,9493,9508,9557,9495,9432,9429,9495,9455,9496,9531,9695,9894,9867,9702,9700,9768,9912,9947,10077,10089,9997,10109,10138,10079,10101,10098,10033,9940,9807,9848,9802,9858,9893,9800,9705,9798,9904,9880,9909,9922,9820,9677,9599,9695,9826,9877,9958,10085,10130,10202,10177,10032,9922,9836,9761,9686,9700,9860,9824,9711,9660,9777,9792,9776,9571,9455,9501,9559,9514,9469,9411,9361,9267,9258,9192,9150,9145,8987,8959,8754,8668,8749,8658,8598,8551,8415,8164,7880,7600,7402,7147,6695,6187,5780,5261,4645,4353,4037,3602,3162,2651,2241,1865,1454,1099,832,598,421,300,209,115,63,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,0,0
Wind,4061,4092,4108,4079,4088,4116,4125,4166,4219,4275,4291,4308,4305,4334,4330,4299,4259,4258,4226,4195,4171,4142,4126,4094,4050,4039,4007,3948,3937,3931,3953,3987,3962,3942,3914,3845,3753,3708,3725,3751,3800,3826,3821,3864,3831,3812,3783,3803,3840,3857,3793,3752,3687,3666,3674,3648,3643,3625,3637,3656,3633,3521,3439,3370,3311,3288,3279,3349,3289,3246,3168,3068,2999,2911,2817,2729,2632,2618,2679,2708,2657,2601,2548,2521,2455,2363,2330,2277,2203,2150,2104,2122,2132,2141,2121,2108,2095,2074,2043,2021,2035,2033,2061,2049,2084,2118,2077,2038,1951,1909,1863,1803,1747,1729,1711,1748,1777,1758,1722,1676,1646,1615,1585,1605,1647,1653,1669,1672,1637,1566,1511,1489,1449,1427,1348,1299,1288,1269,1242,1237,1234,1221,1215,1225,1217,1196,1170,1129,1138,1147,1147,1205,1245,1296,1304,1308,1323,1321,1303,1317,1348,1355,1332,1302,1272,1256,1251,1264,1326,1340,1343,1365,1414,1446,1491,1554,1587,1647,1709,1753,1790,1835,1872,1913,1961,2011,2030,2038,2046,2074,2096,2098,2042,1995,1984,1997,1980,1976,1989,2007,2057,2069,2115,2174,2171,2166,2190,2250,2328,2379,2405,2414,2442,2462,2496,2568,2617,2652,2672,2696,2728,2781,2799,2829,2862,2922,3002,3095,3125,3119,3122,3112,3098,3062,3079,3077,3062,3063,3026,3002,2982,2982,3000,3026,3060,3048,3039,3021,2971,2963,2972,2979,2968,2972,2960,2971,2964,3004,3027,3021,2986,2945,2896,2882,2882,2864,2773,2660,2554,2476,2418,2361,2302,2251,2176,2069,1985,1882,1820,1769,1713,1644,1581,1547,1498,1436,1383,1344
Geothermal,971,972,972,972,973,972,971,971,971,971,972,971,972,971,971,971,972,971,972,971,972,971,971,971,973,972,972,972,972,973,974,974,973,973,973,972,973,973,972,974,973,973,974,974,973,974,973,974,974,974,973,973,973,973,973,974,974,974,974,974,974,972,975,974,974,974,973,974,974,974,974,975,974,975,973,973,974,973,973,974,973,973,974,974,973,974,974,974,974,974,973,973,973,973,973,973,972,973,973,973,973,973,974,973,971,973,972,973,974,973,973,971,972,972,972,971,971,973,972,971,971,970,971,970,971,972,970,970,970,970,970,971,970,969,968,969,969,969,968,969,969,969,968,969,968,968,969,968,966,968,968,968,968,968,968,969,969,969,968,968,967,967,968,968,967,968,968,968,967,967,967,968,968,966,967,966,968,966,966,966,964,967,965,967,966,967,967,967,966,966,966,966,965,965,966,966,965,965,966,965,965,963,966,964,965,964,964,964,965,964,965,964,963,965,964,965,965,964,965,962,964,964,964,964,964,965,964,964,963,963,964,964,964,964,964,965,967,966,965,966,965,965,965,965,967,965,964,965,966,965,965,966,966,965,966,966,966,965,966,966,966,966,966,964,967,967,966,966,967,968,968,968,969,968,968,969,968,968,967,969,970,970,970,970,971,969,969,971
Biomass,263,263,264,262,259,258,257,260,261,262,261,261,261,259,257,258,260,263,263,263,264,265,263,262,262,265,263,265,263,264,266,265,264,265,268,269,268,270,269,266,265,265,266,270,271,271,270,270,271,271,270,270,271,270,269,269,269,270,269,269,269,270,269,270,266,266,264,265,266,267,269,270,267,266,264,264,264,261,263,263,265,265,266,266,266,266,264,265,264,265,264,265,265,264,262,265,265,267,266,265,265,269,268,270,269,270,270,270,269,266,263,264,264,263,261,260,260,262,265,262,262,263,263,263,261,261,260,257,258,255,255,254,253,248,250,251,249,248,246,248,250,246,246,248,248,246,248,249,246,247,249,249,249,249,250,250,251,252,252,250,251,250,251,249,250,252,252,251,253,255,255,255,255,255,254,254,254,256,256,255,256,260,264,266,266,265,265,267,269,268,270,272,273,274,277,277,277,277,273,275,278,280,279,279,278,275,274,275,277,276,275,276,279,279,277,275,275,277,275,278,277,278,278,279,279,279,275,273,272,274,275,276,276,274,273,274,276,276,276,278,275,273,273,275,276,276,275,274,274,276,277,276,273,275,276,274,273,272,273,274,277,275,273,276,275,274,275,275,274,274,273,274,272,272,271,270,273,272,273,270,266,266,269,271,273,273,273,274
Biogas,221,224,226,225,226,225,225,225,225,225,225,226,226,226,226,225,226,226,224,223,223,225,225,226,225,226,225,225,225,226,225,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,227,226,226,226,226,226,226,226,226,226,226,226,226,226,226,225,223,222,224,223,222,224,225,225,224,223,222,222,222,223,222,220,218,218,221,222,223,223,222,222,223,223,224,223,223,207,205,207,209,212,214,213,213,209,208,209,209,210,207,207,206,204,207,205,197,196,186,187,191,194,194,194,194,194,194,194,195,194,195,195,195,195,194,194,195,195,195,195,194,196,195,195,194,194,194,194,193,194,194,193,192,191,191,191,191,191,191,193,194,194,194,194,194,194,193,194,194,194,194,194,195,194,194,194,193,192,191,191,191,192,191,192,191,191,190,191,192,195,194,194,194,195,194,194,194,194,194,193,194,194,194,194,194,194,194,194,194,194,194,194,194,194,195,194,194,195,194,194,194,196,197,197,197,197,197,198,198,198,199,200,199,199,200,200,200,199,200,200,200,200,200,200,199,199,199,200,200,199,200,199,199,199,200,200,199,200,199,185,179,178,181,187,190,192,194,194,195,197,198,198,198,199,200,200,199,200,200,200,199,200,200,200,199,199,200,200,200,200
Small hydro,440,441,441,438,440,439,437,440,442,441,441,441,443,443,443,443,444,444,443,443,443,443,443,443,444,443,444,444,444,443,441,441,441,441,441,441,442,442,441,443,441,442,443,440,440,440,441,443,440,441,442,442,442,443,444,443,444,444,443,444,443,443,444,444,445,444,444,444,444,444,444,444,443,444,444,441,442,440,440,440,441,439,439,441,439,439,440,440,440,440,440,440,439,439,437,437,438,441,443,444,443,443,442,442,441,441,442,441,442,441,445,444,444,444,445,442,444,441,442,443,443,444,447,446,448,447,447,447,446,447,448,447,447,446,445,447,446,446,444,443,443,444,443,443,443,445,447,448,447,448,449,449,449,450,448,449,450,451,451,451,451,451,450,450,450,449,448,448,447,447,446,445,448,445,449,448,450,448,448,446,444,446,449,447,447,448,448,450,450,452,448,448,449,454,456,458,457,459,462,462,448,461,461,468,467,468,468,467,468,478,485,474,466,464,469,469,523,556,565,571,573,574,575,575,576,577,576,577,577,577,575,575,561,574,575,560,574,575,575,576,571,574,572,576,577,573,574,575,575,574,574,574,573,569,570,572,572,570,571,571,570,570,570,570,569,556,536,521,519,519,519,518,519,518,518,518,518,518,489,460,457,454,455,455,454,456,456,456
Batteries,13,40,32,2,-4,-12,-7,-6,-12,-19,-8,-5,-1,-4,-11,6,0,0,0,-7,0,0,0,0,-3,-6,0,8,8,5,8,5,-2,-7,-6,-6,-3,0,-1,-10,-9,-17,-9,-26,-8,0,0,-5,-9,-4,0,2,12,0,0,0,0,0,0,-2,-5,6,45,94,103,72,5,-15,3,0,-11,38,23,22,29,39,33,12,-27,-26,0,18,15,-1,-8,45,53,0,64,27,10,25,-9,-40,-70,-87,-88,-84,-37,-50,-60,-102,-103,-90,-75,-96,-41,0,13,98,104,33,88,69,12,-11,-39,-18,0,-23,-12,12,57,34,0,0,13,9,4,12,0,0,1,-5,25,60,48,17,-33,-37,-1,-8,0,-35,-91,-30,0,-18,0,19,54,25,0,0,-14,-1,24,18,2,3,3,3,23,48,35,-7,-65,-69,-18,-21,-7,-9,0,40,60,22,15,-3,-53,-97,-94,-37,0,-7,1,1,53,51,9,-39,1,14,19,-1,0,12,40,46,0,16,-1,-1,33,-1,-46,-37,-55,-91,-43,-1,-1,-8,-15,0,12,31,2,60,0,-7,-2,45,67,60,27,3,-2,-2,2,22,2,-28,-39,-38,-29,-21,17,20,28,29,23,29,23,-29,-9,2,-23,-39,-32,-31,-27,-4,30,54,34,41,33,31,28,29,36,34,24,31,15,14,10,17,35,42,26,28,29,22,40,30,16,12,44,9,11,11,12,11,11,10,8,7
