Renewables 05/03/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,17,18,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,8,48,123,250,409,597,820,1078,1361,1673,2038,2411,2763,3157,3564,3918,4371,4860,5321,5662,6069,6423,6769,7079,7358,7652,7969,8247,8507,8672,8784,8951,9108,9246,9331,9346,9278,9530,9619,9683,9799,9903,9882,9764,9852,10098,10176,10173,10250,10258,10333,10351,10113,10360,10465,10447,10504,10538,10322,10149,9989,9835,9684,9815,9952,10065,10493,10509,10563,10876,10951,10811,10976,10466,10436,10399,10347,10402,10727,11013,11077,10977,10939,10863,10526,10099,10013,9982,9963,10010,10021,9967,9990,10093,10411,10664,10898,11045,11047,10986,11032,11049,10968,10867,10897,10878,10875,10806,10811,10750,10774,10729,10638,10525,10486,10436,10375,10337,10221,10137,10091,10005,9967,9895,9794,9723,9673,9597,9520,9432,9367,9263,9141,8997,8806,8605,8387,8149,7899,7611,7321,7011,6664,6285,5891,5463,5049,4596,4148,3709,3281,2868,2504,2125,1759,1391,1085,831,632,472,351,240,146,96,70,45,18,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
Wind,2600,2656,2710,2751,2744,2757,2785,2824,2844,2850,2852,2853,2824,2809,2808,2820,2803,2777,2768,2734,2694,2672,2683,2692,2692,2656,2609,2594,2580,2575,2547,2486,2439,2385,2365,2340,2290,2253,2247,2244,2222,2205,2179,2134,2068,2059,2062,2093,2161,2214,2256,2297,2320,2311,2298,2294,2291,2290,2264,2253,2231,2195,2176,2174,2174,2159,2161,2174,2153,2115,2068,2017,1996,1965,1916,1882,1842,1823,1812,1806,1798,1787,1768,1753,1728,1672,1607,1559,1502,1429,1356,1286,1202,1136,1086,1026,950,879,835,810,780,755,718,674,620,589,564,535,500,467,457,454,444,422,391,371,351,332,302,280,268,256,250,247,224,211,201,178,179,153,138,123,127,112,103,85,73,67,70,64,59,61,62,61,58,55,68,75,106,145,151,140,142,134,131,137,145,152,165,159,170,197,202,224,225,236,251,264,259,252,284,333,343,360,411,444,476,489,539,551,581,626,700,781,834,915,1023,1122,1175,1235,1317,1383,1411,1487,1528,1624,1695,1752,1787,1860,1925,1953,1945,1967,2033,2092,2152,2177,2178,2189,2222,2286,2354,2382,2410,2424,2424,2401,2399,2415,2412,2410,2440,2445,2431,2435,2430,2445,2457,2472,2474,2493,2491,2499,2492,2497,2529,2544,2552,2587,2622,2647,2727,2771,2803,2830,2845,2896,2947,2991,3029,3089,3134,3152,3171,3192,3203,3230,3253,3290,3325,3326,3331,3334,3350,3342,3310,3310,3301,3334,3351,3388,3406,3459,3501,3550,3562,3593,3608,3628,3651,3664,3689,3719,3775,3837,3904,3942
Geothermal,899,899,898,898,898,897,898,898,896,898,898,897,898,896,897,896,896,896,897,896,896,896,896,897,897,897,897,898,898,898,898,898,897,897,897,887,885,887,888,886,887,887,886,887,886,886,885,886,888,887,887,886,886,887,886,887,886,886,886,886,887,886,886,887,887,887,886,887,887,888,887,888,887,887,887,887,887,887,887,886,888,888,887,887,887,887,887,887,885,886,886,887,888,886,886,886,885,886,870,859,856,857,856,855,855,854,855,855,853,852,840,841,842,840,840,840,839,840,838,838,841,840,840,839,840,839,840,839,838,838,838,837,837,838,839,838,837,837,836,836,837,836,836,835,835,837,835,836,835,834,835,835,835,836,835,836,835,836,835,834,834,835,834,835,834,835,835,835,835,835,835,835,834,834,834,834,834,834,834,833,833,833,833,833,833,834,834,833,832,835,834,834,833,834,834,834,833,834,834,834,834,834,835,836,835,835,837,836,837,838,838,838,837,837,838,837,838,836,837,838,839,839,839,839,839,838,839,839,838,839,840,839,838,838,838,840,839,839,839,840,840,840,841,840,841,841,842,841,844,841,842,843,840,844,842,842,843,843,844,842,842,843,843,842,844,843,844,843,844,842,843,842,843,843,843,843,843,844,844,843,844,844,845,854,859,865,869,873
Biomass,365,369,373,370,371,371,371,372,372,372,375,375,372,374,372,375,376,376,376,373,378,376,377,380,383,383,383,377,375,377,376,381,381,376,376,377,379,379,380,379,380,381,379,381,383,381,378,378,379,382,380,381,382,381,382,381,378,378,377,377,377,380,378,377,382,381,382,380,377,378,380,381,377,379,379,380,378,378,375,378,379,377,377,374,375,376,378,376,373,376,382,383,383,380,380,382,381,382,384,386,383,382,384,385,385,384,381,382,384,385,384,379,378,378,377,377,382,380,379,375,373,370,368,371,373,374,375,376,376,376,377,378,373,371,371,374,375,373,373,373,375,373,372,375,369,369,372,373,377,378,375,375,373,376,377,380,380,379,382,380,381,381,380,382,383,384,383,382,379,382,381,381,383,381,378,378,382,380,382,381,380,380,380,381,386,385,385,387,388,387,388,387,383,386,387,389,391,390,390,389,386,389,389,393,383,384,388,389,390,392,392,391,392,392,390,390,388,390,389,390,390,392,392,391,388,388,387,386,386,388,386,385,387,388,389,388,388,387,385,384,382,382,381,383,384,383,382,384,384,383,375,376,374,380,379,380,383,379,380,379,380,380,382,383,384,380,382,381,381,379,378,378,377,377,380,382,382,379,382,381,381,384,384,383,382,382,382,384
Biogas,196,195,203,203,203,203,203,203,203,204,204,204,204,204,204,204,204,201,201,201,201,202,201,201,201,201,201,201,201,201,201,201,201,201,201,202,203,204,204,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,204,204,204,204,205,205,204,204,205,205,204,205,204,204,204,204,204,202,201,201,201,201,201,203,201,202,201,201,201,202,201,201,201,200,201,200,200,200,201,200,200,200,199,199,198,199,197,197,197,197,197,197,197,196,197,196,196,196,196,197,196,196,196,197,194,191,191,191,188,190,189,189,189,189,189,190,191,193,194,194,194,193,194,194,196,197,197,198,196,200,200,201,202,204,204,203,204,203,204,203,203,203,203,203,203,203,203,204,203,203,202,203,203,204,205,205,203,202,203,204,204,204,203,203,203,202,203,202,203,202,203,203,204,205,203,203,205,204,205,204,205,205,205,206,205,204,205,205,205,205,205,205,205,205,206,206,206,206,205,206,205,205,205,205,205,206,206,205,205,205,205,206,206,206,209,209,209,209,210,209,209,210,209,209,209,209,210,209,209,209,210,209,210,211,209,209,209,209,210,208,208,208,208,209,208,209,209,209,209,209,210,209,209,209,209,209,209,209,208,209,209,209,208,208,209,210,209,210,209,209,209,209,211
Small hydro,462,451,451,451,451,453,454,454,454,452,452,452,451,452,453,454,453,453,453,453,452,452,453,452,452,452,452,452,452,450,451,450,449,450,451,450,449,450,450,451,451,451,452,452,452,453,454,454,454,453,452,453,452,453,452,452,452,452,451,452,452,452,484,490,490,490,491,491,491,490,490,490,491,490,495,500,500,500,501,500,501,501,500,501,501,500,499,501,501,501,500,500,500,500,502,503,503,502,493,490,489,499,506,505,504,505,505,505,504,505,505,505,504,504,504,504,505,504,502,495,484,485,486,486,485,485,485,485,485,485,485,477,466,465,464,464,465,464,465,464,464,463,464,463,463,464,464,465,464,465,468,465,465,465,465,465,465,478,505,505,505,505,502,501,499,500,498,499,498,497,498,497,497,496,497,496,496,499,497,497,499,499,498,498,499,499,500,499,499,500,499,478,445,444,444,447,452,452,451,451,451,451,451,453,458,457,457,457,457,457,456,456,457,457,457,458,458,480,543,543,543,543,544,545,544,544,544,543,557,569,567,568,568,576,608,605,605,604,605,605,604,603,603,604,604,604,603,603,602,603,603,603,603,603,604,604,604,605,605,605,606,604,604,605,605,566,492,491,491,482,482,482,482,482,480,481,481,481,480,480,478,479,479,479,479,478,477,477
Batteries,-1,-2,1,-24,-43,7,15,3,-25,-54,-54,-22,-4,7,0,66,17,0,0,-9,0,0,0,0,-3,-2,-1,-1,-1,-11,-16,-13,-1,-1,-1,-1,-2,-1,2,-3,-2,-2,-2,-2,-2,-2,-2,-3,-40,-41,-34,-42,-7,-9,-8,2,1,0,0,26,-6,-3,-1,0,13,0,0,34,39,83,79,57,9,10,10,11,11,0,-2,-11,-25,-51,-2,-19,-60,-27,-26,-15,-22,-26,-22,24,33,30,30,29,24,17,25,-6,-27,4,5,32,36,-4,1,5,6,88,93,21,15,8,8,17,47,41,37,8,4,-6,-10,-7,-1,-1,-1,-1,19,13,-7,-23,-25,-32,-2,-2,-10,-53,-25,-9,-23,-14,-1,1,33,-2,-2,-2,-2,-6,-3,-2,-6,-39,-2,-2,-2,-15,-6,-1,27,2,0,0,0,11,0,0,-29,-32,-1,-1,0,0,-25,-7,11,33,8,0,-32,-77,-55,-48,-17,-4,0,-34,-4,0,3,-4,-2,-34,-39,-1,-19,1,0,-1,-1,5,54,68,-2,-12,-69,-49,-4,8,15,-5,-52,-37,-12,-25,18,8,1,7,29,30,13,11,55,58,37,35,4,21,3,-28,-33,-32,-22,-19,-15,-9,-7,-8,-7,-10,-11,-11,-7,-15,11,15,21,21,21,21,19,25,20,1,2,2,2,15,11,6,40,66,68,70,61,79,76,42,25,2,-1,-38,-53,-5,34,0,-5,-4,-4,-4,-4,21,9,-48,-90,-35
