Renewables 04/18/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,51,144,261,422,645,931,1241,1581,1955,2370,2856,3302,3751,4168,4528,4943,5414,5929,6355,6627,7068,7593,7925,8274,8615,8827,9085,9296,9462,9574,9654,9783,9892,9963,9978,10059,10091,10237,10319,10365,10486,10538,10574,10641,10703,10707,10693,10793,10854,10826,10859,10922,10981,11003,10938,10977,11060,11102,11166,11135,11074,11073,11088,10968,10894,10972,10934,10944,10960,10808,10829,10857,10844,10865,10863,10949,11001,10983,11015,10979,10973,10969,10952,10976,10935,10948,10888,10840,10818,10744,10730,10799,10760,10717,10703,10661,10519,10412,10502,10511,10453,10348,10307,10229,10170,10064,9980,10255,10333,10291,10327,10199,10004,9830,9674,9771,9631,9544,9491,9415,9518,9527,9380,9289,9220,9136,9068,8997,8865,8628,8351,8202,8008,7683,7489,7175,6884,6611,6214,5712,5293,4967,4517,4040,3573,3161,2746,2309,1967,1570,1214,858,647,488,371,290,217,139,113,100,82,65,65,66,67,68,68,68,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,0
Wind,1111,1101,1075,1054,1018,982,953,922,912,904,923,957,963,949,904,882,870,868,871,881,882,885,879,866,865,870,889,879,894,910,921,925,923,916,895,896,892,893,911,924,939,940,935,912,898,910,917,931,934,942,962,975,989,997,988,936,890,863,833,809,787,775,778,778,753,739,734,731,727,716,696,694,695,698,699,697,696,687,672,648,638,640,632,625,627,622,620,614,615,609,613,619,623,634,634,628,634,637,647,656,652,655,658,663,663,666,671,679,690,696,718,739,752,756,751,755,775,802,816,675,696,719,738,757,701,660,664,653,644,650,629,644,631,631,626,624,613,610,605,598,577,565,546,548,552,579,570,545,527,518,504,526,567,572,553,553,559,565,569,563,549,554,577,582,570,580,581,564,567,596,598,596,614,595,575,592,595,587,561,574,553,595,594,568,566,545,532,521,525,520,535,507,476,450,457,471,485,476,451,394,374,350,351,345,341,349,338,334,330,337,335,329,347,361,381,399,387,377,382,383,397,424,448,477,492,475,451,454,464,448,422,402,407,416,422,433,447,455,460,452,455,476,501,526,536,539,525,521,513,508,489,493,495,503,517,542,594,673,756,793,819,830,818,792,763,712,713,713,713,729,749,770,795,822,836,828,817,810,824,843,867,873,872,863,854,838,820,805
Geothermal,889,889,888,888,889,889,887,887,888,888,888,888,889,889,889,889,889,888,888,889,889,890,889,890,890,890,889,890,891,890,891,890,890,890,890,890,890,890,890,889,889,889,890,890,890,889,889,889,890,890,889,889,889,888,888,888,888,888,888,888,887,887,887,887,887,887,887,887,888,887,887,887,887,886,887,886,886,887,887,887,887,887,887,888,887,886,886,917,932,933,933,932,932,933,933,934,934,933,933,933,934,934,934,933,933,933,933,933,932,932,931,931,931,931,932,931,931,931,907,883,884,883,883,883,882,882,881,880,880,880,880,881,880,880,880,880,880,880,880,879,880,879,880,879,878,879,878,878,878,878,879,878,878,878,878,878,877,877,876,877,877,877,879,878,878,878,877,877,878,877,877,876,877,877,877,877,877,877,878,876,875,877,876,876,877,876,876,876,875,875,875,874,873,873,874,873,872,872,871,871,871,869,871,872,872,871,872,871,872,872,872,872,872,872,871,871,870,869,869,870,871,870,871,871,871,872,872,872,873,872,873,873,873,873,872,873,873,874,873,874,873,875,875,875,875,875,874,874,874,875,875,875,875,875,875,876,876,876,878,878,878,877,878,878,878,876,879,878,879,880,878,878,880,880,880,879,879,879,879,879,879,879,879,878,878,879,880,878
Biomass,286,288,287,286,288,289,287,287,288,290,288,289,288,289,288,290,291,291,288,290,290,288,291,292,291,292,294,291,292,293,290,288,289,289,285,287,287,287,286,285,287,289,289,288,291,290,291,290,291,292,294,295,293,291,290,289,290,290,292,291,293,292,291,288,287,288,290,288,287,289,291,291,291,287,289,288,288,289,289,288,287,288,288,286,287,286,285,287,290,289,287,289,289,287,286,284,284,288,286,281,287,285,282,280,284,285,286,286,288,282,280,280,283,280,279,276,275,275,279,277,280,282,284,286,286,285,278,274,278,277,277,278,279,280,278,277,277,276,275,277,280,277,277,275,270,272,273,274,279,276,278,276,274,274,274,274,276,273,270,271,271,273,273,274,273,273,271,269,270,272,276,280,281,283,281,279,276,277,278,281,284,285,283,283,287,287,289,292,291,290,293,295,296,299,300,299,297,298,297,299,296,296,296,298,294,294,294,296,295,295,293,294,294,296,303,307,311,314,314,318,320,305,276,278,277,277,279,283,282,286,289,293,295,295,295,295,297,298,299,298,296,300,301,301,300,298,296,300,302,303,303,304,306,305,303,304,304,304,301,299,302,307,307,306,305,305,303,301,302,301,300,297,302,302,300,299,302,303,305,305,307,307,307,307,305,308,310,318
Biogas,215,215,216,217,215,216,215,216,215,215,216,215,215,211,209,209,209,209,209,209,209,209,209,209,209,210,210,209,209,209,209,209,210,212,213,215,215,215,215,215,215,215,215,210,208,208,208,208,208,208,208,208,207,207,208,208,207,208,208,207,207,208,207,208,208,207,207,207,209,210,212,215,215,215,215,215,214,214,215,215,216,216,216,215,217,215,215,215,215,215,214,215,214,214,214,214,214,214,214,215,214,214,213,212,215,216,216,217,216,217,217,216,216,217,216,216,217,218,216,216,218,216,216,217,216,217,217,215,214,214,215,215,217,218,218,218,218,218,218,218,218,217,217,218,218,217,217,218,217,217,217,217,216,215,216,217,217,217,217,217,217,217,217,217,217,215,215,216,215,215,215,216,215,214,215,215,215,217,217,217,217,217,218,217,217,218,218,217,217,217,218,218,217,217,218,219,217,218,217,218,218,218,217,219,218,218,218,218,218,218,218,218,218,218,218,218,218,219,218,219,218,219,218,218,220,219,219,220,219,219,219,219,219,219,219,219,219,220,219,219,219,219,219,220,220,220,219,219,219,220,220,219,219,220,219,219,219,219,219,219,219,219,219,219,219,219,219,219,218,219,219,219,219,219,219,218,219,219,218,219,219,220,219,218,218,219,219,219
Small hydro,474,471,471,472,472,471,471,471,469,469,471,472,471,468,472,472,471,471,472,472,472,472,472,472,472,472,472,473,473,473,472,472,472,472,473,471,471,472,472,472,470,470,470,470,470,470,471,470,470,469,469,469,470,470,471,470,470,472,471,472,471,470,472,472,470,470,470,471,472,471,471,471,452,444,444,445,446,446,444,444,445,444,443,444,444,444,444,443,443,442,440,441,443,441,440,440,443,438,427,427,427,427,428,428,428,428,427,427,427,428,428,427,428,427,428,427,427,427,427,427,428,430,429,430,429,429,430,429,430,430,430,429,429,429,429,429,429,429,428,428,429,429,429,429,429,429,429,428,428,427,428,428,427,427,427,427,428,428,428,428,427,428,428,433,445,444,444,445,445,446,447,447,447,447,445,445,445,442,436,437,437,437,436,436,436,436,437,442,443,443,444,444,444,443,443,443,443,443,443,443,444,444,444,444,445,445,445,445,445,445,446,446,447,446,446,446,446,446,444,445,446,447,446,446,446,446,447,447,447,463,478,478,478,478,477,478,478,476,476,477,480,481,477,476,477,475,476,475,476,477,477,477,479,478,477,478,477,477,476,475,475,475,475,476,477,476,476,475,475,475,474,473,474,475,474,474,473,471,440,440,440,440,440,440,440,439,438,436
Batteries,5,-10,4,-32,-37,4,-6,-21,-13,-2,4,4,2,-1,-1,-1,-1,-1,-1,-1,-12,-12,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-3,-3,-14,-3,-6,-1,-1,-1,-1,-2,-48,-59,-31,-7,-3,-3,-3,-3,2,16,5,-3,-19,-54,-65,-53,-63,-58,-1,2,2,2,-14,-4,2,12,18,2,-33,-79,-89,-46,-27,-44,-47,-49,-63,-47,-40,-17,-26,-5,16,-7,16,-14,-51,-69,-48,-39,-2,-50,-52,-11,-2,2,2,-13,2,19,2,4,80,31,-4,-16,-15,-74,-76,-60,-47,-57,1,2,0,0,2,15,42,10,83,79,105,65,102,98,63,40,-1,1,24,2,0,0,0,-53,-93,-82,-103,-67,-50,-86,-65,-89,-105,-52,-47,-29,-45,-33,7,0,6,-10,-1,-12,-7,-5,-5,-3,1,0,0,-8,0,0,11,0,-42,-28,-29,-2,0,0,8,-25,-2,-1,-17,1,-16,-17,0,-1,-19,1,0,-22,27,3,-11,-28,1,5,-1,-1,-1,-1,-17,-5,-5,7,-1,5,-2,-16,-6,-1,-6,8,-7,-19,3,0,0,0,0,9,51,81,83,60,-24,-75,-33,7,28,18,2,-31,-10,29,26,18,26,35,17,-2,-31,-7,-11,33,33,46,38,57,11,2,2,-1,-29,-49,-7,2,2,16,63,48,49,13,0,2,-8,0,2,4,1,-7,-4,2,14,30,34,30,57,43,60,6,0,-1,-3
