Renewables 04/21/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,83,187,334,515,739,991,1290,1615,1976,2341,2726,3105,3556,3993,4440,4903,5274,5343,5196,5319,5874,6507,6670,6630,6649,6701,6681,6564,6391,6437,6578,6680,6752,6820,6930,7047,7064,6954,6893,6970,6991,6978,6993,7000,6803,6619,6667,6781,7006,6950,6700,6704,6722,6644,6649,6709,6769,6771,6836,6891,6911,7029,6996,7206,7345,7419,7434,7525,7709,7986,8008,7794,7780,7650,7578,7599,7570,7509,7538,7618,7642,7497,7493,7468,7430,7423,7407,7369,7298,7313,7253,7121,7280,7359,7222,7139,7261,7391,7326,7482,7282,7224,7158,6930,7095,6913,6745,6710,6694,6740,6965,7014,6929,6852,6856,6633,6350,6266,6079,6233,6406,6523,6556,6486,6428,6475,6475,6334,6060,5850,5636,5649,5767,5963,5998,6199,6213,6045,5811,5280,4268,3800,3723,3938,3764,3293,2843,2424,2026,1627,1251,935,663,476,329,227,139,62,26,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0
Wind,3042,3023,3016,3047,3076,3073,3078,3047,2978,2914,2839,2811,2794,2765,2746,2728,2715,2715,2721,2737,2743,2756,2813,2902,3004,3094,3213,3313,3351,3349,3335,3304,3319,3333,3369,3418,3467,3489,3502,3583,3612,3586,3562,3554,3525,3470,3396,3337,3238,3181,3209,3277,3331,3375,3379,3370,3333,3300,3306,3286,3297,3325,3312,3317,3320,3320,3295,3285,3303,3330,3363,3370,3363,3374,3392,3373,3327,3306,3286,3260,3243,3233,3200,3141,3115,3045,3014,2997,2960,2896,2847,2882,2925,2963,2964,2996,3030,3031,3079,3126,3155,3262,3325,3427,3449,3501,3559,3634,3703,3751,3788,3876,3929,3929,3944,3971,3970,3973,3953,3944,3891,3851,3816,3794,3786,3801,3807,3826,3800,3729,3659,3621,3568,3524,3494,3467,3386,3365,3296,3253,3140,3135,3121,3105,3129,3149,3170,3205,3228,3247,3268,3275,3335,3368,3378,3406,3434,3448,3498,3531,3544,3613,3635,3645,3676,3725,3808,3885,3913,3952,3988,3988,3994,4023,4043,4067,4072,4036,4067,4076,4075,4176,4181,4173,4236,4292,4350,4404,4443,4479,4568,4613,4609,4622,4642,4676,4722,4773,4815,4791,4817,4815,4831,4821,4767,4685,4622,4537,4576,4625,4644,4682,4729,4753,4774,4744,4731,4709,4647,4613,4602,4594,4540,4508,4461,4451,4421,4429,4381,4356,4385,4413,4448,4453,4472,4511,4570,4617,4647,4643,4636,4634,4641,4626,4642,4616,4612,4560,4586,4612,4648,4648,4631,4607,4570,4574,4579,4573,4559,4564,4579,4589,4578,4520,4497,4506,4521,4484,4411,4383,4379,4390,4402,4408,4407,4401,4381,4371,4367,4316,4292,4257,4250,4255,4262,4228,4226,4220
Geothermal,945,945,945,945,945,945,946,947,947,947,947,946,946,946,946,947,947,948,948,948,949,949,948,949,948,948,948,948,948,947,946,948,947,947,947,947,947,947,948,947,946,947,946,946,946,945,945,946,948,947,947,948,946,947,948,947,946,947,946,947,948,947,945,947,948,948,948,949,948,949,950,948,948,948,947,933,933,938,953,950,941,932,923,922,925,919,917,918,918,917,918,918,917,917,917,918,916,917,917,917,916,916,915,916,915,915,916,915,915,915,914,915,915,915,913,915,915,914,914,914,914,914,914,914,913,913,913,913,913,912,913,912,912,913,912,912,913,913,912,913,912,913,913,913,913,913,912,913,913,912,913,912,913,913,912,912,911,913,912,912,912,912,911,911,911,911,910,910,911,911,911,911,910,910,909,909,910,910,909,909,909,909,908,909,908,908,908,908,907,908,907,908,907,907,906,908,907,907,907,909,908,907,906,907,907,908,907,908,907,906,906,906,906,906,906,906,907,907,907,907,907,907,908,908,907,908,909,908,909,909,909,907,909,909,909,910,909,911,911,911,910,911,912,911,912,912,913,913,913,912,912,912,911,911,913,911,911,912,911,912,911,910,911,911,911,912,911,912,909,912,912,913,912,913,912,913,913,913,913,913,913,913,914,913,914,913,914,914
Biomass,324,324,322,324,323,324,324,324,324,323,321,322,323,322,322,321,323,320,319,320,322,322,324,324,327,327,327,324,325,325,324,325,323,322,322,322,322,322,322,322,322,323,323,323,324,321,323,322,322,322,321,323,323,325,326,326,325,325,325,324,323,325,323,323,323,327,331,332,334,334,332,332,333,335,335,336,337,341,339,340,340,344,344,345,344,342,343,343,342,343,342,344,345,344,345,344,344,343,344,344,342,342,341,341,344,345,345,344,344,345,345,344,341,338,339,340,336,327,309,296,294,295,295,295,295,292,288,285,285,282,282,281,281,282,281,281,282,284,285,287,291,292,293,296,295,294,292,293,294,294,294,296,295,294,298,299,297,295,296,297,296,299,296,296,296,296,293,292,291,292,292,296,294,292,294,294,293,294,293,291,294,292,294,294,296,297,297,297,297,298,290,290,293,292,293,294,294,296,299,297,298,302,303,304,303,303,300,298,299,303,301,303,302,304,308,308,306,304,305,304,305,306,304,306,306,306,305,307,306,307,306,306,306,299,288,281,276,277,277,279,279,281,282,278,277,278,276,277,279,280,280,279,280,281,281,281,281,280,280,280,281,280,276,272,270,270,271,269,269,269,270,270,269,269,269,269,269,269,267,268,268,268,269,269,269,269,267,269
Biogas,206,207,210,215,214,215,215,215,215,215,214,215,215,215,216,215,215,215,215,215,216,215,215,215,215,215,215,215,215,215,215,215,216,215,215,214,214,214,214,214,215,214,215,214,215,214,214,215,214,214,214,215,214,214,215,214,214,214,214,214,214,214,214,214,214,214,214,214,215,214,214,214,214,214,214,214,214,214,214,215,214,215,214,214,214,215,214,215,215,214,214,215,215,215,215,214,215,214,214,215,215,215,215,215,214,214,215,214,214,214,214,214,215,215,215,217,214,214,214,214,214,214,214,215,215,215,215,215,215,215,215,215,214,206,206,207,207,206,206,206,206,206,203,204,205,204,204,204,204,203,203,203,205,205,206,206,207,206,207,206,207,207,207,207,207,207,207,206,208,207,206,207,207,206,207,206,207,207,207,206,207,207,207,208,206,207,212,214,217,217,217,217,217,218,218,218,217,218,219,218,218,218,218,218,218,218,218,217,218,218,218,217,217,218,217,217,218,217,219,218,219,217,217,217,221,217,217,217,217,218,217,218,217,218,218,218,219,218,218,218,218,218,218,219,218,218,218,218,218,218,218,218,219,218,218,219,218,218,218,218,218,218,218,218,219,218,218,218,219,218,218,218,218,218,218,219,218,218,218,219,219,218,218,218,220,219,219,218
Small hydro,449,443,443,442,441,430,421,422,422,422,423,429,442,443,442,442,443,442,442,442,441,442,440,454,471,470,470,470,471,472,470,470,469,469,469,469,469,469,470,470,471,471,473,471,471,471,471,472,473,473,474,474,474,473,473,472,472,473,473,473,474,473,472,472,472,472,473,473,472,472,473,472,466,439,441,441,442,440,441,440,441,442,443,443,444,444,444,443,443,443,442,442,442,441,440,441,441,441,441,441,440,439,438,438,439,438,438,438,438,438,438,438,438,435,435,438,435,437,439,438,440,437,441,427,422,422,423,423,422,422,423,423,423,424,423,423,423,424,425,424,423,423,423,422,423,422,423,422,422,422,423,423,423,423,422,423,423,422,422,425,429,429,429,429,429,429,429,429,429,429,429,429,429,429,428,428,427,426,427,426,428,426,426,427,425,426,425,427,426,427,427,426,426,428,430,430,429,429,429,429,430,430,430,431,438,444,444,441,441,442,442,441,441,442,441,441,441,441,439,443,442,441,442,442,441,442,440,454,468,467,466,466,466,466,466,467,467,467,467,459,450,442,441,442,443,442,441,442,441,442,442,441,440,447,458,458,462,458,458,456,456,455,456,456,440,433,433,434,433,433,433,436,440,441,440,440,441,442,442,442,442,442,443,443,442,441,441,427
Batteries,0,55,12,-15,-40,-21,-3,-3,9,9,7,2,-24,-23,-3,-2,-32,-22,-60,-61,-75,-19,0,0,-25,-47,-21,0,2,31,78,51,30,-23,-13,-37,2,2,57,17,1,0,1,-5,-1,-4,9,57,90,95,17,-49,-108,-97,-26,-21,-4,-16,-6,-9,-12,2,10,-14,-14,7,21,21,21,18,11,20,20,14,13,13,13,13,13,13,13,13,13,13,17,-7,-7,0,-7,-12,-26,-50,-55,-54,-54,-52,-45,-42,-46,-44,-36,-35,-40,-35,-10,-15,-16,-17,-14,-30,-36,-48,-49,-16,0,-13,6,-9,6,-11,-16,4,0,-1,1,-16,8,-5,8,-6,9,0,0,0,0,0,19,29,0,28,-1,-43,-40,-8,6,-14,-9,2,-11,-11,6,1,-22,6,-3,-7,-10,0,9,-8,-5,5,1,-8,9,3,-8,-4,-4,-14,7,8,-6,2,-16,8,8,12,-8,-1,97,-21,-60,-5,-1,0,-2,-26,7,-7,-11,-6,5,-14,-2,-2,-4,-3,-2,-2,-1,0,0,5,-9,-5,-5,-1,0,0,-1,0,-4,-2,0,27,23,106,104,33,-14,-24,32,59,101,79,-20,-15,-16,13,10,-2,-1,-1,3,5,15,16,20,18,23,21,24,22,21,22,16,24,24,24,26,22,28,55,76,17,28,21,-7,-30,-41,-43,-42,-21,-5,3,-1,-3,0,-3,-44,-58,-35,-64,-70,-43,1,45,11,9,2,1,3,-6,-3,-1,2,8
