Renewables 04/23/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,54,147,277,442,659,893,1177,1517,1863,2195,2546,2868,3305,3753,4135,4625,4916,5162,5050,5095,5789,6549,6961,7084,7496,7962,7938,7943,8123,8108,8150,8239,8366,8846,9291,9400,9309,9303,9342,9420,9463,9570,9606,9618,9657,9672,9654,9762,9952,10121,10256,10222,10169,10262,10371,10590,10837,10884,10884,10793,10656,10413,10409,10436,10434,10691,10948,11023,11037,10961,10807,10975,11049,11050,11043,11057,11045,11020,10999,10905,10697,10721,10758,10597,10474,10421,10465,10618,10747,10737,10679,10690,10907,10917,10881,10991,10937,10951,10890,10737,10720,10693,10651,10604,10611,10557,10643,10638,10547,10521,10542,10349,10191,10252,10219,10135,10081,10119,10060,9976,9936,9895,9789,9777,9747,9596,9493,9358,9258,9225,8957,8793,8582,8308,8098,7886,7618,7341,7043,6658,6196,5747,5304,4817,4339,3864,3418,2989,2578,2162,1759,1343,1014,725,508,360,249,172,119,64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0
Wind,1501,1507,1511,1547,1587,1677,1734,1722,1750,1780,1800,1805,1783,1770,1714,1703,1692,1679,1660,1654,1655,1639,1627,1569,1543,1563,1583,1573,1556,1565,1547,1561,1581,1570,1539,1533,1483,1437,1426,1422,1386,1384,1405,1413,1490,1535,1516,1456,1412,1438,1473,1472,1474,1494,1461,1415,1345,1255,1186,1144,1090,1094,1090,1090,1089,1070,1049,1017,993,986,998,979,956,941,940,947,934,919,888,843,837,844,847,858,891,927,942,940,929,908,881,869,867,864,853,839,801,775,773,773,750,754,768,772,790,804,830,840,824,795,772,772,777,762,768,768,788,785,795,790,785,756,754,749,747,750,741,730,713,691,726,731,767,779,790,796,782,767,774,783,768,759,736,713,674,640,592,598,592,589,602,600,602,640,652,650,626,615,622,630,598,600,588,590,627,583,561,568,546,553,554,575,587,597,598,593,606,611,631,646,668,664,635,604,602,626,672,725,795,868,905,902,881,864,865,859,862,878,904,927,956,996,1049,1140,1204,1200,1228,1295,1354,1417,1482,1510,1509,1514,1528,1553,1586,1603,1630,1654,1662,1722,1734,1769,1823,1903,1939,1984,2020,2045,2059,2092,2131,2164,2160,2168,2170,2156,2160,2166,2214,2212,2218,2244,2236,2244,2239,2208,2231,2230,2227,2231,2230,2247,2265,2267,2263,2270,2246,2216,2177,2159,2152,2117,2092,2074,2041,2027,1988,1969,1947,1943,1934,1922,1910,1897,1889,1898,1888,1894,1894,1906,1900,1882,1863,1824,1785,1745
Geothermal,723,722,721,722,722,722,721,722,722,721,721,720,721,721,723,722,722,722,723,723,722,722,722,723,723,723,722,722,722,722,722,721,722,722,721,721,721,721,721,721,721,721,721,721,722,722,722,724,723,724,724,724,724,725,724,724,723,724,724,724,723,724,724,723,723,723,722,724,724,723,725,724,723,724,724,724,725,724,724,724,724,725,724,724,724,722,724,724,724,724,724,724,724,724,722,713,707,709,715,723,725,724,722,721,720,720,720,719,720,719,720,719,719,719,720,720,718,719,720,718,718,718,719,718,717,719,718,718,718,718,717,717,717,717,716,717,717,717,716,715,716,716,715,715,715,716,715,715,715,715,715,715,715,714,715,715,715,714,715,715,715,715,714,714,714,714,714,715,714,714,715,714,714,715,716,715,715,715,715,715,715,716,715,715,715,715,713,714,713,714,715,715,714,714,714,714,714,714,712,714,713,713,714,713,714,713,714,714,715,715,715,714,714,714,714,714,713,713,713,713,713,713,713,713,714,713,714,713,714,713,714,714,716,715,716,715,715,716,715,715,715,716,716,716,716,716,716,714,702,698,714,709,701,699,696,697,707,694,694,699,701,703,709,699,695,696,698,708,717,718,717,718,718,717,718,718,718,712,711,718,718,718,717,718,718,718,718,719
Biomass,274,275,276,275,275,276,272,275,275,275,274,273,275,274,275,272,273,274,274,273,271,274,273,274,274,273,271,270,274,275,277,277,275,274,274,275,277,278,277,276,230,230,231,231,231,232,232,231,232,232,232,232,233,232,231,230,230,231,232,233,230,232,232,231,231,230,231,233,233,231,229,229,229,229,229,229,227,227,228,227,227,227,227,225,224,227,226,227,228,228,228,228,226,228,230,228,229,228,227,227,225,225,224,221,222,219,218,219,216,218,217,218,218,219,220,220,220,220,220,219,219,218,217,217,216,215,215,215,216,215,216,214,215,215,213,210,207,208,217,223,225,221,222,221,225,231,231,238,238,242,246,250,246,251,254,257,261,262,263,263,265,263,262,265,265,264,261,259,261,261,260,261,263,266,266,264,263,263,262,266,269,268,272,273,275,273,273,274,273,278,280,282,286,295,305,305,306,309,310,308,307,309,310,310,311,310,311,313,317,316,317,315,314,315,316,314,316,314,315,314,315,316,314,316,317,317,318,318,318,318,319,318,315,316,317,318,318,317,316,315,317,319,317,317,318,320,317,316,318,318,317,318,318,312,309,309,311,311,309,309,309,310,312,312,311,311,311,312,312,311,311,310,309,309,309,308,309,307,306,307,308,306,306,307,306,307,308,308
Biogas,207,206,205,205,205,206,207,207,207,207,207,207,207,207,207,207,206,207,207,207,207,207,207,207,207,206,207,206,207,207,206,207,207,207,206,206,207,207,206,207,207,206,206,207,207,207,207,207,207,207,207,206,206,207,207,207,207,207,207,206,206,206,206,206,206,207,206,205,204,204,203,201,201,202,203,201,205,205,204,206,204,205,204,203,202,202,202,202,201,200,200,200,200,201,202,203,200,199,200,201,201,201,201,201,201,201,201,202,201,201,201,201,200,200,201,202,200,201,201,201,200,200,200,200,201,200,197,197,197,197,197,197,196,197,197,198,197,197,196,196,197,196,197,197,196,199,200,199,198,199,199,197,199,199,199,200,200,199,199,199,199,198,199,199,199,199,199,200,200,201,200,201,202,201,201,202,201,202,199,199,199,199,200,200,200,200,201,201,201,199,200,200,201,198,200,199,199,199,200,201,203,202,202,202,203,202,202,202,201,200,201,201,200,201,200,200,201,201,201,201,201,201,201,201,201,202,202,202,203,204,206,204,207,204,204,205,207,205,205,204,204,204,204,205,204,205,205,206,205,204,204,205,205,205,205,206,205,205,206,206,205,205,206,205,206,205,205,205,206,205,205,205,206,205,205,205,207,205,205,205,205,205,205,205,205,205,205,205
Small hydro,394,395,397,396,395,396,397,395,395,395,395,394,393,392,392,392,396,395,393,395,393,394,397,393,392,394,393,393,393,393,395,395,395,395,394,395,395,395,395,395,395,395,396,395,396,397,398,395,395,396,397,397,395,396,394,394,395,395,396,395,396,396,396,396,397,397,395,396,396,397,397,397,397,397,397,401,430,427,426,426,426,426,426,425,424,422,423,423,424,423,424,425,425,425,424,424,425,424,420,423,423,423,422,422,422,422,422,423,411,395,393,393,393,393,393,392,392,392,392,391,391,390,381,386,386,386,386,386,387,387,387,382,387,387,387,387,388,389,388,389,390,389,388,389,388,387,388,388,388,387,387,387,387,387,387,386,385,385,385,386,378,385,387,387,387,387,387,386,388,388,386,389,392,392,391,390,392,392,392,392,393,395,398,399,398,398,399,396,395,394,394,393,393,395,395,396,395,396,396,394,394,394,394,394,394,395,394,394,394,395,396,397,397,397,397,397,397,403,417,464,469,469,470,468,468,468,468,470,507,508,508,507,508,509,507,508,508,508,507,506,507,509,507,508,564,615,615,615,616,615,615,615,615,616,617,616,616,616,616,615,615,615,615,615,615,615,605,580,574,573,574,571,568,569,570,570,569,553,533,520,520,519,519,519,518,519,519,519
Batteries,-4,0,1,1,-16,-20,2,6,-14,5,-11,-6,6,3,0,-21,9,0,8,0,0,0,-12,-12,1,-3,6,-1,1,-11,6,-8,-9,2,-4,-11,-4,0,1,1,1,1,0,-1,-15,-8,4,-3,-19,-15,-9,-2,-10,-6,-17,5,0,16,25,15,-10,-1,-1,-1,-19,-16,-21,-28,5,0,0,0,-2,10,2,-23,4,5,-10,10,10,2,-23,-33,-4,-1,2,-5,6,-11,-14,-8,4,-7,10,2,0,16,81,-20,-75,-10,-3,-2,-1,5,79,118,51,4,-52,-77,-36,-8,-1,-7,-41,-38,-18,17,10,-3,26,25,2,-2,-6,-3,-3,-10,-92,-24,-19,-3,-14,5,0,-1,-4,-3,-3,11,30,-23,-4,13,-4,-35,-22,-9,2,-7,2,-3,-4,11,-1,-10,-31,2,19,16,43,2,-42,-33,-23,-18,4,-1,-17,9,-1,-10,8,1,-7,0,-13,-4,-14,9,-1,0,8,17,-11,-18,-15,6,-19,-3,0,7,91,117,78,-4,-1,18,18,18,53,8,-90,-92,-89,-52,-16,-10,-8,-2,0,-1,0,18,78,56,43,4,0,0,0,-19,-7,0,-5,-1,-10,16,23,21,-19,-22,25,-17,-12,29,33,30,32,48,38,34,-3,-41,-76,-44,-12,20,34,34,27,27,1,-5,-1,-1,-1,-1,-1,-1,20,56,62,88,101,63,73,25,3,-44,-65,-65,-69,-99,-83,-6,-7,-31,4,28,21,-2,-6,-47,-47,4
