Renewables 04/24/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,55,143,275,455,671,946,1258,1600,1986,2392,2828,3278,3717,4151,4597,5071,5554,6018,6378,6647,7273,7656,7975,8261,8556,8804,9004,9183,9360,9503,9574,9630,9832,9928,10013,10106,10196,10269,10333,10324,10384,10475,10541,10611,10666,10735,10795,10838,10877,10910,10950,10992,11028,11062,11089,11116,11141,11156,11170,11185,11193,11197,11202,11214,11223,11226,11224,11219,11171,11123,11126,11120,11121,11123,11123,11130,11132,11126,11125,11122,11140,11148,11143,11133,11106,11129,11137,11139,11138,11001,11083,11112,11071,11091,11092,11083,11091,11083,11065,11035,11022,11009,10983,10953,10913,10880,10830,10841,10804,10741,10679,10604,10574,10528,10466,10393,10330,10251,10183,10110,10042,9965,9848,9513,9366,9512,9522,9412,9163,9102,8958,8781,8603,8369,8098,7786,7558,7247,6873,6489,6112,5705,5257,4806,4364,3908,3457,3024,2610,2205,1819,1437,1126,862,655,505,395,319,248,173,151,140,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,0,0
Wind,1721,1662,1630,1603,1608,1619,1639,1640,1651,1663,1680,1701,1717,1737,1760,1777,1800,1814,1825,1836,1839,1848,1848,1851,1852,1858,1857,1841,1815,1783,1753,1736,1727,1718,1735,1745,1751,1751,1735,1711,1687,1677,1666,1643,1601,1554,1497,1443,1425,1416,1403,1374,1320,1267,1231,1208,1194,1169,1152,1142,1142,1131,1107,1075,1042,1001,961,937,910,881,846,814,801,789,756,736,721,688,650,624,588,538,503,475,460,425,394,376,364,350,337,323,306,301,304,301,293,292,293,296,288,290,288,296,305,306,313,317,321,317,303,296,293,285,277,278,287,290,295,291,284,285,282,283,286,282,283,277,279,282,275,270,268,271,264,256,247,248,254,261,276,293,302,316,322,320,318,329,335,337,348,354,367,376,375,383,393,409,419,440,476,495,540,549,602,626,660,686,724,788,861,917,1005,1067,1119,1113,1138,1132,1160,1196,1205,1222,1278,1318,1353,1380,1423,1439,1461,1508,1543,1567,1603,1642,1682,1718,1762,1822,1821,1836,1835,1862,1866,1859,1904,1935,1953,1977,2021,2054,2096,2117,2162,2180,2187,2210,2265,2277,2300,2364,2385,2371,2330,2312,2305,2288,2284,2288,2311,2330,2366,2386,2413,2420,2419,2445,2452,2453,2446,2440,2450,2461,2467,2457,2448,2437,2461,2466,2466,2461,2441,2423,2412,2405,2404,2403,2373,2365,2391,2433,2475,2515,2554,2560,2576,2585,2593,2598,2616,2644,2671,2686,2718,2735,2777,2793,2806,2815,2815,2845,2882,2917,2940,2960,3002,3009,3007,3037
Geothermal,719,719,718,718,718,720,720,719,719,719,719,719,719,719,719,720,720,720,720,720,720,720,720,719,718,719,719,720,720,719,719,719,718,718,719,718,719,719,719,719,719,720,719,718,717,715,713,714,713,714,714,715,714,715,715,715,715,715,715,715,716,716,716,716,715,715,717,717,716,717,717,717,716,716,717,717,717,717,717,717,717,717,717,718,717,717,717,717,715,715,715,715,715,715,715,714,713,713,713,713,712,713,712,713,712,712,711,711,711,710,710,709,710,709,707,710,710,709,710,709,709,709,709,708,709,708,708,708,709,708,708,708,706,705,706,705,705,705,706,705,705,705,705,705,705,705,705,705,705,706,704,704,707,705,706,705,704,705,703,705,705,706,706,706,706,706,707,707,707,707,707,707,707,707,708,708,707,707,707,707,707,707,707,707,707,708,707,708,707,707,705,704,703,706,706,706,707,707,707,708,707,707,708,707,710,710,709,709,710,711,712,711,712,712,712,711,711,712,712,712,712,713,713,712,714,714,713,714,713,713,713,713,712,713,713,714,714,714,714,713,713,714,714,714,715,714,714,715,715,716,717,717,717,718,718,718,718,718,719,719,720,720,719,719,720,721,720,720,721,720,720,720,720,720,720,720,720,721,719,720,720,720,720,720,721,722,721,721
Biomass,307,307,307,308,307,307,307,307,309,309,309,309,308,308,307,310,309,308,307,307,305,306,309,309,308,310,310,311,311,312,312,312,312,313,313,312,312,312,313,312,313,314,314,315,314,314,313,312,313,314,313,314,314,314,316,317,316,315,314,315,315,313,313,314,311,312,312,311,311,311,311,311,309,307,308,311,310,308,309,307,309,306,307,307,305,306,307,307,308,306,308,308,306,305,307,308,307,307,310,311,310,312,313,308,294,282,277,289,297,295,293,298,300,299,295,302,303,303,301,304,303,304,304,305,301,301,303,305,304,305,306,305,302,298,297,299,300,301,301,302,295,292,297,297,298,301,298,299,299,299,299,301,300,301,300,300,297,299,298,299,300,300,303,303,301,302,300,297,296,294,296,297,299,301,302,304,304,305,307,309,307,307,307,311,313,312,314,333,352,364,368,364,367,368,363,369,369,368,369,370,369,367,367,364,362,359,359,362,364,361,357,359,359,359,361,359,357,359,359,357,358,361,360,360,358,360,362,361,358,358,360,360,357,355,355,356,356,354,352,342,313,311,311,310,310,310,309,309,307,308,309,308,308,312,312,313,312,310,308,309,310,311,312,313,311,311,310,312,310,311,312,310,306,292,295,298,304,305,305,307,309,310,309,309,309,309,310,309
Biogas,206,205,208,206,206,205,205,205,205,205,205,205,205,205,205,206,205,206,205,205,205,206,205,205,206,205,205,205,205,205,205,205,205,205,205,205,206,205,206,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,205,206,205,205,205,205,206,205,205,205,206,206,205,205,206,206,206,206,205,205,205,205,205,206,206,206,205,205,206,206,204,204,204,205,203,203,204,204,202,203,204,201,204,201,201,200,200,201,201,200,201,200,198,196,196,198,200,200,201,201,201,200,201,200,200,201,200,200,200,200,201,199,199,199,199,200,201,202,202,201,202,201,200,200,200,200,200,204,207,210,211,212,211,209,210,209,210,211,212,213,213,213,212,212,212,212,212,212,212,212,211,209,209,209,210,212,212,213,212,213,209,210,211,212,212,212,212,213,212,209,210,210,211,211,211,211,212,213,212,213,214,215,215,214,216,216,215,215,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,216,217,216,217,217,218,218,219,219,218,218,219,219,219,219,220,220,220,220,221,221,220,221,220,220,220,221,221,220,220,221,221,220,221,221,220,220,219,220,219,219,220,220,219,219,220,220,219,219,219,219,219,219,219,219,220,219,220,220,220,219,219,218
Small hydro,519,513,436,454,467,467,467,467,467,467,466,466,466,466,465,465,465,466,466,466,464,434,423,422,422,436,444,443,444,436,423,425,425,425,426,426,426,427,426,427,428,427,427,428,427,427,427,427,426,425,425,424,424,425,425,425,425,425,424,426,474,484,484,484,484,485,486,486,486,486,487,487,486,486,485,486,485,487,487,486,486,486,486,486,484,484,488,487,488,488,487,488,487,486,485,485,486,484,428,427,425,423,423,423,423,424,425,424,424,424,424,425,423,424,424,423,423,423,424,423,422,423,422,421,422,422,422,422,421,421,420,420,420,420,420,418,418,418,419,419,420,420,420,419,420,420,420,419,420,420,420,420,420,420,420,421,422,421,420,420,420,419,419,418,418,417,417,417,416,416,418,415,417,416,415,415,414,415,415,415,416,415,416,415,414,415,414,415,412,415,415,415,415,413,413,413,414,413,413,413,412,411,410,410,409,480,505,505,505,507,507,507,506,506,507,512,549,583,599,600,600,600,600,601,600,601,601,600,601,601,600,599,599,598,597,598,597,597,591,595,594,595,593,594,594,593,597,596,594,594,594,595,596,596,550,551,552,552,551,550,551,551,550,550,549,550,538,515,507,507,506,507,509,507,506,505,488,485,467,467,466,467,467,467,466,467,468,467
Batteries,34,29,-1,-29,-64,-16,-1,-1,-1,-11,-18,-5,4,-19,-13,-12,-1,-1,-1,-2,-3,-13,-29,-6,4,0,-1,-1,-2,-4,-4,-4,-3,-3,-8,-11,-15,-11,-2,-1,-1,-1,-1,-1,-1,-1,-2,-2,-1,-2,-4,-3,-2,5,-1,-1,-1,-1,-8,-9,-28,-12,-2,-3,-1,-1,-1,-8,-3,-1,-1,-1,-1,-13,-6,-10,-13,-5,-15,-7,-8,-13,-19,-36,-34,-21,-12,-5,0,-9,-27,-41,-29,-43,-34,-29,-27,-38,4,0,-3,-29,-12,-2,-18,-1,-13,-4,-20,2,30,-14,-17,-8,-5,-19,5,-3,-22,6,-3,-4,-2,0,0,0,0,-13,-1,-7,6,-3,-3,-2,-4,-17,3,-1,-1,12,58,51,9,-1,-7,8,66,38,35,23,1,1,-23,-59,-63,-37,-31,-32,-33,-17,10,2,2,2,2,1,1,-2,1,-11,2,-9,0,1,1,1,1,1,1,1,1,1,-24,4,-5,-5,5,-8,27,9,0,-1,-19,-36,6,-3,2,3,4,-9,6,-2,-4,-10,7,-5,-11,-2,-4,17,4,-15,-15,5,-9,6,-11,3,-11,-4,7,5,-1,0,6,9,24,80,74,-4,-24,-8,-2,2,2,2,2,2,-1,3,0,-8,-2,-13,-27,-20,7,-13,1,1,7,2,4,33,36,35,36,36,25,5,9,26,25,26,25,11,0,-2,-5,-5,-3,-1,-2,-3,-7,-7,21,84,51,36,35,26,-57,-40,-18,-31,-18,-24
