Renewables 04/28/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,116,226,392,619,870,1154,1458,1811,2190,2576,2998,3441,3856,4276,4740,5193,5554,5890,6054,6281,6435,6858,7448,7883,8073,8148,7941,7821,8047,8143,8297,8414,8599,8986,9364,9619,9725,9667,9545,9581,9694,9766,9755,9639,9767,9944,10240,10109,10267,10349,10359,10453,10433,10387,10153,9798,9891,9970,9825,9751,9910,10037,10075,10129,10106,10039,9915,9743,9569,9614,9769,9869,9764,9639,9689,9613,9656,9703,9760,9888,9865,9887,10038,10253,10266,10327,10363,10135,10106,9897,9815,9929,9750,9499,9150,8924,8718,8471,8302,8285,8458,8242,8367,8229,7757,7597,7569,7465,7194,6745,6321,6307,6438,6383,6158,6067,6116,6030,5763,5421,5275,5072,4776,5111,5409,5453,5375,5172,4878,4794,4564,4381,4430,4345,4224,3792,3531,3293,3191,3129,2896,2454,1979,1614,1444,1281,1186,1084,946,825,739,643,495,360,297,217,117,62,37,22,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
Wind,3889,3921,3982,3984,3969,3953,3864,3834,3795,3730,3697,3650,3665,3636,3609,3587,3540,3490,3459,3431,3365,3329,3306,3326,3338,3339,3320,3324,3369,3352,3328,3334,3346,3330,3312,3283,3255,3231,3190,3178,3179,3174,3166,3140,3106,3060,3032,3049,3079,3127,3147,3151,3153,3121,3077,3034,3004,2950,2908,2874,2840,2808,2771,2754,2732,2731,2751,2771,2771,2761,2749,2765,2759,2693,2664,2642,2617,2591,2572,2567,2551,2510,2440,2394,2346,2285,2218,2180,2162,2120,2067,2047,2022,1995,1986,1946,1886,1825,1798,1828,1822,1810,1800,1783,1786,1794,1768,1717,1694,1670,1614,1550,1527,1504,1463,1417,1371,1355,1304,1270,1244,1230,1227,1219,1215,1200,1199,1190,1199,1197,1202,1209,1221,1220,1197,1194,1198,1206,1228,1243,1253,1285,1303,1315,1307,1313,1318,1340,1361,1394,1401,1423,1445,1461,1471,1456,1432,1441,1445,1432,1417,1435,1466,1481,1506,1500,1493,1508,1520,1554,1627,1693,1721,1753,1800,1849,2023,2304,2463,2632,2698,2726,2669,2652,2619,2588,2559,2561,2640,2658,2626,2557,2512,2445,2414,2370,2315,2225,2185,2180,2112,2098,2012,1949,1896,1837,1746,1644,1522,1461,1418,1383,1338,1290,1260,1260,1259,1294,1297,1266,1248,1224,1215,1186,1139,1078,1015,1002,1019,1032,1042,1052,1063,1083,1106,1149,1182,1223,1281,1365,1465,1629,1903,2128,2301,2419,2517,2623,2615,2558,2522,2591,2665,2677,2631,2510,2301,2215,2186,2175,2171,2190,2275,2308,2308,2299,2329,2354,2449,2477,2483,2444,2447,2482,2596,2570,2537,2528,2518,2599,2638,2686,2723,2777,2766,2724,2678,2682
Geothermal,888,896,902,902,914,925,941,945,945,944,945,945,945,945,947,947,947,947,947,947,947,947,947,948,947,947,948,948,948,948,948,948,942,946,948,948,949,948,950,951,949,949,949,949,949,948,949,925,904,891,894,893,894,894,889,880,882,884,885,886,885,885,886,885,883,882,881,880,880,880,880,880,879,878,881,879,878,878,878,877,877,876,875,875,874,874,870,871,869,871,871,871,869,868,868,867,867,866,865,830,813,813,813,812,812,810,810,808,810,809,806,805,805,812,821,833,852,855,856,856,855,859,857,856,856,855,855,855,855,856,856,856,857,855,855,854,855,855,854,857,853,855,856,853,852,851,851,850,851,851,850,851,859,860,863,867,870,871,870,870,870,871,873,873,874,873,872,872,873,872,872,872,872,872,871,871,870,870,870,870,869,870,869,870,871,872,870,870,870,871,870,870,869,869,870,870,870,871,872,870,871,871,871,870,870,870,870,822,823,824,824,824,824,824,823,823,823,823,822,823,824,824,823,824,824,824,824,825,824,824,824,824,848,873,874,874,873,873,873,873,873,871,872,874,874,869,875,876,877,874,876,875,876,876,876,876,875,873,876,876,876,876,876,875,877,876,876,877,877,876,877,877,878,878,879,878,878,879,879,879,877,879,878,879,880,880,880,880
Biomass,295,295,295,295,295,295,297,298,298,298,298,297,297,297,297,297,296,297,297,297,296,297,298,297,296,295,294,294,294,294,294,293,292,293,295,295,295,295,297,297,297,296,297,295,295,295,297,295,294,295,296,296,296,296,296,296,296,296,296,296,296,297,296,296,297,298,298,299,299,297,298,299,298,297,297,296,295,295,295,295,295,296,298,298,297,297,296,295,296,295,297,297,297,296,297,298,300,299,299,299,299,298,300,298,298,298,298,297,293,294,293,293,291,286,285,287,288,287,287,289,290,291,290,290,292,291,292,289,291,292,292,292,291,287,285,289,290,290,291,292,293,294,296,291,290,289,292,291,292,293,293,297,296,298,295,291,290,288,292,292,295,296,298,299,300,300,300,299,300,299,296,297,297,297,296,296,297,296,295,296,299,299,300,300,301,303,305,302,303,300,302,303,303,306,308,305,307,307,307,307,307,306,306,306,305,306,304,305,306,304,305,308,306,307,305,305,307,305,305,305,305,305,307,307,307,308,309,308,308,308,308,310,306,302,299,298,299,297,296,297,297,297,295,297,296,295,296,294,294,294,295,294,296,295,295,294,294,293,295,294,294,295,295,294,293,295,295,294,293,293,292,290,291,295,292,292,290,292,291,290,291,292,295,298,300,301,301,301
Biogas,217,217,217,217,217,217,217,217,216,217,217,217,217,216,216,217,216,217,217,216,217,217,216,217,217,217,216,217,217,217,217,217,217,217,218,218,217,217,218,218,218,218,218,217,217,217,215,215,215,215,215,215,215,214,214,214,214,214,214,214,214,214,214,214,213,214,214,214,214,214,214,214,213,212,212,212,211,213,214,214,215,214,214,215,215,216,216,215,216,215,215,216,216,216,216,217,217,216,216,216,216,216,216,216,217,216,216,216,216,215,216,217,216,216,216,216,216,216,216,217,216,216,216,216,216,216,216,216,215,216,215,216,215,216,216,215,216,216,216,215,215,216,215,215,215,214,215,215,215,215,215,215,215,215,215,215,215,215,215,215,216,215,215,216,215,215,216,216,216,216,215,215,216,215,216,215,215,215,215,215,215,215,216,215,215,215,215,215,216,216,216,215,215,215,215,215,215,216,216,214,213,214,213,213,213,213,214,216,216,217,217,217,217,213,212,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211,212,212,212,211,211,212,214,216,216,217,216,216,215,217,218,217,216,217,217,216,218,217,217,216,216,217,217,216,216,216,215,215,215,215,213,212,213,213,212,212,212,213,213,212,212,212,212,212,212,213,212,212,212,212,213,212,212,212
Small hydro,489,488,485,486,487,487,486,487,481,474,474,474,474,474,474,474,474,474,474,473,473,473,473,473,473,471,471,471,471,472,471,471,472,470,470,470,471,472,472,473,474,474,475,475,475,475,475,476,476,476,476,476,478,478,478,477,477,477,477,476,476,477,476,475,474,475,477,475,474,475,475,475,475,475,483,499,503,504,504,504,504,503,504,504,504,503,504,504,503,502,503,501,501,501,500,500,500,500,501,494,483,483,484,485,485,486,485,485,485,485,487,486,486,486,487,486,487,487,487,486,487,486,486,486,486,486,486,486,486,485,465,465,466,459,445,444,445,433,417,415,415,415,416,416,416,416,417,418,417,417,419,418,418,419,419,419,419,420,420,420,421,421,420,419,420,420,421,420,419,444,447,448,448,448,447,447,446,445,445,445,445,446,446,446,445,446,447,448,447,446,446,445,445,454,486,487,489,489,490,490,490,489,489,489,490,489,488,488,489,489,489,490,490,490,488,501,527,527,527,528,529,528,527,528,528,528,528,528,529,530,546,635,636,635,636,636,637,636,636,637,635,636,636,635,634,635,635,636,636,636,636,636,634,634,633,634,634,633,633,632,632,632,632,631,628,620,615,615,614,602,601,600,601,601,601,600,599,545,514,486,483,484,487,485,486,485,486,486
Batteries,30,29,11,12,29,27,26,29,13,13,15,15,12,18,11,10,9,9,9,8,8,9,15,9,2,-44,-18,-21,-5,-12,-5,-6,-31,-36,-15,-7,-7,-9,-9,-9,-36,-12,-9,-7,-9,-9,-9,-7,-9,-20,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-6,-6,-10,-10,-15,-2,-8,-41,-14,-21,-13,-5,-5,89,28,11,4,4,-2,3,4,20,3,-14,95,113,67,51,42,-26,-28,-11,-10,-14,1,54,83,83,47,38,35,50,70,50,34,14,14,10,-13,-21,-13,-10,-7,0,4,0,-1,-3,-1,-1,-1,-11,1,-1,-2,-15,-75,-95,-83,0,42,9,-22,49,64,10,-23,-45,-67,-86,-58,-22,-22,-3,-7,-17,-65,-11,-10,-10,-10,-10,-9,16,-2,51,83,87,23,54,54,38,42,27,42,27,17,11,38,44,26,11,11,19,-21,-100,-81,-93,-28,98,87,27,18,44,97,17,7,-88,-102,19,26,-74,-18,54,102,74,17,30,-10,-100,-70,-4,11,64,11,77,35,29,11,7,18,-1,-5,-2,-13,-14,-31,34,32,23,-10,-3,-16,1,21,0,3,-17,6,2,-1,2,-5,-4,-7,-28,-22,-13,-13,-6,-16,-6,-6,-6,-1,14,21,-12,-6,-2,-7,-7,-1,-6,-7,33,8,-16,-37,-9,2,5,5,3,43,34,-9,-12,-10,-22,-20,-21,-25,-70,-57,-7,56,55,31,20,-37,-74,-95,-60,-48,12,13
