Renewables 04/16/2019,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,88,128,166,272,439,675,953,1158,1431,1571,1652,2003,2343,2607,2786,2989,3167,3482,3703,3912,4116,4254,4238,4239,4495,4714,4864,4930,5195,5347,5495,5629,5723,5810,6004,6140,6125,5985,6022,6208,6251,6272,6549,6760,6879,6797,6610,6569,6705,6849,7092,7089,7064,7242,7164,7055,7049,7191,7297,7196,7494,7513,7316,7399,7178,7074,7146,7085,7299,7402,7163,7087,7215,7044,7223,7540,7192,6722,6463,6915,7152,7267,7410,7092,6787,6648,6561,6635,6663,6852,7096,7490,7449,7249,7052,7113,7093,7212,7283,7281,7050,6804,6347,6040,5975,5951,5966,5806,5970,6596,6689,6857,6813,6827,6762,6634,6597,6743,6923,6517,6228,6611,6802,6436,6151,5690,6017,6085,5975,5827,5686,5446,5208,5021,4603,4228,3902,3741,3492,3197,2854,2478,2176,1893,1510,1147,849,650,463,285,169,102,48,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Wind,3390,3472,3568,3650,3691,3745,3718,3651,3625,3667,3702,3731,3723,3682,3668,3675,3690,3671,3634,3619,3608,3623,3609,3572,3550,3510,3470,3393,3302,3205,3212,3192,3222,3239,3236,3210,3159,3096,2991,2915,2873,2945,3019,3018,3025,3043,3043,3050,3066,3097,3135,3114,3150,3206,3188,3191,3179,3157,3126,3132,3081,3029,2973,2977,3014,3039,3042,3029,3066,3073,3064,3075,3116,3084,3063,3069,3119,3107,3105,3114,3126,3093,3052,3013,2992,2982,2950,2870,2895,2931,2983,3008,2962,2925,2902,2929,3018,3129,3238,3342,3410,3420,3467,3486,3471,3544,3635,3653,3586,3491,3438,3399,3347,3357,3368,3427,3486,3561,3631,3679,3700,3709,3688,3632,3570,3521,3450,3429,3448,3424,3411,3386,3426,3470,3468,3473,3489,3501,3488,3480,3494,3526,3513,3533,3566,3620,3622,3652,3660,3661,3619,3645,3731,3756,3759,3717,3731,3745,3840,3864,3851,3812,3763,3736,3711,3634,3521,3404,3273,3213,3123,3087,3155,3263,3315,3387,3428,3538,3611,3616,3652,3716,3732,3698,3719,3740,3666,3583,3565,3459,3442,3423,3399,3359,3394,3500,3625,3681,3772,3832,3840,3888,3899,3924,3961,3943,3885,3893,3891,3951,4012,4050,4043,4084,4053,4037,4048,4046,4019,3978,3958,3904,3854,3817,3803,3769,3704,3674,3633,3630,3645,3585,3589,3573,3599,3651,3711,3747,3746,3767,3825,3851,3847,3873,3943,3953,3971,3965,3951,3973,3965,3952,3957,3974,3988,3997,3995,3987,3950,3914,3888,3866,3865,3844,3819,3778,3786,3801,3788,3780,3762,3760,3765,3745,3697,3652,3610,3585,3539,3483,3441,3428,3437,3441,3471,3472,3456,3441
Geothermal,896,896,896,896,896,897,896,897,896,897,898,898,897,898,897,897,897,897,897,898,897,897,897,897,897,897,897,897,897,897,897,898,898,899,899,898,899,899,898,899,899,899,899,899,899,899,899,899,899,900,900,900,900,901,900,901,901,901,902,900,901,902,902,901,902,902,902,900,899,903,902,903,903,904,901,903,904,903,902,904,904,904,905,904,903,904,904,903,904,905,904,904,904,904,903,904,902,902,901,902,900,900,899,900,899,900,900,899,898,899,899,899,898,898,898,897,899,897,897,897,897,897,896,896,894,895,895,894,895,895,894,890,892,893,893,893,893,893,892,892,892,893,892,893,893,892,892,893,891,890,891,891,892,891,891,891,891,891,891,890,891,892,892,892,892,892,892,892,892,891,891,891,891,892,890,890,891,890,890,890,891,890,889,890,890,890,891,890,890,889,890,890,888,888,889,888,887,889,888,889,889,889,889,889,913,937,937,937,937,937,938,938,938,938,938,940,926,943,943,943,940,944,944,944,944,945,945,945,945,945,945,945,944,944,944,944,945,944,945,945,945,945,946,946,945,946,946,946,946,944,947,946,947,947,947,946,946,947,946,947,947,947,948,948,947,947,946,947,947,946,948,948,947,948,949,948,947,948,948,948,948,949,948,949,948,948,948,948
Biomass,273,274,275,277,274,274,272,273,272,274,274,275,274,272,274,273,274,272,276,276,270,272,274,276,278,278,273,273,274,274,274,273,275,273,271,273,273,273,274,274,274,274,275,275,274,273,272,271,268,269,270,270,272,272,273,272,270,270,271,270,271,272,270,269,266,266,269,268,268,268,268,269,270,269,268,268,269,269,269,269,270,269,268,268,266,265,267,268,268,269,269,269,265,266,263,264,262,262,263,264,264,265,269,270,268,267,267,269,268,267,267,269,267,265,266,266,264,259,258,256,259,262,261,261,261,261,260,260,261,260,259,262,262,262,264,263,260,261,263,262,260,261,263,263,264,266,267,269,268,269,270,270,268,268,267,270,270,266,266,267,266,268,265,266,268,268,269,267,266,267,267,264,267,265,264,263,262,264,267,266,266,267,267,265,267,267,266,268,268,269,267,266,266,269,269,270,270,271,271,271,270,271,269,268,267,266,266,268,270,269,269,267,268,268,269,270,269,269,269,271,265,265,268,269,271,271,269,271,271,268,268,269,270,271,269,269,270,270,270,269,269,268,270,267,270,270,270,271,271,273,276,274,276,277,277,278,279,279,279,279,281,281,281,282,284,285,282,281,280,279,277,276,276,277,277,279,279,280,279,279,279,276,277,279,278,275,277,277
Biogas,213,213,213,213,213,213,213,213,215,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,214,213,214,213,213,213,213,213,202,202,202,202,202,202,202,203,202,202,202,202,202,203,202,202,202,202,203,201,203,201,201,201,201,201,200,201,201,200,200,200,200,201,202,201,202,202,202,202,203,202,202,201,203,204,205,208,208,209,209,209,210,209,208,209,208,209,209,209,209,209,210,210,209,209,209,209,209,212,214,213,213,212,212,212,212,213,212,212,212,211,211,210,211,211,210,210,211,212,211,211,211,211,211,211,211,211,210,211,210,210,210,212,211,210,211,212,211,212,212,212,212,212,213,213,212,212,214,212,213,213,212,212,212,213,212,211,212,212,212,212,213,212,213,212,212,212,212,213,212,212,212,213,214,213,213,214,213,214,214,215,214,215,214,215,214,214,214,214,215,214,213,213,213,216,214,214,213,215,214,214,214,215,214,214,216,207,193,192,191,192,192,192,191,192,191,192,191,192,193,192,192,193,192,192,193,193,192,192,191,191,197,199,200,200,200,200,201,200,200,200,200,200,201,200,200,201,201,200,200,200,200,200,200,200,200,200,201,200,200,201,200,200,202,201,201,200,200,200,201,200,200,201
Small hydro,423,422,426,426,425,424,425,425,424,425,426,425,425,426,425,424,424,425,425,425,425,425,425,424,425,425,426,425,424,425,424,425,423,423,423,422,423,424,425,426,424,425,425,424,424,424,424,424,425,425,426,426,426,426,427,426,427,426,425,426,426,426,458,457,457,456,456,456,456,457,456,456,457,456,460,464,462,460,469,467,469,468,469,470,471,470,469,470,470,470,470,470,471,470,471,470,471,473,474,474,473,472,472,472,472,469,468,469,470,470,477,477,474,476,477,477,477,478,477,462,449,449,451,451,451,452,451,452,452,452,451,451,451,451,450,450,450,447,449,448,449,449,449,449,449,449,449,448,449,448,449,450,450,451,451,451,450,451,453,453,452,453,452,452,452,453,453,453,452,451,450,449,450,448,448,448,448,448,448,446,443,439,440,441,442,443,443,443,444,443,443,443,443,453,477,476,476,476,475,475,473,474,473,474,471,473,472,499,499,499,500,500,501,500,500,501,502,501,501,502,502,502,503,503,503,503,504,503,502,502,502,502,502,502,501,500,497,497,495,498,499,499,495,496,498,500,494,497,497,498,495,497,497,496,495,496,497,497,498,497,498,498,497,497,497,439,441,440,440,439,439,438,439,438,438,438,436,437,441,437,435,437,439,437,436,437,436,434
Batteries,39,85,12,-1,-1,-1,8,76,83,-3,-22,-2,-1,-1,-1,4,-1,0,-1,1,-1,-1,-27,-5,7,2,17,49,38,7,-19,-30,-21,-21,-15,-15,-3,15,19,16,-1,-8,-57,-57,-29,-2,-1,-1,-9,-1,-1,-1,-5,-11,-1,-1,-1,-1,-1,-5,-25,-14,-1,-1,-1,-7,-1,-37,-48,-51,-12,-48,-59,-9,16,13,-21,-21,-22,6,16,14,11,11,-50,-64,-80,-10,-11,-47,-37,-66,-78,-71,-15,-40,-19,-26,-29,-9,-38,-46,-24,-13,-42,-83,-77,-11,-12,35,77,84,5,-2,-3,-2,-3,48,90,-6,-2,72,65,-16,-68,-5,37,35,-9,-84,-83,-3,64,-35,-91,-34,-18,-52,-92,-2,13,3,67,30,-2,-39,-66,-61,-37,-60,8,36,-49,-14,-77,-64,-28,58,37,-45,-82,-27,32,72,56,99,101,82,98,69,3,-41,-40,-93,-83,-89,-106,-103,-87,-61,-2,-1,75,105,35,-10,-34,5,0,-64,-105,-77,-40,3,-1,-1,-50,-51,-78,7,109,43,-91,-17,15,20,-14,-107,-30,1,8,30,75,6,44,95,66,-1,-2,15,9,80,104,64,17,33,29,4,-43,1,29,23,28,26,-82,-103,-103,-78,-85,-47,-58,-49,-38,8,22,0,-23,-30,-31,-31,-22,15,-1,-31,-31,-29,-15,0,25,74,83,8,-1,1,17,71,21,-2,-7,-17,-19,-7,-7,-7,-7,-7,5,40,29,31,33,29,21,20,-8,7,29,29
